Date,Symbol,Open,High,Low,Close,Volume
2023-12-08,JTOUSDT,2.928800,3.765000,2.801600,3.586000,235087335
2023-12-09,JTOUSDT,3.586000,4.458900,3.230000,3.350500,413471398
2023-12-10,JTOUSDT,3.350500,3.734000,3.192600,3.461400,219064211
2023-12-11,JTOUSDT,3.460800,3.475800,2.440000,3.003300,233329670
2023-12-12,JTOUSDT,3.003300,3.358000,2.800000,2.961500,177764477
2023-12-13,JTOUSDT,2.961500,2.988300,2.602900,2.839400,149279344
2023-12-14,JTOUSDT,2.839500,3.468000,2.700000,3.463700,201149435
2023-12-15,JTOUSDT,3.465500,3.632600,2.808100,2.842400,215099615
2023-12-16,JTOUSDT,2.842000,3.204900,2.800000,2.926100,118380490
2023-12-17,JTOUSDT,2.926700,2.969700,2.690000,2.707700,86458654
2023-12-18,JTOUSDT,2.707800,2.743800,2.225200,2.504500,133697225
2023-12-19,JTOUSDT,2.504500,2.655000,2.332300,2.375200,88692666
2023-12-20,JTOUSDT,2.375000,2.827300,2.334000,2.659000,133164023
2023-12-21,JTOUSDT,2.658500,2.900500,2.550000,2.822500,113618280
2023-12-22,JTOUSDT,2.822700,2.947200,2.452800,2.603000,100360264
2023-12-23,JTOUSDT,2.602900,2.662100,2.487200,2.632800,51950896
2023-12-24,JTOUSDT,2.632600,2.728000,2.339900,2.449600,74607358
2023-12-25,JTOUSDT,2.449800,2.909900,2.420900,2.751600,88944750
2023-12-26,JTOUSDT,2.751600,2.866000,2.250000,2.521100,100587775
2023-12-27,JTOUSDT,2.521700,2.539700,2.410400,2.451200,58696464
2023-12-28,JTOUSDT,2.451200,2.512900,2.250000,2.321800,62928688
2023-12-29,JTOUSDT,2.321800,2.336000,2.100000,2.243600,69895948
2023-12-30,JTOUSDT,2.243900,2.269300,2.135300,2.208800,34784931
2023-12-31,JTOUSDT,2.208700,2.283000,1.591200,1.885300,68076769
2024-01-01,JTOUSDT,1.885000,2.050000,1.810800,2.008100,82294979
2024-01-02,JTOUSDT,2.007400,2.060000,1.870800,1.933000,71571958
2024-01-03,JTOUSDT,1.933200,1.964300,1.300000,1.550800,100753110
2024-01-04,JTOUSDT,1.550400,1.661300,1.503300,1.622000,49389722
2024-01-05,JTOUSDT,1.621600,1.641100,1.440000,1.582500,64970442
2024-01-06,JTOUSDT,1.582300,1.929400,1.469000,1.740800,199827997
2024-01-07,JTOUSDT,1.740400,1.843900,1.535000,1.557900,105701739
2024-01-08,JTOUSDT,1.557900,1.736500,1.416000,1.688200,117354537
2024-01-09,JTOUSDT,1.688200,1.770000,1.450200,1.576200,84552618
2024-01-10,JTOUSDT,1.576000,2.102600,1.522200,1.955800,128360528
2024-01-11,JTOUSDT,1.955100,2.197900,1.791500,2.112000,182463881
2024-01-12,JTOUSDT,2.111600,2.277100,1.856700,1.970700,148415693
2024-01-13,JTOUSDT,1.970900,2.548500,1.950200,2.472000,155785426
2024-01-14,JTOUSDT,2.472200,2.788300,2.395600,2.528000,221302422
2024-01-15,JTOUSDT,2.528300,2.642000,2.330700,2.392500,92218524
2024-01-16,JTOUSDT,2.392600,2.746400,2.304300,2.589200,113719646
2024-01-17,JTOUSDT,2.589200,2.774000,2.533000,2.564000,121901527
2024-01-18,JTOUSDT,2.564200,2.589100,2.145000,2.158900,94113208
2024-01-19,JTOUSDT,2.159000,2.377600,2.012700,2.254700,117834021
2024-01-20,JTOUSDT,2.254900,2.312400,2.117600,2.192100,49533429
2024-01-21,JTOUSDT,2.191600,2.226600,2.092000,2.110100,31051412
2024-01-22,JTOUSDT,2.110200,2.182800,1.971500,2.007300,61848392
2024-01-23,JTOUSDT,2.007600,2.082000,1.780000,1.952800,57093537
2024-01-24,JTOUSDT,1.952700,1.983900,1.876500,1.961200,38595021
2024-01-25,JTOUSDT,1.961200,1.961200,1.814500,1.875500,29521258
2024-01-26,JTOUSDT,1.875500,2.235900,1.850500,2.097600,49011145
2024-01-27,JTOUSDT,2.098200,2.172800,2.024800,2.087500,33100090
2024-01-28,JTOUSDT,2.088100,2.163100,1.966800,1.991400,33073676
2024-01-29,JTOUSDT,1.991500,2.113600,1.978500,2.073600,32677920
2024-01-30,JTOUSDT,2.073300,2.329000,2.053100,2.174400,77545307
2024-01-31,JTOUSDT,2.174300,2.184700,1.890000,1.912000,66703952
2024-02-01,JTOUSDT,1.912600,1.934600,1.832300,1.890400,41651468
2024-02-02,JTOUSDT,1.890400,1.997200,1.881900,1.961600,31992502
2024-02-03,JTOUSDT,1.961400,2.002600,1.874900,1.896800,21531100
2024-02-04,JTOUSDT,1.896900,1.901200,1.800000,1.817200,22107520
2024-02-05,JTOUSDT,1.817400,1.850000,1.755500,1.802200,26731485
2024-02-06,JTOUSDT,1.802100,1.821000,1.707800,1.772200,22790843
2024-02-07,JTOUSDT,1.772500,1.874900,1.736100,1.858200,23879543
2024-02-08,JTOUSDT,1.857800,1.886500,1.825900,1.839200,19355616
2024-02-09,JTOUSDT,1.839100,2.011200,1.837900,1.973800,39625948
2024-02-10,JTOUSDT,1.973900,2.020000,1.910000,1.944500,22228878
2024-02-11,JTOUSDT,1.944700,2.144200,1.938000,2.014200,39753551
2024-02-12,JTOUSDT,2.014100,2.109700,1.922100,2.069800,32342435
2024-02-13,JTOUSDT,2.069900,2.221400,2.021100,2.157600,55072525
2024-02-14,JTOUSDT,2.157300,2.292000,2.129900,2.234500,42943964
2024-02-15,JTOUSDT,2.234500,2.299000,2.135400,2.192300,30572992
2024-02-16,JTOUSDT,2.192200,2.320700,2.140000,2.241200,34949677
2024-02-17,JTOUSDT,2.241500,2.253600,2.063000,2.165500,22894723
2024-02-18,JTOUSDT,2.166300,2.464800,2.150800,2.360300,40758114
