Date,Symbol,Open,High,Low,Close,Volume
2024-06-20,LISTAUSDT,0.6807000,0.7259000,0.6361000,0.6727000,305341634
2024-06-21,LISTAUSDT,0.6727000,0.8565000,0.6277000,0.6477000,1179204111
2024-06-22,LISTAUSDT,0.6478000,0.6976000,0.5485000,0.6168000,817743194
2024-06-23,LISTAUSDT,0.6169000,0.6554000,0.5558000,0.5702000,399958801
2024-06-24,LISTAUSDT,0.5703000,0.6785000,0.5426000,0.6532000,791024176
2024-06-25,LISTAUSDT,0.6532000,0.7679000,0.6466000,0.7209000,972081481
2024-06-26,LISTAUSDT,0.7209000,0.8285000,0.6749000,0.7922000,663041420
2024-06-27,LISTAUSDT,0.7921000,0.8377000,0.6915000,0.7160000,743135788
2024-06-28,LISTAUSDT,0.7160000,0.7650000,0.6616000,0.6689000,494484644
2024-06-29,LISTAUSDT,0.6690000,0.6930000,0.6308000,0.6408000,279230133
2024-06-30,LISTAUSDT,0.6408000,0.7290000,0.6270000,0.7131000,287356913
2024-07-01,LISTAUSDT,0.7131000,0.7460000,0.6664000,0.6686000,299181952
2024-07-02,LISTAUSDT,0.6687000,0.6777000,0.6327000,0.6595000,205533760
2024-07-03,LISTAUSDT,0.6594000,0.6709000,0.6005000,0.6120000,181928806
2024-07-04,LISTAUSDT,0.6120000,0.6148000,0.4961000,0.5065000,284266145
2024-07-05,LISTAUSDT,0.5065000,0.5120000,0.4507000,0.4822000,347980626
2024-07-06,LISTAUSDT,0.4821000,0.5546000,0.4672000,0.5505000,337390214
2024-07-07,LISTAUSDT,0.5504000,0.5570000,0.4561000,0.4609000,359900009
2024-07-08,LISTAUSDT,0.4609000,0.5149000,0.4341000,0.5032000,369335333
2024-07-09,LISTAUSDT,0.5032000,0.5325000,0.4940000,0.5075000,219704275
2024-07-10,LISTAUSDT,0.5074000,0.5786000,0.4979000,0.5189000,239871801
2024-07-11,LISTAUSDT,0.5189000,0.5413000,0.4950000,0.4998000,181333683
2024-07-12,LISTAUSDT,0.4999000,0.5404000,0.4837000,0.5273000,154737758
2024-07-13,LISTAUSDT,0.5273000,0.5562000,0.5098000,0.5202000,165352479
2024-07-14,LISTAUSDT,0.5201000,0.5852000,0.5122000,0.5731000,157640808
2024-07-15,LISTAUSDT,0.5730000,0.6060000,0.5511000,0.5979000,174882853
2024-07-16,LISTAUSDT,0.5979000,0.6033000,0.5356000,0.5643000,185410786
2024-07-17,LISTAUSDT,0.5643000,0.5827000,0.5441000,0.5605000,135088257
2024-07-18,LISTAUSDT,0.5606000,0.5822000,0.5300000,0.5622000,112475553
2024-07-19,LISTAUSDT,0.5622000,0.5670000,0.5164000,0.5521000,113804648
2024-07-20,LISTAUSDT,0.5521000,0.6328000,0.5513000,0.5958000,294410689
2024-07-21,LISTAUSDT,0.5959000,0.6330000,0.5539000,0.5758000,251792612
2024-07-22,LISTAUSDT,0.5758000,0.5973000,0.5450000,0.5520000,141801086
2024-07-23,LISTAUSDT,0.5519000,0.5774000,0.5386000,0.5479000,123412471
2024-07-24,LISTAUSDT,0.5478000,0.5866000,0.5392000,0.5657000,111654523
2024-07-25,LISTAUSDT,0.5657000,0.5695000,0.4892000,0.5164000,137543609
2024-07-26,LISTAUSDT,0.5164000,0.5472000,0.5148000,0.5445000,67650760
2024-07-27,LISTAUSDT,0.5445000,0.6107000,0.5405000,0.5983000,156967569
2024-07-28,LISTAUSDT,0.5983000,0.6250000,0.5667000,0.5726000,211541296
2024-07-29,LISTAUSDT,0.5727000,0.6540000,0.5701000,0.6043000,245889678
2024-07-30,LISTAUSDT,0.6043000,0.6545000,0.5335000,0.5351000,282471853
2024-07-31,LISTAUSDT,0.5351000,0.5584000,0.5150000,0.5190000,150278304
2024-08-01,LISTAUSDT,0.5191000,0.5305000,0.4422000,0.4783000,168604383
2024-08-02,LISTAUSDT,0.4783000,0.4839000,0.4317000,0.4353000,144842865
2024-08-03,LISTAUSDT,0.4352000,0.4393000,0.3703000,0.3770000,221526374
2024-08-04,LISTAUSDT,0.3770000,0.3918000,0.3416000,0.3623000,157543270
2024-08-05,LISTAUSDT,0.3622000,0.3675000,0.2500000,0.2904000,578048226
2024-08-06,LISTAUSDT,0.2905000,0.3528000,0.2894000,0.3345000,245606907
2024-08-07,LISTAUSDT,0.3344000,0.3501000,0.3103000,0.3178000,155973989
2024-08-08,LISTAUSDT,0.3177000,0.3902000,0.3123000,0.3860000,156583553
2024-08-09,LISTAUSDT,0.3860000,0.3866000,0.3558000,0.3659000,89187015
2024-08-10,LISTAUSDT,0.3659000,0.3747000,0.3609000,0.3654000,45743614
2024-08-11,LISTAUSDT,0.3655000,0.3773000,0.3401000,0.3479000,82367230
2024-08-12,LISTAUSDT,0.3479000,0.3863000,0.3457000,0.3736000,139472256
2024-08-13,LISTAUSDT,0.3736000,0.4008000,0.3526000,0.3821000,96761928
2024-08-14,LISTAUSDT,0.3819000,0.3889000,0.3482000,0.3563000,115842584
2024-08-15,LISTAUSDT,0.3563000,0.3621000,0.3261000,0.3301000,84215843
2024-08-16,LISTAUSDT,0.3301000,0.3392000,0.3142000,0.3254000,84589592
2024-08-17,LISTAUSDT,0.3254000,0.4776000,0.3228000,0.4327000,697181312
2024-08-18,LISTAUSDT,0.4325000,0.4621000,0.3927000,0.3974000,596628524
2024-08-19,LISTAUSDT,0.3973000,0.4078000,0.3830000,0.4051000,196274755
2024-08-20,LISTAUSDT,0.4052000,0.4205000,0.3822000,0.3936000,108393091
2024-08-21,LISTAUSDT,0.3936000,0.4042000,0.3752000,0.4002000,75357899
2024-08-22,LISTAUSDT,0.4002000,0.4272000,0.3975000,0.4233000,79077397
2024-08-23,LISTAUSDT,0.4233000,0.4881000,0.4119000,0.4703000,101853465
2024-08-24,LISTAUSDT,0.4703000,0.4950000,0.4529000,0.4642000,85507795
2024-08-25,LISTAUSDT,0.4641000,0.4664000,0.4320000,0.4366000,70650289
2024-08-26,LISTAUSDT,0.4366000,0.4449000,0.3956000,0.3971000,58204892
2024-08-27,LISTAUSDT,0.3970000,0.4088000,0.3427000,0.3508000,90352760
2024-08-28,LISTAUSDT,0.3509000,0.3620000,0.3221000,0.3374000,82435197
2024-08-29,LISTAUSDT,0.3373000,0.3681000,0.3368000,0.3450000,85235791
2024-08-30,LISTAUSDT,0.3449000,0.3519000,0.3251000,0.3452000,79545131
2024-08-31,LISTAUSDT,0.3451000,0.3487000,0.3292000,0.3304000,28802547
2024-09-01,LISTAUSDT,0.3302000,0.3322000,0.3073000,0.3089000,78771872
2024-09-02,LISTAUSDT,0.3088000,0.3416000,0.3048000,0.3329000,64993002
2024-09-03,LISTAUSDT,0.3329000,0.3423000,0.3183000,0.3201000,45793599
2024-09-04,LISTAUSDT,0.3201000,0.3448000,0.2950000,0.3338000,65666835
2024-09-05,LISTAUSDT,0.3338000,0.3371000,0.3183000,0.3223000,38208561
2024-09-06,LISTAUSDT,0.3223000,0.3356000,0.2929000,0.3088000,78577849
2024-09-07,LISTAUSDT,0.3087000,0.3178000,0.3005000,0.3050000,42741900
2024-09-08,LISTAUSDT,0.3050000,0.3227000,0.3012000,0.3140000,35804819
2024-09-09,LISTAUSDT,0.3140000,0.3411000,0.3069000,0.3331000,60634053
2024-09-10,LISTAUSDT,0.3333000,0.3496000,0.3281000,0.3424000,59559089
2024-09-11,LISTAUSDT,0.3425000,0.3429000,0.3134000,0.3261000,59981689
2024-09-12,LISTAUSDT,0.3260000,0.3559000,0.3258000,0.3507000,57023608
