Date,Symbol,Open,High,Low,Close,Volume
2023-01-25,MAGICUSDT,1.290000,1.290000,1.071000,1.209900,82304165.4
2023-01-26,MAGICUSDT,1.210500,1.462400,1.090100,1.222800,161023655.7
2023-01-27,MAGICUSDT,1.221800,1.750000,1.156600,1.619700,229603097.6
2023-01-28,MAGICUSDT,1.619700,1.679900,1.455500,1.497200,209391640.1
2023-01-29,MAGICUSDT,1.497100,1.575000,1.457000,1.541500,78326843.1
2023-01-30,MAGICUSDT,1.541500,1.551000,1.196800,1.279800,116510654.1
2023-01-31,MAGICUSDT,1.280000,1.368800,1.234500,1.327100,80027401.6
2023-02-01,MAGICUSDT,1.327200,1.749300,1.271900,1.724900,149341450.9
2023-02-02,MAGICUSDT,1.725000,1.873400,1.649200,1.701500,288436648.9
2023-02-03,MAGICUSDT,1.701800,2.133000,1.610000,1.973800,214501502.7
2023-02-04,MAGICUSDT,1.973800,2.044700,1.862600,1.949900,147999440.7
2023-02-05,MAGICUSDT,1.950000,2.048900,1.676000,1.798600,144619056.3
2023-02-06,MAGICUSDT,1.798400,2.200000,1.797900,1.917000,178710390.3
2023-02-07,MAGICUSDT,1.916700,2.163800,1.912900,2.127200,109950711.4
2023-02-08,MAGICUSDT,2.126300,2.142600,1.755000,1.873700,99183393.8
2023-02-09,MAGICUSDT,1.873300,1.895700,1.460000,1.510900,154410062.1
2023-02-10,MAGICUSDT,1.511200,1.617500,1.367000,1.468700,135280808.1
2023-02-11,MAGICUSDT,1.468600,1.550000,1.448800,1.540900,72957558.0
2023-02-12,MAGICUSDT,1.540800,1.623000,1.462800,1.494100,78131826.7
2023-02-13,MAGICUSDT,1.494300,1.536900,1.327400,1.446100,94069598.2
2023-02-14,MAGICUSDT,1.446200,1.684300,1.400000,1.662500,154256647.0
2023-02-15,MAGICUSDT,1.662400,1.959700,1.614100,1.908400,148031092.4
2023-02-16,MAGICUSDT,1.908400,2.334500,1.906500,1.955700,233928023.5
2023-02-17,MAGICUSDT,1.956700,2.246600,1.941500,2.053100,222204076.0
2023-02-18,MAGICUSDT,2.052800,2.090700,1.930000,1.959600,87492393.8
2023-02-19,MAGICUSDT,1.959500,2.061800,1.785900,1.818800,105179842.5
2023-02-20,MAGICUSDT,1.818500,1.882700,1.739000,1.806900,59973381.1
2023-02-21,MAGICUSDT,1.807200,2.050000,1.738600,1.864600,127148355.5
2023-02-22,MAGICUSDT,1.864600,1.876600,1.669400,1.818400,105045096.1
2023-02-23,MAGICUSDT,1.818600,2.030000,1.776600,1.828600,118824435.7
2023-02-24,MAGICUSDT,1.828500,1.848900,1.563200,1.629600,101357245.3
2023-02-25,MAGICUSDT,1.629400,1.641000,1.485000,1.604200,66387314.8
2023-02-26,MAGICUSDT,1.604100,1.719400,1.586600,1.687000,53997006.6
2023-02-27,MAGICUSDT,1.686700,1.715200,1.564800,1.641300,56174135.2
2023-02-28,MAGICUSDT,1.641300,1.672000,1.493200,1.515200,54634715.9
2023-03-01,MAGICUSDT,1.515200,1.680000,1.502200,1.636900,60881494.8
2023-03-02,MAGICUSDT,1.637000,1.651000,1.495200,1.569900,49726060.4
2023-03-03,MAGICUSDT,1.570000,1.570800,1.309700,1.384100,72103122.8
2023-03-04,MAGICUSDT,1.384100,1.404000,1.151800,1.229200,86979027.2
2023-03-05,MAGICUSDT,1.229200,1.365200,1.221000,1.283800,107045464.6
2023-03-06,MAGICUSDT,1.283700,1.409700,1.219800,1.382500,144613004.4
2023-03-07,MAGICUSDT,1.382600,1.427500,1.252500,1.387900,172510085.9
2023-03-08,MAGICUSDT,1.387900,1.423400,1.240700,1.273200,199210741.3
2023-03-09,MAGICUSDT,1.273000,1.330100,1.150000,1.196300,164194357.2
2023-03-10,MAGICUSDT,1.196400,1.226900,1.060100,1.156200,184774307.7
2023-03-11,MAGICUSDT,1.156200,1.192300,0.979800,1.066700,128638263.4
2023-03-12,MAGICUSDT,1.066600,1.281900,1.026200,1.270700,127958948.1
2023-03-13,MAGICUSDT,1.270700,1.412600,1.227200,1.389200,164838059.0
2023-03-14,MAGICUSDT,1.389400,1.723700,1.347200,1.638300,163928956.7
2023-03-15,MAGICUSDT,1.638200,1.738100,1.349000,1.501300,244413992.1
2023-03-16,MAGICUSDT,1.501700,1.756900,1.416900,1.475100,359941109.6
2023-03-17,MAGICUSDT,1.475000,1.606900,1.435600,1.594100,171498963.2
2023-03-18,MAGICUSDT,1.593900,1.851000,1.540300,1.686100,215652321.4
2023-03-19,MAGICUSDT,1.686200,1.945000,1.685900,1.816000,190840996.1
2023-03-20,MAGICUSDT,1.816000,1.900000,1.668400,1.719000,139088124.0
