Date,Symbol,Open,High,Low,Close,Volume
2024-06-17,MEWUSDT,0.0044230,0.0052130,0.0043720,0.0048430,22895397853
2024-06-18,MEWUSDT,0.0048440,0.0049290,0.0039470,0.0041270,45606444144
2024-06-19,MEWUSDT,0.0041280,0.0043990,0.0040000,0.0042040,22446424201
2024-06-20,MEWUSDT,0.0042030,0.0044200,0.0038220,0.0038450,19127997560
2024-06-21,MEWUSDT,0.0038440,0.0039330,0.0036610,0.0037820,9632806539
2024-06-22,MEWUSDT,0.0037830,0.0041370,0.0036840,0.0039540,10904962650
2024-06-23,MEWUSDT,0.0039510,0.0040840,0.0035970,0.0036270,9094568234
2024-06-24,MEWUSDT,0.0036270,0.0037540,0.0033890,0.0037200,9960936919
2024-06-25,MEWUSDT,0.0037200,0.0041320,0.0036980,0.0039450,9204707292
2024-06-26,MEWUSDT,0.0039450,0.0041150,0.0038170,0.0038440,7441126892
2024-06-27,MEWUSDT,0.0038440,0.0044290,0.0037460,0.0043670,11886397626
2024-06-28,MEWUSDT,0.0043670,0.0045540,0.0040690,0.0040890,13956723726
2024-06-29,MEWUSDT,0.0040890,0.0044860,0.0040850,0.0041730,7413503017
2024-06-30,MEWUSDT,0.0041740,0.0045980,0.0040370,0.0045000,9023431981
2024-07-01,MEWUSDT,0.0044980,0.0048950,0.0044280,0.0046500,15300705818
2024-07-02,MEWUSDT,0.0046500,0.0047710,0.0043850,0.0045740,8438408121
2024-07-03,MEWUSDT,0.0045740,0.0047000,0.0039890,0.0039990,8871258498
2024-07-04,MEWUSDT,0.0039980,0.0040590,0.0034080,0.0034510,9039102369
2024-07-05,MEWUSDT,0.0034500,0.0035050,0.0029900,0.0033850,13073611743
2024-07-06,MEWUSDT,0.0033850,0.0038720,0.0033410,0.0038030,7339171848
2024-07-07,MEWUSDT,0.0038030,0.0038310,0.0033210,0.0033530,6635951448
2024-07-08,MEWUSDT,0.0033540,0.0036770,0.0031630,0.0034050,8566215159
2024-07-09,MEWUSDT,0.0034040,0.0036140,0.0033310,0.0035120,4911523291
2024-07-10,MEWUSDT,0.0035110,0.0036910,0.0034200,0.0035360,3907349981
2024-07-11,MEWUSDT,0.0035370,0.0036980,0.0032720,0.0032780,4679548720
2024-07-12,MEWUSDT,0.0032780,0.0032810,0.0030710,0.0031470,9615792396
2024-07-13,MEWUSDT,0.0031470,0.0032410,0.0030710,0.0031820,5119018179
2024-07-14,MEWUSDT,0.0031830,0.0033990,0.0031800,0.0033500,6845337196
2024-07-15,MEWUSDT,0.0033490,0.0041140,0.0033340,0.0040570,9810375251
2024-07-16,MEWUSDT,0.0040560,0.0042750,0.0037290,0.0040690,12163073928
2024-07-17,MEWUSDT,0.0040700,0.0042500,0.0038340,0.0038410,5674095291
2024-07-18,MEWUSDT,0.0038420,0.0041250,0.0037150,0.0039000,6210765947
2024-07-19,MEWUSDT,0.0039000,0.0043400,0.0037600,0.0042850,8724492764
2024-07-20,MEWUSDT,0.0042870,0.0055120,0.0042510,0.0053630,48369796371
2024-07-21,MEWUSDT,0.0053630,0.0074880,0.0052210,0.0074270,114793713176
2024-07-22,MEWUSDT,0.0074270,0.0085890,0.0070000,0.0077370,128851247168
2024-07-23,MEWUSDT,0.0077360,0.0086620,0.0068220,0.0080100,105638263722
2024-07-24,MEWUSDT,0.0080090,0.0088240,0.0071760,0.0072710,103543304746
2024-07-25,MEWUSDT,0.0072700,0.0077570,0.0062060,0.0076070,115019309643
2024-07-26,MEWUSDT,0.0076060,0.0081870,0.0071400,0.0076300,65135059336
2024-07-27,MEWUSDT,0.0076290,0.0084210,0.0066660,0.0068650,65633297928
2024-07-28,MEWUSDT,0.0068650,0.0070530,0.0063410,0.0064300,43846247969
2024-07-29,MEWUSDT,0.0064300,0.0069820,0.0063040,0.0063740,48768468663
2024-07-30,MEWUSDT,0.0063750,0.0069400,0.0062660,0.0064310,40540332754
