Date,Symbol,Open,High,Low,Close,Volume
2025-05-06,MILKUSDT,0.1193900,0.1347300,0.1193900,0.1290700,424924208
2025-05-07,MILKUSDT,0.1290200,0.1330300,0.0982400,0.1013300,441585078
2025-05-08,MILKUSDT,0.1013300,0.1155500,0.0987500,0.1108100,324109295
2025-05-09,MILKUSDT,0.1107800,0.1208800,0.1066700,0.1170700,160966552
2025-05-10,MILKUSDT,0.1170900,0.1255500,0.1108200,0.1164300,126814356
2025-05-11,MILKUSDT,0.1164300,0.1207700,0.1062100,0.1123800,96268936
2025-05-12,MILKUSDT,0.1123800,0.1181300,0.1016900,0.1091100,120309377
2025-05-13,MILKUSDT,0.1091400,0.1124400,0.1057200,0.1107100,51378361
2025-05-14,MILKUSDT,0.1107400,0.1132200,0.0984600,0.0994200,85897037
2025-05-15,MILKUSDT,0.0994500,0.1008700,0.0860000,0.0894000,102212798
2025-05-16,MILKUSDT,0.0893900,0.0917400,0.0835400,0.0855400,54543047
2025-05-17,MILKUSDT,0.0855200,0.0914900,0.0814500,0.0906100,106755506
2025-05-18,MILKUSDT,0.0905700,0.0967800,0.0848400,0.0895200,135520774
2025-05-19,MILKUSDT,0.0895900,0.0896000,0.0790700,0.0819600,89058690
2025-05-20,MILKUSDT,0.0819300,0.0859800,0.0793000,0.0828500,76533894
2025-05-21,MILKUSDT,0.0828300,0.0954600,0.0806500,0.0893700,169639361
2025-05-22,MILKUSDT,0.0893800,0.0919000,0.0853400,0.0872700,65121476
2025-05-23,MILKUSDT,0.0872700,0.0911600,0.0768300,0.0776500,108293473
2025-05-24,MILKUSDT,0.0775900,0.0809300,0.0769300,0.0792600,44502654
2025-05-25,MILKUSDT,0.0792200,0.0807500,0.0743100,0.0773700,47927473
2025-05-26,MILKUSDT,0.0773900,0.0869000,0.0773100,0.0856100,170815266
2025-05-27,MILKUSDT,0.0855700,0.0861300,0.0804000,0.0825400,92702642
2025-05-28,MILKUSDT,0.0825700,0.0843000,0.0754200,0.0782500,59388931
2025-05-29,MILKUSDT,0.0782500,0.0804800,0.0737600,0.0743300,43751039
2025-05-30,MILKUSDT,0.0742900,0.0749600,0.0612800,0.0626900,128754357
2025-05-31,MILKUSDT,0.0626900,0.0631800,0.0597700,0.0613500,57558423
2025-06-01,MILKUSDT,0.0613000,0.0632400,0.0600300,0.0626000,35911367
2025-06-02,MILKUSDT,0.0625600,0.0631100,0.0602100,0.0625200,48930167
2025-06-03,MILKUSDT,0.0625200,0.0658900,0.0622600,0.0634500,42998197
2025-06-04,MILKUSDT,0.0634000,0.0686300,0.0634000,0.0647500,76241361
2025-06-05,MILKUSDT,0.0647600,0.0648300,0.0581900,0.0592800,50907105
2025-06-06,MILKUSDT,0.0592900,0.0615000,0.0580700,0.0588700,27819532
2025-06-07,MILKUSDT,0.0588800,0.0626500,0.0586200,0.0620200,31969600
2025-06-08,MILKUSDT,0.0620300,0.0620800,0.0597600,0.0611600,21667595
2025-06-09,MILKUSDT,0.0611600,0.0661600,0.0579100,0.0659100,44866193
2025-06-10,MILKUSDT,0.0658800,0.0678700,0.0645900,0.0678000,35326279
2025-06-11,MILKUSDT,0.0678000,0.0683400,0.0639800,0.0649200,38229727
2025-06-12,MILKUSDT,0.0649000,0.0654200,0.0603400,0.0607400,18172186
2025-06-13,MILKUSDT,0.0607400,0.0607900,0.0560600,0.0577300,21195530
2025-06-14,MILKUSDT,0.0577100,0.0617300,0.0574100,0.0595100,41337715
2025-06-15,MILKUSDT,0.0595100,0.0625300,0.0592300,0.0618100,45776762
2025-06-16,MILKUSDT,0.0618200,0.0635700,0.0613900,0.0618700,16808331
2025-06-17,MILKUSDT,0.0618800,0.0632600,0.0580300,0.0596700,20408594
2025-06-18,MILKUSDT,0.0596600,0.0604500,0.0579700,0.0593800,16108868
2025-06-19,MILKUSDT,0.0593800,0.0597500,0.0582800,0.0588200,6851741
2025-06-20,MILKUSDT,0.0588200,0.0598100,0.0567500,0.0574300,16080866
2025-06-21,MILKUSDT,0.0574400,0.0579200,0.0527500,0.0537100,13262339
2025-06-22,MILKUSDT,0.0537600,0.0542400,0.0483400,0.0503500,29796353
2025-06-23,MILKUSDT,0.0503500,0.0693000,0.0503000,0.0662200,1498453261
2025-06-24,MILKUSDT,0.0662000,0.0670000,0.0612200,0.0618400,181182334
2025-06-25,MILKUSDT,0.0618500,0.0618900,0.0533100,0.0541100,134756274
2025-06-26,MILKUSDT,0.0541000,0.0708800,0.0533500,0.0597400,662159984
2025-06-27,MILKUSDT,0.0597500,0.0733000,0.0590400,0.0613500,926645498
2025-06-28,MILKUSDT,0.0613500,0.0619700,0.0520100,0.0546400,442507318
2025-06-29,MILKUSDT,0.0546500,0.0571900,0.0530500,0.0550500,177872272
2025-06-30,MILKUSDT,0.0550600,0.0553000,0.0524900,0.0544100,110968654
2025-07-01,MILKUSDT,0.0544000,0.0555500,0.0477500,0.0480300,118015307
2025-07-02,MILKUSDT,0.0480300,0.0517800,0.0470600,0.0514000,90085279
2025-07-03,MILKUSDT,0.0514000,0.0516100,0.0472000,0.0484300,75859198
2025-07-04,MILKUSDT,0.0484300,0.0507700,0.0457500,0.0460700,96141955
2025-07-05,MILKUSDT,0.0460600,0.0479200,0.0445400,0.0457300,51825082
2025-07-06,MILKUSDT,0.0457500,0.0463400,0.0447400,0.0459800,33898535
2025-07-07,MILKUSDT,0.0459400,0.0486600,0.0452800,0.0461300,59136323
2025-07-08,MILKUSDT,0.0461400,0.0465000,0.0433000,0.0449600,46070957
2025-07-09,MILKUSDT,0.0449800,0.0465500,0.0437700,0.0463700,42231921
2025-07-10,MILKUSDT,0.0463600,0.0507500,0.0449800,0.0482700,105972954
2025-07-11,MILKUSDT,0.0482700,0.0519700,0.0477500,0.0491000,96266691
2025-07-12,MILKUSDT,0.0491000,0.0496500,0.0440100,0.0458800,72006116
2025-07-13,MILKUSDT,0.0458700,0.0476600,0.0453000,0.0460800,55211643
2025-07-14,MILKUSDT,0.0461100,0.0506400,0.0457300,0.0482500,77249685
2025-07-15,MILKUSDT,0.0482200,0.0486200,0.0450000,0.0481800,40654343
2025-07-16,MILKUSDT,0.0481700,0.0491800,0.0470800,0.0478900,39651388
2025-07-17,MILKUSDT,0.0478600,0.0518000,0.0463300,0.0495800,65567379
2025-07-18,MILKUSDT,0.0495900,0.0533300,0.0463300,0.0478200,85091383
2025-07-19,MILKUSDT,0.0478300,0.0493800,0.0467600,0.0489000,22626069
2025-07-20,MILKUSDT,0.0489000,0.0509600,0.0486000,0.0499400,34389706
2025-07-21,MILKUSDT,0.0499200,0.0523400,0.0485700,0.0499100,57559816
2025-07-22,MILKUSDT,0.0499400,0.0503300,0.0466300,0.0485300,47557113
2025-07-23,MILKUSDT,0.0485400,0.0501000,0.0439400,0.0457500,63493792
2025-07-24,MILKUSDT,0.0457300,0.0493900,0.0416200,0.0484300,73606384
2025-07-25,MILKUSDT,0.0484200,0.0530500,0.0459000,0.0529900,117605429
2025-07-26,MILKUSDT,0.0530100,0.0536800,0.0478000,0.0480600,54105408
2025-07-27,MILKUSDT,0.0480800,0.0495900,0.0475100,0.0489400,29585454
2025-07-28,MILKUSDT,0.0489600,0.0505400,0.0475400,0.0481200,39069435
2025-07-29,MILKUSDT,0.0481200,0.0509200,0.0468100,0.0479600,65843004
2025-07-30,MILKUSDT,0.0479400,0.0499200,0.0465400,0.0488500,50688890
2025-07-31,MILKUSDT,0.0488500,0.0495700,0.0460300,0.0464600,35098349
2025-08-01,MILKUSDT,0.0464600,0.0484200,0.0462200,0.0475400,41051986
2025-08-02,MILKUSDT,0.0475300,0.0478200,0.0462900,0.0474700,20996700
2025-08-03,MILKUSDT,0.0474600,0.0495100,0.0464600,0.0475000,48325596
2025-08-04,MILKUSDT,0.0475000,0.0491800,0.0471000,0.0477300,34317031
2025-08-05,MILKUSDT,0.0477300,0.0531900,0.0453200,0.0526600,98972522
2025-08-06,MILKUSDT,0.0526000,0.0618400,0.0507100,0.0574200,602373802
2025-08-07,MILKUSDT,0.0574000,0.0626500,0.0530100,0.0551600,171334694
2025-08-08,MILKUSDT,0.0551000,0.0575500,0.0542500,0.0565100,61521942
2025-08-09,MILKUSDT,0.0565100,0.0599900,0.0523100,0.0585700,149630222
2025-08-10,MILKUSDT,0.0585300,0.0635400,0.0550600,0.0574000,169032293
2025-08-11,MILKUSDT,0.0573800,0.0587500,0.0502000,0.0510000,96814728
2025-08-12,MILKUSDT,0.0510000,0.0532800,0.0503200,0.0525000,42531555
2025-08-13,MILKUSDT,0.0525000,0.0529900,0.0504100,0.0507300,44332482
2025-08-14,MILKUSDT,0.0507100,0.0510500,0.0425000,0.0443800,154110447
2025-08-15,MILKUSDT,0.0443800,0.0462400,0.0411600,0.0434800,63849259
2025-08-16,MILKUSDT,0.0434800,0.0445500,0.0433400,0.0437500,29572311
2025-08-17,MILKUSDT,0.0437300,0.0461500,0.0434500,0.0453100,48789003
2025-08-18,MILKUSDT,0.0453100,0.0464600,0.0438000,0.0459600,51540415
2025-08-19,MILKUSDT,0.0459600,0.0459600,0.0407400,0.0417700,53877745
2025-08-20,MILKUSDT,0.0417700,0.0428300,0.0416900,0.0423000,30386516
2025-08-21,MILKUSDT,0.0423000,0.0426300,0.0401600,0.0414200,47686985
2025-08-22,MILKUSDT,0.0414200,0.0457800,0.0409000,0.0450600,60560396
2025-08-23,MILKUSDT,0.0450600,0.0455100,0.0435500,0.0437700,39009498
2025-08-24,MILKUSDT,0.0437700,0.0441100,0.0413200,0.0423600,29428059
2025-08-25,MILKUSDT,0.0423800,0.0424800,0.0391900,0.0407500,64099589
2025-08-26,MILKUSDT,0.0407500,0.0427200,0.0406000,0.0422300,43880352
2025-08-27,MILKUSDT,0.0422300,0.0435600,0.0416000,0.0428600,25492458
2025-08-28,MILKUSDT,0.0428400,0.0437500,0.0418500,0.0429700,28219105
2025-08-29,MILKUSDT,0.0429500,0.0431100,0.0396800,0.0422000,33727469
2025-08-30,MILKUSDT,0.0422300,0.0456100,0.0414800,0.0448900,90329609
2025-08-31,MILKUSDT,0.0448700,0.0450900,0.0411500,0.0412500,42464262
2025-09-01,MILKUSDT,0.0412500,0.0420300,0.0400000,0.0408000,37816227
2025-09-02,MILKUSDT,0.0408200,0.0431100,0.0407800,0.0418900,38680744
2025-09-03,MILKUSDT,0.0418900,0.0425700,0.0404200,0.0420800,29392961
2025-09-04,MILKUSDT,0.0420800,0.0431500,0.0388600,0.0394500,38847647
2025-09-05,MILKUSDT,0.0394300,0.0410700,0.0394300,0.0401800,20505644
2025-09-06,MILKUSDT,0.0401800,0.0410300,0.0393600,0.0400200,23743863
2025-09-07,MILKUSDT,0.0400300,0.0417600,0.0398600,0.0411200,39125412
2025-09-08,MILKUSDT,0.0411000,0.0440100,0.0408400,0.0422500,70873067
2025-09-09,MILKUSDT,0.0422800,0.0443800,0.0409200,0.0417800,72813982
2025-09-10,MILKUSDT,0.0417500,0.0443300,0.0406800,0.0432200,56097064
