Date,Symbol,Open,High,Low,Close,Volume
2025-06-18,MYXUSDT,0.0778000,0.0870000,0.0570500,0.0579000,1187983116
2025-06-19,MYXUSDT,0.0578900,0.0584700,0.0463300,0.0479900,1546885534
2025-06-20,MYXUSDT,0.0480000,0.0658100,0.0469500,0.0527600,2936191874
2025-06-21,MYXUSDT,0.0527600,0.0754500,0.0510600,0.0562700,2930365258
2025-06-22,MYXUSDT,0.0562700,0.0834400,0.0556200,0.0769800,2943134752
2025-06-23,MYXUSDT,0.0769800,0.1208200,0.0745200,0.0980400,3358643101
2025-06-24,MYXUSDT,0.0980400,0.1168000,0.0856400,0.0906500,1268193678
2025-06-25,MYXUSDT,0.0906400,0.1027700,0.0873100,0.0954800,667136749
2025-06-26,MYXUSDT,0.0954600,0.1260000,0.0937300,0.1137100,2222801000
2025-06-27,MYXUSDT,0.1137800,0.1140000,0.0837700,0.1082700,1333711349
2025-06-28,MYXUSDT,0.1082700,0.1398500,0.1057900,0.1262000,1888524545
2025-06-29,MYXUSDT,0.1262000,0.1454300,0.1235600,0.1396000,602371470
2025-06-30,MYXUSDT,0.1396200,0.1615800,0.1326900,0.1492100,1218482473
2025-07-01,MYXUSDT,0.1492800,0.1548800,0.0850600,0.1294200,2515506347
2025-07-02,MYXUSDT,0.1294300,0.1320400,0.1026300,0.1134800,1067261709
2025-07-03,MYXUSDT,0.1134800,0.1143900,0.0550000,0.0590100,3611803363
2025-07-04,MYXUSDT,0.0589800,0.0615000,0.0504500,0.0528300,1574326548
2025-07-05,MYXUSDT,0.0528300,0.0681500,0.0520300,0.0610700,2417381129
2025-07-06,MYXUSDT,0.0610800,0.1310000,0.0594000,0.1202200,10046288715
2025-07-07,MYXUSDT,0.1202200,0.1429000,0.0961200,0.0972900,5374709791
2025-07-08,MYXUSDT,0.0973100,0.1238900,0.0858100,0.1059600,3929265568
2025-07-09,MYXUSDT,0.1059700,0.1359200,0.0971800,0.1276400,1895720150
2025-07-10,MYXUSDT,0.1276100,0.1415900,0.1130500,0.1276500,1179826013
2025-07-11,MYXUSDT,0.1276400,0.1300000,0.0858900,0.0918000,1481224984
2025-07-12,MYXUSDT,0.0918300,0.1265000,0.0911100,0.0951900,1549242005
2025-07-13,MYXUSDT,0.0951800,0.0959900,0.0637800,0.0811200,1937049205
2025-07-14,MYXUSDT,0.0811300,0.0888700,0.0744500,0.0784100,815000811
2025-07-15,MYXUSDT,0.0784000,0.0792200,0.0718200,0.0761900,480651957
2025-07-16,MYXUSDT,0.0761700,0.0769000,0.0683800,0.0693200,421807193
2025-07-17,MYXUSDT,0.0693300,0.0758800,0.0660300,0.0723100,433433819
2025-07-18,MYXUSDT,0.0723100,0.0789700,0.0705000,0.0770400,420138880
2025-07-19,MYXUSDT,0.0770400,0.0837900,0.0737900,0.0806500,438041041
2025-07-20,MYXUSDT,0.0806500,0.0909600,0.0782700,0.0865400,352094742
2025-07-21,MYXUSDT,0.0865300,0.1120000,0.0790000,0.0839600,715160875
2025-07-22,MYXUSDT,0.0839500,0.0932400,0.0811000,0.0843900,399121003
2025-07-23,MYXUSDT,0.0844100,0.1035600,0.0819300,0.0988400,579799642
2025-07-24,MYXUSDT,0.0988400,0.1088000,0.0933500,0.1039800,425911736
2025-07-25,MYXUSDT,0.1039700,0.1080600,0.0968200,0.1057900,171512813
2025-07-26,MYXUSDT,0.1057900,0.1200000,0.1009600,0.1148700,245922656
2025-07-27,MYXUSDT,0.1148500,0.1287000,0.1070000,0.1150300,508413188
2025-07-28,MYXUSDT,0.1150600,0.1378000,0.0955800,0.1080100,684041676
2025-07-29,MYXUSDT,0.1080000,0.1104300,0.0970000,0.1065900,229152258
2025-07-30,MYXUSDT,0.1065600,0.1127800,0.1006200,0.1069900,183370208
2025-07-31,MYXUSDT,0.1069900,0.1090800,0.1019200,0.1045500,104312721
2025-08-01,MYXUSDT,0.1045300,0.1103100,0.1021800,0.1057800,141373216
2025-08-02,MYXUSDT,0.1057500,0.1167800,0.1042600,0.1135600,196695403
2025-08-03,MYXUSDT,0.1136000,0.2028000,0.1084500,0.1681000,2982756983
2025-08-04,MYXUSDT,0.1680800,0.4826600,0.1605000,0.3962500,9435845148
2025-08-05,MYXUSDT,0.3961600,2.0788800,0.3850500,1.2531100,6476368122
2025-08-06,MYXUSDT,1.2525800,2.1700000,0.8152800,1.6463900,2697162465
2025-08-07,MYXUSDT,1.6461700,2.1319900,1.3758100,1.5167500,1165410938
2025-08-08,MYXUSDT,1.5167500,2.3555500,1.4550000,1.6899300,1089106106
2025-08-09,MYXUSDT,1.6899100,1.8105000,1.4800000,1.5587700,438710210
2025-08-10,MYXUSDT,1.5585900,1.7977700,1.5408700,1.6709100,262109276
2025-08-11,MYXUSDT,1.6708800,1.7900000,1.5840000,1.7426000,195573973
2025-08-12,MYXUSDT,1.7426000,1.7580000,1.5900000,1.7008000,161665024
2025-08-13,MYXUSDT,1.7010000,1.9800000,1.6865000,1.8537000,211503100
2025-08-14,MYXUSDT,1.8529000,1.8597000,1.2162000,1.6126000,391824292
2025-08-15,MYXUSDT,1.6125000,2.2515000,1.5788000,1.9098000,337667565
2025-08-16,MYXUSDT,1.9095000,2.1500000,1.7802000,1.9892000,206112935
2025-08-17,MYXUSDT,1.9898000,2.4180000,1.6694000,1.7946000,423125222
2025-08-18,MYXUSDT,1.7939000,1.8272000,1.3590000,1.4224000,348860052
2025-08-19,MYXUSDT,1.4223000,1.4580000,1.0700000,1.1095000,342582771
2025-08-20,MYXUSDT,1.1099000,1.1688000,0.9868000,1.0567000,275583172
2025-08-21,MYXUSDT,1.0568000,1.1920000,0.9377000,1.1839000,284726995
2025-08-22,MYXUSDT,1.1841000,1.2690000,1.0378000,1.0951000,319629973
2025-08-23,MYXUSDT,1.0951000,1.1059000,1.0100000,1.0877000,108190203
2025-08-24,MYXUSDT,1.0878000,1.2300000,1.0224000,1.2032000,93548334
2025-08-25,MYXUSDT,1.2034000,1.2644000,1.1174000,1.2015000,117303500
2025-08-26,MYXUSDT,1.2015000,1.2921000,1.1360000,1.2183000,101474137
2025-08-27,MYXUSDT,1.2183000,1.2531000,1.1650000,1.2088000,60976040
2025-08-28,MYXUSDT,1.2089000,1.2930000,1.1771000,1.2649000,51379983
2025-08-29,MYXUSDT,1.2650000,1.2918000,1.1821000,1.2097000,41155519
2025-08-30,MYXUSDT,1.2097000,1.2420000,1.1864000,1.2263000,23889976
2025-08-31,MYXUSDT,1.2262000,1.2498000,1.1622000,1.2069000,33284108
2025-09-01,MYXUSDT,1.2069000,1.2168000,1.0119200,1.0189000,45604783
2025-09-02,MYXUSDT,1.0189000,1.2233300,0.9622000,1.2044000,99184921
2025-09-03,MYXUSDT,1.2043000,1.2410000,1.1229000,1.1336000,64923919
2025-09-04,MYXUSDT,1.1337000,1.2345000,1.0884000,1.1432000,39772372
2025-09-05,MYXUSDT,1.1433000,1.3024000,1.1339000,1.1562000,76983935
2025-09-06,MYXUSDT,1.1570000,1.3192000,1.1409000,1.3076000,44640740
2025-09-07,MYXUSDT,1.3075000,3.7300000,1.2890000,3.4880000,880807248
2025-09-08,MYXUSDT,3.4895000,14.4890000,3.4280000,13.8888000,839626249
2025-09-09,MYXUSDT,13.8830000,18.5800000,11.5600000,14.4780000,407873957
2025-09-10,MYXUSDT,14.4838000,18.1818000,13.2772000,16.6010000,152254158
2025-09-11,MYXUSDT,16.6020000,18.6500000,11.7320000,13.2720000,147271555
2025-09-12,MYXUSDT,13.2690000,17.9440000,10.6060000,14.3020000,150034538
2025-09-13,MYXUSDT,14.3030000,15.9250000,11.3300000,12.1410000,67449087
2025-09-14,MYXUSDT,12.1410000,12.4950000,10.2300000,11.0680000,64401147
2025-09-15,MYXUSDT,11.0670000,12.4300000,9.8800000,10.5420000,45939814
2025-09-16,MYXUSDT,10.5420000,11.9420000,10.2520000,11.4820000,27525303
2025-09-17,MYXUSDT,11.4830000,18.0840000,11.1980000,16.7760000,117470837
2025-09-18,MYXUSDT,16.7720000,17.5000000,14.0130000,14.0390000,36562722
2025-09-19,MYXUSDT,14.0390000,14.4980000,11.2220000,11.3500000,29011757
2025-09-20,MYXUSDT,11.3490000,12.1820000,10.2580000,10.6180000,19648599
2025-09-21,MYXUSDT,10.6180000,11.1030000,8.8840000,9.8160000,26110827
2025-09-22,MYXUSDT,9.8160000,10.0000000,8.0800000,9.4070000,18742527
2025-09-23,MYXUSDT,9.4070000,10.3690000,8.5300000,9.3690000,18751332
2025-09-24,MYXUSDT,9.3730000,9.8340000,8.8510000,8.9320000,9999178
2025-09-25,MYXUSDT,8.9340000,12.4690000,8.8000000,9.1510000,29942258
2025-09-26,MYXUSDT,9.1510000,10.4190000,8.8550000,10.3540000,12118474
2025-09-27,MYXUSDT,10.3540000,15.5000000,9.6580000,14.4430000,40606483
2025-09-28,MYXUSDT,14.4420000,16.1660000,12.1300000,15.9700000,29092159
2025-09-29,MYXUSDT,15.9740000,17.0200000,15.0000000,16.1130000,16524655
2025-09-30,MYXUSDT,16.1100000,16.3790000,14.6180000,15.2520000,14245550
2025-10-01,MYXUSDT,15.2520000,15.5550000,13.3010000,15.3750000,6438014
