Date,Symbol,Open,High,Low,Close,Volume
2021-04-09,NKNUSDT,1.18000,1.48400,1.06982,1.29297,181527351
2021-04-10,NKNUSDT,1.29483,1.32848,0.98336,1.02558,143947257
2021-04-11,NKNUSDT,1.02558,1.06434,0.92240,0.95244,94044054
2021-04-12,NKNUSDT,0.95413,0.98000,0.85000,0.87208,90756168
2021-04-13,NKNUSDT,0.87244,0.93664,0.82200,0.85092,62032500
2021-04-14,NKNUSDT,0.85296,0.85811,0.73000,0.78793,106313829
2021-04-15,NKNUSDT,0.78893,0.94054,0.75461,0.81330,140097703
2021-04-16,NKNUSDT,0.81313,0.83000,0.73744,0.77517,74248040
2021-04-17,NKNUSDT,0.77621,0.84559,0.76000,0.77940,62671801
2021-04-18,NKNUSDT,0.77938,0.80200,0.48690,0.66128,100470502
2021-04-19,NKNUSDT,0.66127,0.69746,0.57454,0.58777,43350278
2021-04-20,NKNUSDT,0.58720,0.60649,0.51743,0.60551,46539266
2021-04-21,NKNUSDT,0.60563,0.87585,0.59110,0.73187,344576535
2021-04-22,NKNUSDT,0.73226,0.74940,0.57904,0.60864,151797283
2021-04-23,NKNUSDT,0.60920,0.63773,0.45454,0.59925,113100871
2021-04-24,NKNUSDT,0.59975,0.64000,0.54574,0.54965,51801373
2021-04-25,NKNUSDT,0.54988,0.66913,0.54357,0.61299,61196974
2021-04-26,NKNUSDT,0.61428,0.68800,0.59321,0.65898,64696444
2021-04-27,NKNUSDT,0.65895,0.71988,0.64274,0.67878,47076282
2021-04-28,NKNUSDT,0.67883,0.70970,0.60926,0.65363,39799911
2021-04-29,NKNUSDT,0.65362,0.69131,0.62164,0.64982,41760193
2021-04-30,NKNUSDT,0.64951,0.71100,0.63130,0.69249,42011161
2021-05-01,NKNUSDT,0.69236,0.87344,0.68646,0.76946,212339479
2021-05-02,NKNUSDT,0.76898,0.79899,0.70459,0.75782,102613130
2021-05-03,NKNUSDT,0.75805,0.82130,0.73311,0.76220,93125722
2021-05-04,NKNUSDT,0.76277,0.76469,0.64720,0.67059,86842198
2021-05-05,NKNUSDT,0.67045,0.71152,0.65631,0.69404,64018625
2021-05-06,NKNUSDT,0.69417,0.69900,0.63000,0.64512,70984821
2021-05-07,NKNUSDT,0.64545,0.69702,0.62626,0.65961,53869561
2021-05-08,NKNUSDT,0.65967,0.68000,0.63522,0.65469,34380835
2021-05-09,NKNUSDT,0.65491,0.66012,0.60392,0.62473,35270895
2021-05-10,NKNUSDT,0.62523,0.75000,0.52246,0.57465,127989135
2021-05-11,NKNUSDT,0.57457,0.63000,0.55400,0.62341,57960944
2021-05-12,NKNUSDT,0.62287,0.65966,0.50148,0.50609,48663245
2021-05-13,NKNUSDT,0.50641,0.56889,0.47064,0.53447,54378590
2021-05-14,NKNUSDT,0.53434,0.57975,0.52202,0.54634,25883591
2021-05-15,NKNUSDT,0.54668,0.64489,0.53606,0.58877,80366803
2021-05-16,NKNUSDT,0.58864,0.74284,0.55085,0.58641,170456521
2021-05-17,NKNUSDT,0.58634,0.58956,0.51536,0.52746,68974337
2021-05-18,NKNUSDT,0.52780,0.56706,0.51815,0.53253,39738681
2021-05-19,NKNUSDT,0.53249,0.54632,0.16074,0.32691,110601884
2021-05-20,NKNUSDT,0.32710,0.43805,0.28772,0.42237,87571536
2021-05-21,NKNUSDT,0.42207,0.50713,0.29603,0.34791,111232147
2021-05-22,NKNUSDT,0.34782,0.38662,0.31635,0.32211,68394312
2021-05-23,NKNUSDT,0.32201,0.33600,0.22132,0.27882,81521693
2021-05-24,NKNUSDT,0.27876,0.33395,0.26723,0.32848,53983949
2021-05-25,NKNUSDT,0.32841,0.42800,0.31182,0.41143,170969535
2021-05-26,NKNUSDT,0.41208,0.47397,0.37603,0.42372,72581667
2021-05-27,NKNUSDT,0.42371,0.45237,0.39400,0.40042,50695306
2021-05-28,NKNUSDT,0.40032,0.40777,0.32946,0.35004,49965709
2021-05-29,NKNUSDT,0.34997,0.44667,0.32519,0.34780,139982735
2021-05-30,NKNUSDT,0.34798,0.37560,0.31999,0.35439,52288240
2021-05-31,NKNUSDT,0.35432,0.38652,0.32791,0.36994,40731263
2021-06-01,NKNUSDT,0.36980,0.41033,0.35814,0.37414,97035480
2021-06-02,NKNUSDT,0.37415,0.40442,0.36105,0.37702,59842422
2021-06-03,NKNUSDT,0.37701,0.41814,0.37068,0.39298,45850050
2021-06-04,NKNUSDT,0.39329,0.39493,0.33531,0.35451,48133952
2021-06-05,NKNUSDT,0.35456,0.39008,0.33802,0.34431,72948407
2021-06-06,NKNUSDT,0.34430,0.36332,0.34165,0.35334,26224920
2021-06-07,NKNUSDT,0.35337,0.36988,0.31508,0.32166,30897180
2021-06-08,NKNUSDT,0.32153,0.33366,0.28398,0.31129,73107984
2021-06-09,NKNUSDT,0.31139,0.32556,0.29778,0.32273,67990847
2021-06-10,NKNUSDT,0.32256,0.32906,0.28950,0.29277,40179191
2021-06-11,NKNUSDT,0.29277,0.31173,0.26723,0.27200,47132014
2021-06-12,NKNUSDT,0.27188,0.30500,0.24954,0.27100,124850132
2021-06-13,NKNUSDT,0.27112,0.30500,0.26614,0.29094,79807682
