Date,Symbol,Open,High,Low,Close,Volume
2025-05-15,NXPCUSDT,2.1840000,3.6400000,2.1318800,2.6217900,1028094019
2025-05-16,NXPCUSDT,2.6218100,2.9700000,2.4675600,2.5541400,438214556
2025-05-17,NXPCUSDT,2.5541400,2.6208000,2.1245900,2.2731700,329449322
2025-05-18,NXPCUSDT,2.2734000,2.3800000,2.1300000,2.2900600,224521696
2025-05-19,NXPCUSDT,2.2900600,2.3727500,1.8810000,1.9876000,264135211
2025-05-20,NXPCUSDT,1.9876000,2.0510200,1.7653500,1.8992900,254197499
2025-05-21,NXPCUSDT,1.8992900,1.9995400,1.7928400,1.8608700,220961041
2025-05-22,NXPCUSDT,1.8607600,1.9327300,1.7801300,1.9016900,144056080
2025-05-23,NXPCUSDT,1.9017800,2.1599300,1.8518100,1.9698600,289692980
2025-05-24,NXPCUSDT,1.9698900,2.2700000,1.9656300,2.1545000,192499319
2025-05-25,NXPCUSDT,2.1547500,2.2874200,1.9800000,2.0534000,185053104
2025-05-26,NXPCUSDT,2.0532600,2.0845800,1.8630000,1.9106900,113785870
2025-05-27,NXPCUSDT,1.9106100,1.9823400,1.8200000,1.9669900,103312102
2025-05-28,NXPCUSDT,1.9669600,2.0434700,1.7500000,1.8048700,128502683
2025-05-29,NXPCUSDT,1.8048800,1.8579600,1.6520000,1.6698700,177112308
2025-05-30,NXPCUSDT,1.6699500,1.6699500,1.4331900,1.4469900,151220691
2025-05-31,NXPCUSDT,1.4470400,1.5283200,1.3150600,1.3407700,134189790
2025-06-01,NXPCUSDT,1.3407700,1.4189500,1.2897200,1.3799600,107865449
2025-06-02,NXPCUSDT,1.3799700,1.3825300,1.2672600,1.3417900,75569315
2025-06-03,NXPCUSDT,1.3416600,1.5637000,1.3279300,1.5406200,150475050
2025-06-04,NXPCUSDT,1.5406500,1.5674500,1.3467400,1.3642500,94485663
2025-06-05,NXPCUSDT,1.3642500,1.3893400,1.1675300,1.1859500,105376655
2025-06-06,NXPCUSDT,1.1859300,1.3244200,1.1852800,1.2093200,82205635
2025-06-07,NXPCUSDT,1.2093300,1.3447000,1.1907400,1.3142700,91674447
2025-06-08,NXPCUSDT,1.3142800,1.3500000,1.2518400,1.2557700,59524981
2025-06-09,NXPCUSDT,1.2557400,1.4434900,1.2458300,1.4301500,101227820
2025-06-10,NXPCUSDT,1.4301100,1.4443800,1.3300000,1.3778500,68910659
2025-06-11,NXPCUSDT,1.3778500,1.4297400,1.3047100,1.3200000,63602257
2025-06-12,NXPCUSDT,1.3201200,1.4595400,1.2654100,1.4514500,197113335
2025-06-13,NXPCUSDT,1.4514400,1.5885500,1.2534800,1.3153200,494039227
2025-06-14,NXPCUSDT,1.3155100,1.3167600,1.2106200,1.2442000,116652170
2025-06-15,NXPCUSDT,1.2440900,1.2839300,1.2157700,1.2394100,71033251
2025-06-16,NXPCUSDT,1.2393500,1.2622000,1.1906400,1.1938600,79947442
2025-06-17,NXPCUSDT,1.1939200,1.2100000,1.1216600,1.1375000,76043160
2025-06-18,NXPCUSDT,1.1374800,1.1547500,1.0709800,1.1214700,72092049
2025-06-19,NXPCUSDT,1.1214900,1.1310000,1.0019300,1.0466300,71285951
