Date,Symbol,Open,High,Low,Close,Volume
2025-03-27,PAXGUSDT,2988.0000,3129.0300,2988.0000,3056.1500,7611.626
2025-03-28,PAXGUSDT,3055.7700,3097.7000,3055.2700,3088.7100,5503.253
2025-03-29,PAXGUSDT,3088.7300,3116.9900,3085.1500,3114.9900,3859.901
2025-03-30,PAXGUSDT,3115.1400,3140.0000,3105.0000,3105.1700,3997.491
2025-03-31,PAXGUSDT,3105.1600,3164.2600,3105.0000,3145.0100,5610.003
2025-04-01,PAXGUSDT,3145.0200,3177.5600,3123.0300,3129.1100,3977.795
2025-04-02,PAXGUSDT,3129.1200,3190.0000,3120.0000,3188.0000,6187.621
2025-04-03,PAXGUSDT,3187.9900,3189.9500,3076.0200,3125.0800,12080.365
2025-04-04,PAXGUSDT,3125.2900,3146.9900,3040.0000,3053.9000,8061.293
2025-04-05,PAXGUSDT,3053.9100,3069.0000,3046.7900,3067.0000,2519.550
2025-04-06,PAXGUSDT,3067.0000,3069.0000,2983.0300,3002.4300,4929.428
2025-04-07,PAXGUSDT,3002.5900,3064.4300,2984.0900,3000.8900,10417.971
2025-04-08,PAXGUSDT,3000.8200,3039.0000,2988.8800,2998.6700,4970.672
2025-04-09,PAXGUSDT,2998.6300,3114.7300,2991.7100,3100.2000,12560.071
2025-04-10,PAXGUSDT,3100.2000,3218.7900,3093.7900,3213.6100,13701.982
2025-04-11,PAXGUSDT,3213.6000,3271.0300,3210.0000,3263.5600,18303.960
2025-04-12,PAXGUSDT,3263.5600,3299.0000,3236.0000,3241.4600,9997.585
2025-04-13,PAXGUSDT,3241.4600,3266.5700,3238.0000,3245.5900,5978.641
2025-04-14,PAXGUSDT,3245.5900,3273.0000,3197.2600,3237.0000,10049.484
2025-04-15,PAXGUSDT,3236.9900,3265.7100,3229.0200,3265.7100,6711.805
2025-04-16,PAXGUSDT,3265.7100,3379.0000,3265.2700,3374.1000,18887.364
2025-04-17,PAXGUSDT,3374.2000,3383.0000,3307.0000,3343.7800,15009.973
2025-04-18,PAXGUSDT,3343.7700,3359.0000,3334.7300,3350.7800,6642.004
2025-04-19,PAXGUSDT,3350.7800,3353.7000,3340.6600,3347.1000,3107.230
