Date,Symbol,Open,High,Low,Close,Volume
2025-07-31,PLAYUSDT,0.0397200,0.0399700,0.0303700,0.0354300,3114178640
2025-08-01,PLAYUSDT,0.0354400,0.0418800,0.0307000,0.0329300,1318491502
2025-08-02,PLAYUSDT,0.0329300,0.0350000,0.0283300,0.0298900,1102912826
2025-08-03,PLAYUSDT,0.0298900,0.0334500,0.0296100,0.0325900,814201863
2025-08-04,PLAYUSDT,0.0325700,0.0371000,0.0320600,0.0357100,819569041
2025-08-05,PLAYUSDT,0.0357100,0.0363800,0.0310700,0.0345700,580739272
2025-08-06,PLAYUSDT,0.0345700,0.0368000,0.0328900,0.0353500,602814560
2025-08-07,PLAYUSDT,0.0353500,0.0945000,0.0328200,0.0477100,7642902014
2025-08-08,PLAYUSDT,0.0477200,0.0483200,0.0412100,0.0448800,1602487490
2025-08-09,PLAYUSDT,0.0448800,0.0481800,0.0410400,0.0466700,2761166637
2025-08-10,PLAYUSDT,0.0466800,0.0575000,0.0442300,0.0486400,1239092065
2025-08-11,PLAYUSDT,0.0486400,0.0646900,0.0432400,0.0469200,1449904831
2025-08-12,PLAYUSDT,0.0469100,0.0549800,0.0452100,0.0455100,682482219
2025-08-13,PLAYUSDT,0.0455100,0.0529700,0.0435000,0.0523500,464817220
2025-08-14,PLAYUSDT,0.0523300,0.0605800,0.0460800,0.0516400,1459258784
2025-08-15,PLAYUSDT,0.0516500,0.0538100,0.0473200,0.0479100,303075076
2025-08-16,PLAYUSDT,0.0479100,0.0500900,0.0460200,0.0490800,226194828
2025-08-17,PLAYUSDT,0.0490900,0.0567700,0.0477700,0.0535800,432997928
2025-08-18,PLAYUSDT,0.0535800,0.0562100,0.0485500,0.0519600,523783325
2025-08-19,PLAYUSDT,0.0519700,0.0521200,0.0426600,0.0429700,286056266
2025-08-20,PLAYUSDT,0.0429500,0.0520700,0.0418800,0.0516600,382604097
2025-08-21,PLAYUSDT,0.0516600,0.0527400,0.0461800,0.0464500,280220954
2025-08-22,PLAYUSDT,0.0464500,0.0564800,0.0453400,0.0549700,248664006
2025-08-23,PLAYUSDT,0.0549300,0.0599400,0.0494700,0.0537800,440367524
2025-08-24,PLAYUSDT,0.0537700,0.0574300,0.0460000,0.0473600,273842164
2025-08-25,PLAYUSDT,0.0473900,0.0483700,0.0441500,0.0446700,191826691
2025-08-26,PLAYUSDT,0.0446700,0.0451300,0.0391400,0.0401500,254803756
2025-08-27,PLAYUSDT,0.0401200,0.0462700,0.0382000,0.0410100,342072850
2025-08-28,PLAYUSDT,0.0410400,0.0447600,0.0405100,0.0431500,195928557
2025-08-29,PLAYUSDT,0.0431400,0.0564000,0.0402300,0.0520500,643676090
2025-08-30,PLAYUSDT,0.0519600,0.0536900,0.0452600,0.0473300,355351563
2025-08-31,PLAYUSDT,0.0473300,0.0584500,0.0465600,0.0569300,498385969
2025-09-01,PLAYUSDT,0.0569200,0.0578800,0.0425900,0.0429900,781360011
2025-09-02,PLAYUSDT,0.0429900,0.0456900,0.0425000,0.0437400,120872334
2025-09-03,PLAYUSDT,0.0437500,0.0442400,0.0359200,0.0394600,281763914
2025-09-04,PLAYUSDT,0.0394500,0.0401400,0.0369000,0.0373300,221446446
2025-09-05,PLAYUSDT,0.0373400,0.0495000,0.0355200,0.0446000,1093024634
2025-09-06,PLAYUSDT,0.0445400,0.0453300,0.0401000,0.0417900,265631428
2025-09-07,PLAYUSDT,0.0417900,0.0462500,0.0410200,0.0440500,123053544
2025-09-08,PLAYUSDT,0.0440300,0.0484300,0.0424100,0.0459200,191473200
2025-09-09,PLAYUSDT,0.0459200,0.0542700,0.0442300,0.0536700,238049693
2025-09-10,PLAYUSDT,0.0537500,0.0538700,0.0437600,0.0478900,157713593
2025-09-11,PLAYUSDT,0.0478700,0.0500900,0.0449900,0.0465100,53947040
2025-09-12,PLAYUSDT,0.0464600,0.0474800,0.0451900,0.0473300,45671945
2025-09-13,PLAYUSDT,0.0473800,0.0497900,0.0466600,0.0481700,71794655
2025-09-14,PLAYUSDT,0.0481300,0.0502900,0.0442600,0.0454000,78798571
2025-09-15,PLAYUSDT,0.0454000,0.0464600,0.0425500,0.0437400,48356022
2025-09-16,PLAYUSDT,0.0437400,0.0506000,0.0428800,0.0494800,172126269
2025-09-17,PLAYUSDT,0.0495000,0.0506900,0.0465900,0.0477400,95999006
2025-09-18,PLAYUSDT,0.0477500,0.0496100,0.0465300,0.0483600,56677301
2025-09-19,PLAYUSDT,0.0483600,0.0486700,0.0437000,0.0446600,51932143
2025-09-20,PLAYUSDT,0.0446200,0.0467500,0.0436800,0.0463400,47449084
2025-09-21,PLAYUSDT,0.0463200,0.0476700,0.0430000,0.0440400,65286289
2025-09-22,PLAYUSDT,0.0440100,0.0441100,0.0395700,0.0403100,65022625
2025-09-23,PLAYUSDT,0.0403100,0.0405700,0.0380800,0.0380800,44946871
2025-09-24,PLAYUSDT,0.0381100,0.0405900,0.0379500,0.0390200,46417716
2025-09-25,PLAYUSDT,0.0389900,0.0395500,0.0365400,0.0368000,47491180
2025-09-26,PLAYUSDT,0.0368300,0.0388400,0.0365700,0.0385500,50000952
2025-09-27,PLAYUSDT,0.0385500,0.0411600,0.0379800,0.0404100,46561476
2025-09-28,PLAYUSDT,0.0404300,0.0405700,0.0382300,0.0404400,51732146
2025-09-29,PLAYUSDT,0.0404200,0.0424300,0.0393500,0.0421600,49490602
2025-09-30,PLAYUSDT,0.0421700,0.0421800,0.0395500,0.0404900,29346549
2025-10-01,PLAYUSDT,0.0405200,0.0405500,0.0398000,0.0398900,7139939
