Date,Symbol,Open,High,Low,Close,Volume
2023-10-25,POLYXUSDT,0.2687000,0.3168000,0.1852000,0.2115000,1336545263
2023-10-26,POLYXUSDT,0.2114000,0.2669000,0.2075000,0.2616000,1285868663
2023-10-27,POLYXUSDT,0.2616000,0.2861000,0.1891000,0.2388000,951441487
2023-10-28,POLYXUSDT,0.2388000,0.2810000,0.2222000,0.2731000,693309955
2023-10-29,POLYXUSDT,0.2731000,0.3048000,0.2560000,0.2914000,858707949
2023-10-30,POLYXUSDT,0.2914000,0.4292000,0.2914000,0.4029000,1637225263
2023-10-31,POLYXUSDT,0.4029000,0.4300000,0.2373000,0.2476000,2825658280
2023-11-01,POLYXUSDT,0.2476000,0.2555000,0.2197000,0.2349000,1305395612
2023-11-02,POLYXUSDT,0.2349000,0.2358000,0.2056000,0.2192000,547252942
2023-11-03,POLYXUSDT,0.2193000,0.2345000,0.2067000,0.2307000,482063940
2023-11-04,POLYXUSDT,0.2308000,0.2410000,0.2237000,0.2331000,273496445
2023-11-05,POLYXUSDT,0.2331000,0.2336000,0.2150000,0.2200000,193296361
2023-11-06,POLYXUSDT,0.2199000,0.2205000,0.2041000,0.2169000,199029413
2023-11-07,POLYXUSDT,0.2169000,0.2169000,0.2028000,0.2101000,191566159
2023-11-08,POLYXUSDT,0.2100000,0.2260000,0.2092000,0.2212000,229110845
2023-11-09,POLYXUSDT,0.2211000,0.2282000,0.1700000,0.2105000,325949961
2023-11-10,POLYXUSDT,0.2106000,0.2223000,0.2059000,0.2179000,205406404
2023-11-11,POLYXUSDT,0.2179000,0.2226000,0.2100000,0.2172000,162970065
2023-11-12,POLYXUSDT,0.2172000,0.2175000,0.2068000,0.2134000,100366240
2023-11-13,POLYXUSDT,0.2135000,0.2180000,0.2027000,0.2080000,124404417
2023-11-14,POLYXUSDT,0.2079000,0.2096000,0.1866000,0.2032000,128675648
2023-11-15,POLYXUSDT,0.2032000,0.2130000,0.2025000,0.2118000,151658938
2023-11-16,POLYXUSDT,0.2118000,0.2150000,0.2031000,0.2116000,191345397
2023-11-17,POLYXUSDT,0.2115000,0.2220000,0.1964000,0.2089000,244222830
2023-11-18,POLYXUSDT,0.2089000,0.2092000,0.1916000,0.2030000,141211612
2023-11-19,POLYXUSDT,0.2030000,0.2106000,0.1970000,0.2098000,118950904
2023-11-20,POLYXUSDT,0.2098000,0.2126000,0.2034000,0.2069000,114679116
2023-11-21,POLYXUSDT,0.2068000,0.2078000,0.1818000,0.1820000,160005440
2023-11-22,POLYXUSDT,0.1819000,0.1953000,0.1809000,0.1940000,86627150
2023-11-23,POLYXUSDT,0.1939000,0.1983000,0.1901000,0.1965000,71563113
2023-11-24,POLYXUSDT,0.1966000,0.2058000,0.1955000,0.1998000,93642394
2023-11-25,POLYXUSDT,0.1997000,0.2023000,0.1965000,0.2010000,40394191
2023-11-26,POLYXUSDT,0.2010000,0.2017000,0.1907000,0.1963000,54056304
2023-11-27,POLYXUSDT,0.1964000,0.1978000,0.1852000,0.1894000,61001271
2023-11-28,POLYXUSDT,0.1894000,0.2026000,0.1867000,0.2007000,148727803
2023-11-29,POLYXUSDT,0.2006000,0.2063000,0.1965000,0.2012000,86157989
2023-11-30,POLYXUSDT,0.2011000,0.2018000,0.1944000,0.1973000,51148017
2023-12-01,POLYXUSDT,0.1974000,0.2004000,0.1954000,0.1979000,41990883
2023-12-02,POLYXUSDT,0.1979000,0.2097000,0.1971000,0.2056000,97975462
2023-12-03,POLYXUSDT,0.2056000,0.2252000,0.2046000,0.2209000,356784188
2023-12-04,POLYXUSDT,0.2210000,0.2486000,0.1884000,0.2232000,291557914
2023-12-05,POLYXUSDT,0.2232000,0.2237000,0.2101000,0.2152000,167147981
