Date,Symbol,Open,High,Low,Close,Volume
2025-09-03,PTBUSDT,0.0297900,0.0352200,0.0223300,0.0257400,4140116153
2025-09-04,PTBUSDT,0.0257400,0.0382200,0.0235500,0.0360600,7502149587
2025-09-05,PTBUSDT,0.0360600,0.0521000,0.0350100,0.0502000,19637352847
2025-09-06,PTBUSDT,0.0502000,0.0540000,0.0458900,0.0477300,7932584741
2025-09-07,PTBUSDT,0.0477200,0.0618000,0.0454300,0.0552000,4570099245
2025-09-08,PTBUSDT,0.0552100,0.0874000,0.0493100,0.0601300,3435447346
2025-09-09,PTBUSDT,0.0601300,0.0747200,0.0590900,0.0692100,1812086011
2025-09-10,PTBUSDT,0.0692100,0.0774100,0.0377400,0.0398900,3179446988
2025-09-11,PTBUSDT,0.0399000,0.0666700,0.0383200,0.0622300,5031252773
2025-09-12,PTBUSDT,0.0622200,0.0732800,0.0467500,0.0661300,5895938546
2025-09-13,PTBUSDT,0.0661300,0.0688900,0.0601400,0.0652000,1245301320
2025-09-14,PTBUSDT,0.0651900,0.0738000,0.0621000,0.0689300,1039151367
2025-09-15,PTBUSDT,0.0689700,0.0704500,0.0595800,0.0658300,644785032
2025-09-16,PTBUSDT,0.0658200,0.0668000,0.0587000,0.0626700,384597129
2025-09-17,PTBUSDT,0.0626700,0.0656000,0.0599600,0.0618700,347578359
2025-09-18,PTBUSDT,0.0618600,0.0649700,0.0552000,0.0627600,493477824
2025-09-19,PTBUSDT,0.0627900,0.0635600,0.0531200,0.0537200,331446519
2025-09-20,PTBUSDT,0.0537300,0.0578200,0.0527400,0.0554000,264593602
2025-09-21,PTBUSDT,0.0554100,0.0595800,0.0547600,0.0568500,278534090
2025-09-22,PTBUSDT,0.0568600,0.0714400,0.0530000,0.0600700,1444987516
2025-09-23,PTBUSDT,0.0600400,0.0656200,0.0530500,0.0547900,624038789
2025-09-24,PTBUSDT,0.0547900,0.0634500,0.0541600,0.0576700,363300164
2025-09-25,PTBUSDT,0.0576800,0.0599000,0.0497500,0.0522100,390358093
2025-09-26,PTBUSDT,0.0522100,0.0541600,0.0460300,0.0466600,247225661
2025-09-27,PTBUSDT,0.0466600,0.0592700,0.0427000,0.0552200,641923616
2025-09-28,PTBUSDT,0.0552000,0.0553100,0.0486500,0.0504800,423814059
2025-09-29,PTBUSDT,0.0505000,0.0571800,0.0486000,0.0559700,313326535
2025-09-30,PTBUSDT,0.0559600,0.0679000,0.0465100,0.0570800,766822997
2025-10-01,PTBUSDT,0.0570300,0.0571300,0.0507300,0.0509600,115198217
