Date,Symbol,Open,High,Low,Close,Volume
2025-06-13,PUMPBTCUSDT,0.0439000,0.0539500,0.0420600,0.0498500,2541125669
2025-06-14,PUMPBTCUSDT,0.0498500,0.0520000,0.0464800,0.0474700,1622004936
2025-06-15,PUMPBTCUSDT,0.0474700,0.0484700,0.0422600,0.0430500,717018057
2025-06-16,PUMPBTCUSDT,0.0430600,0.0464500,0.0415000,0.0440500,506155114
2025-06-17,PUMPBTCUSDT,0.0440400,0.0463700,0.0417800,0.0421400,402889451
2025-06-18,PUMPBTCUSDT,0.0421300,0.0433500,0.0373600,0.0389700,264763860
2025-06-19,PUMPBTCUSDT,0.0389700,0.0419000,0.0384000,0.0409100,207567854
2025-06-20,PUMPBTCUSDT,0.0409200,0.0454100,0.0393200,0.0399100,258073121
2025-06-21,PUMPBTCUSDT,0.0399400,0.0403200,0.0340900,0.0365800,158942029
2025-06-22,PUMPBTCUSDT,0.0365800,0.0369100,0.0332200,0.0343400,118510146
2025-06-23,PUMPBTCUSDT,0.0343800,0.0381000,0.0333300,0.0380000,113602577
2025-06-24,PUMPBTCUSDT,0.0380000,0.0388200,0.0368800,0.0383700,66153960
2025-06-25,PUMPBTCUSDT,0.0383500,0.0394000,0.0354800,0.0359100,76208970
2025-06-26,PUMPBTCUSDT,0.0359100,0.0376000,0.0344300,0.0365900,62227997
2025-06-27,PUMPBTCUSDT,0.0365600,0.0390200,0.0356200,0.0377400,97118398
2025-06-28,PUMPBTCUSDT,0.0377200,0.0395400,0.0368600,0.0379400,69680735
2025-06-29,PUMPBTCUSDT,0.0379400,0.0413800,0.0372400,0.0411000,67435421
2025-06-30,PUMPBTCUSDT,0.0411100,0.0416700,0.0377400,0.0383200,68919378
2025-07-01,PUMPBTCUSDT,0.0383200,0.0383200,0.0362900,0.0370500,51523843
2025-07-02,PUMPBTCUSDT,0.0370300,0.0403200,0.0364000,0.0391800,77548758
2025-07-03,PUMPBTCUSDT,0.0392300,0.0397000,0.0375800,0.0383800,41462196
2025-07-04,PUMPBTCUSDT,0.0383400,0.0383500,0.0363800,0.0364600,33821895
2025-07-05,PUMPBTCUSDT,0.0364500,0.0380500,0.0357900,0.0361100,46331157
2025-07-06,PUMPBTCUSDT,0.0361100,0.0386500,0.0354300,0.0377200,47089334
2025-07-07,PUMPBTCUSDT,0.0377300,0.0381400,0.0355400,0.0362700,47926823
2025-07-08,PUMPBTCUSDT,0.0362500,0.0374500,0.0354500,0.0367800,36653412
2025-07-09,PUMPBTCUSDT,0.0368000,0.0420900,0.0363700,0.0391600,204424898
2025-07-10,PUMPBTCUSDT,0.0391500,0.0626900,0.0380500,0.0440500,513851587
2025-07-11,PUMPBTCUSDT,0.0440600,0.0485500,0.0386200,0.0399700,322752827
2025-07-12,PUMPBTCUSDT,0.0399700,0.0426300,0.0380100,0.0418600,132974125
2025-07-13,PUMPBTCUSDT,0.0418700,0.0429700,0.0395000,0.0415100,67704645
2025-07-14,PUMPBTCUSDT,0.0414900,0.0446300,0.0401200,0.0414400,79291682
2025-07-15,PUMPBTCUSDT,0.0414500,0.0428800,0.0380500,0.0422300,73595639
