Date,Symbol,Open,High,Low,Close,Volume
2023-04-05,RDNTUSDT,0.3795000,0.3795000,0.3402000,0.3437000,51096506
2023-04-06,RDNTUSDT,0.3437000,0.3478000,0.3172000,0.3315000,75256900
2023-04-07,RDNTUSDT,0.3316000,0.3435000,0.3190000,0.3263000,76821549
2023-04-08,RDNTUSDT,0.3263000,0.3369000,0.3172000,0.3232000,46143603
2023-04-09,RDNTUSDT,0.3233000,0.3341000,0.3080000,0.3273000,49298579
2023-04-10,RDNTUSDT,0.3274000,0.3348000,0.3101000,0.3306000,42983851
2023-04-11,RDNTUSDT,0.3307000,0.3381000,0.3200000,0.3213000,32812839
2023-04-12,RDNTUSDT,0.3213000,0.3213000,0.3019000,0.3105000,51687571
2023-04-13,RDNTUSDT,0.3103000,0.3599000,0.3050000,0.3574000,184772468
2023-04-14,RDNTUSDT,0.3575000,0.4329000,0.3477000,0.4141000,344463821
2023-04-15,RDNTUSDT,0.4140000,0.4976000,0.4043000,0.4716000,768712294
2023-04-16,RDNTUSDT,0.4716000,0.4947000,0.4356000,0.4587000,343046014
2023-04-17,RDNTUSDT,0.4587000,0.4588000,0.4222000,0.4365000,194101936
2023-04-18,RDNTUSDT,0.4365000,0.4876000,0.4235000,0.4539000,316007854
2023-04-19,RDNTUSDT,0.4539000,0.4655000,0.3822000,0.4233000,294607404
2023-04-20,RDNTUSDT,0.4232000,0.4739000,0.4037000,0.4219000,465827898
2023-04-21,RDNTUSDT,0.4219000,0.4410000,0.3806000,0.3919000,303340473
2023-04-22,RDNTUSDT,0.3919000,0.4184000,0.3800000,0.4106000,177110321
2023-04-23,RDNTUSDT,0.4107000,0.4125000,0.3736000,0.3863000,136146637
2023-04-24,RDNTUSDT,0.3865000,0.3979000,0.3666000,0.3841000,131165066
2023-04-25,RDNTUSDT,0.3840000,0.4053000,0.3601000,0.4020000,129078333
2023-04-26,RDNTUSDT,0.4021000,0.4374000,0.3730000,0.4113000,238522363
2023-04-27,RDNTUSDT,0.4114000,0.4300000,0.4021000,0.4136000,139570860
2023-04-28,RDNTUSDT,0.4135000,0.4162000,0.3801000,0.3871000,108671408
2023-04-29,RDNTUSDT,0.3872000,0.3974000,0.3821000,0.3860000,75174751
2023-04-30,RDNTUSDT,0.3859000,0.4134000,0.3729000,0.3904000,135350412
2023-05-01,RDNTUSDT,0.3904000,0.3927000,0.3602000,0.3707000,100129578
2023-05-02,RDNTUSDT,0.3706000,0.3950000,0.3654000,0.3872000,157552871
2023-05-03,RDNTUSDT,0.3871000,0.4018000,0.3610000,0.3918000,172206337
2023-05-04,RDNTUSDT,0.3919000,0.4098000,0.3883000,0.3959000,132432702
2023-05-05,RDNTUSDT,0.3959000,0.4321000,0.3945000,0.4232000,302908205
2023-05-06,RDNTUSDT,0.4232000,0.4275000,0.3660000,0.3762000,186657155
2023-05-07,RDNTUSDT,0.3761000,0.3896000,0.3710000,0.3716000,97897126
2023-05-08,RDNTUSDT,0.3717000,0.3747000,0.3067000,0.3239000,178453051
2023-05-09,RDNTUSDT,0.3240000,0.3359000,0.3175000,0.3284000,102594186
2023-05-10,RDNTUSDT,0.3284000,0.3530000,0.3120000,0.3338000,169331592
2023-05-11,RDNTUSDT,0.3339000,0.3346000,0.2906000,0.2973000,126751926
2023-05-12,RDNTUSDT,0.2973000,0.3094000,0.2837000,0.3079000,145384321
2023-05-13,RDNTUSDT,0.3078000,0.3078000,0.2894000,0.2930000,71724858
2023-05-14,RDNTUSDT,0.2930000,0.3129000,0.2852000,0.3049000,85070939
2023-05-15,RDNTUSDT,0.3048000,0.3220000,0.2948000,0.3127000,107442232
2023-05-16,RDNTUSDT,0.3127000,0.3153000,0.3002000,0.3081000,93542040
2023-05-17,RDNTUSDT,0.3081000,0.3262000,0.2957000,0.3217000,101077352
2023-05-18,RDNTUSDT,0.3216000,0.3304000,0.3031000,0.3100000,91629541
2023-05-19,RDNTUSDT,0.3100000,0.3214000,0.3045000,0.3113000,71453979
