Date,Symbol,Open,High,Low,Close,Volume
2024-09-27,REIUSDT,0.0730000,0.0730000,0.0648300,0.0671100,428575871
2024-09-28,REIUSDT,0.0671100,0.0693700,0.0627600,0.0640100,312419502
2024-09-29,REIUSDT,0.0640000,0.0672900,0.0614600,0.0669200,224693749
2024-09-30,REIUSDT,0.0669400,0.0669700,0.0582100,0.0591500,215859343
2024-10-01,REIUSDT,0.0591500,0.0613100,0.0513100,0.0534100,185860587
2024-10-02,REIUSDT,0.0533800,0.0561700,0.0507200,0.0515100,141542090
2024-10-03,REIUSDT,0.0515000,0.0578300,0.0507600,0.0536700,610858095
2024-10-04,REIUSDT,0.0536800,0.0564400,0.0528900,0.0552700,190638104
2024-10-05,REIUSDT,0.0553100,0.0577400,0.0531700,0.0545700,200651343
2024-10-06,REIUSDT,0.0545700,0.0575500,0.0539900,0.0565000,161480162
2024-10-07,REIUSDT,0.0564900,0.0590000,0.0555500,0.0556300,199392363
2024-10-08,REIUSDT,0.0556100,0.0563500,0.0540400,0.0547800,109972105
2024-10-09,REIUSDT,0.0547700,0.0561000,0.0514000,0.0520000,100865853
2024-10-10,REIUSDT,0.0520200,0.0530100,0.0500600,0.0522900,92799690
2024-10-11,REIUSDT,0.0522700,0.0553500,0.0520100,0.0544400,86516449
2024-10-12,REIUSDT,0.0544500,0.0554500,0.0540100,0.0540800,47232887
2024-10-13,REIUSDT,0.0540800,0.0588800,0.0529100,0.0573500,272047818
2024-10-14,REIUSDT,0.0573900,0.0596000,0.0557200,0.0585400,258210936
2024-10-15,REIUSDT,0.0585600,0.0590700,0.0552300,0.0573500,200029617
2024-10-16,REIUSDT,0.0573600,0.0586500,0.0560000,0.0564000,88914061
2024-10-17,REIUSDT,0.0564200,0.0566000,0.0533200,0.0544300,64227825
2024-10-18,REIUSDT,0.0544500,0.0575000,0.0541100,0.0566200,88570288
2024-10-19,REIUSDT,0.0566000,0.0570100,0.0555800,0.0563400,39447504
2024-10-20,REIUSDT,0.0563400,0.0661200,0.0555700,0.0630000,228308209
2024-10-21,REIUSDT,0.0629900,0.0634600,0.0575300,0.0577500,224420465
2024-10-22,REIUSDT,0.0577300,0.0637100,0.0565700,0.0608800,245530199
2024-10-23,REIUSDT,0.0609000,0.0637500,0.0575100,0.0591100,497999642
2024-10-24,REIUSDT,0.0591000,0.0616300,0.0583600,0.0587400,115922341
2024-10-25,REIUSDT,0.0587400,0.0607500,0.0533200,0.0558400,136256561
2024-10-26,REIUSDT,0.0558500,0.0567800,0.0534800,0.0554200,61285677
2024-10-27,REIUSDT,0.0554300,0.0580800,0.0549900,0.0569300,60603829
2024-10-28,REIUSDT,0.0569400,0.0573800,0.0534300,0.0556400,70604593
2024-10-29,REIUSDT,0.0556600,0.0586000,0.0556300,0.0580600,55206217
2024-10-30,REIUSDT,0.0580600,0.0581800,0.0560200,0.0572200,69496899
2024-10-31,REIUSDT,0.0572000,0.0574200,0.0523500,0.0529800,124023498
2024-11-01,REIUSDT,0.0530100,0.0540800,0.0507900,0.0516700,73728093
2024-11-02,REIUSDT,0.0516700,0.0528400,0.0500500,0.0513700,65206387
