Date,Symbol,Open,High,Low,Close,Volume
2023-10-21,RIFUSDT,0.1089800,0.1313100,0.0960000,0.1016700,1263861815
2023-10-22,RIFUSDT,0.1015700,0.1197000,0.0850800,0.1097000,2649496248
2023-10-23,RIFUSDT,0.1096400,0.1489400,0.1000000,0.1333800,2852719271
2023-10-24,RIFUSDT,0.1333800,0.1490000,0.1157400,0.1224000,1214665003
2023-10-25,RIFUSDT,0.1224000,0.1295000,0.1117000,0.1188300,569955276
2023-10-26,RIFUSDT,0.1188300,0.1272900,0.1105900,0.1201900,347434716
2023-10-27,RIFUSDT,0.1201800,0.1249100,0.1139300,0.1174200,193938355
2023-10-28,RIFUSDT,0.1174800,0.1245100,0.1168700,0.1229000,127658299
2023-10-29,RIFUSDT,0.1228800,0.1230800,0.1150000,0.1177800,105532017
2023-10-30,RIFUSDT,0.1178100,0.1217300,0.1144600,0.1166000,107935024
2023-10-31,RIFUSDT,0.1165700,0.1187100,0.1013700,0.1082000,167278436
2023-11-01,RIFUSDT,0.1082000,0.1161000,0.1051600,0.1120000,197000668
2023-11-02,RIFUSDT,0.1120500,0.1200000,0.1086300,0.1124800,134842001
2023-11-03,RIFUSDT,0.1124800,0.1437000,0.1036700,0.1357000,700798320
2023-11-04,RIFUSDT,0.1357400,0.1440000,0.1111100,0.1200600,620560619
2023-11-05,RIFUSDT,0.1201000,0.1209900,0.1116500,0.1143800,153915750
2023-11-06,RIFUSDT,0.1143700,0.1180000,0.1103300,0.1152800,116279167
2023-11-07,RIFUSDT,0.1152900,0.1316500,0.1105500,0.1183100,1213668203
2023-11-08,RIFUSDT,0.1183100,0.1201100,0.1143800,0.1175500,165513943
2023-11-09,RIFUSDT,0.1175700,0.1311300,0.1028200,0.1166500,389277124
2023-11-10,RIFUSDT,0.1166400,0.1176300,0.1088000,0.1153700,146621614
2023-11-11,RIFUSDT,0.1153800,0.1160000,0.1101100,0.1128400,105746667
2023-11-12,RIFUSDT,0.1128200,0.1131700,0.1054600,0.1095200,92438640
2023-11-13,RIFUSDT,0.1095300,0.1126600,0.1040400,0.1043200,106956903
2023-11-14,RIFUSDT,0.1043900,0.1071400,0.0959100,0.1021500,134383152
2023-11-15,RIFUSDT,0.1021600,0.1088000,0.1004200,0.1083800,137387903
2023-11-16,RIFUSDT,0.1083800,0.1131200,0.0980000,0.1000500,153255397
2023-11-17,RIFUSDT,0.1000200,0.1031300,0.0940000,0.0995800,138406264
2023-11-18,RIFUSDT,0.0996000,0.0999300,0.0949700,0.0992700,66618583
2023-11-19,RIFUSDT,0.0992600,0.1026400,0.0966400,0.1018000,64271141
2023-11-20,RIFUSDT,0.1018000,0.1025000,0.0981200,0.1004200,70367825
2023-11-21,RIFUSDT,0.1004200,0.1039600,0.0907500,0.0922600,106966749
2023-11-22,RIFUSDT,0.0922300,0.1000900,0.0919200,0.0994600,75980676
2023-11-23,RIFUSDT,0.0994600,0.1034800,0.0971300,0.1021800,67928281
2023-11-24,RIFUSDT,0.1021600,0.1047100,0.1014300,0.1023700,81540320
2023-11-25,RIFUSDT,0.1024000,0.1064400,0.1016300,0.1050700,43708027
2023-11-26,RIFUSDT,0.1050700,0.1088600,0.0997600,0.1070700,90635744
2023-11-27,RIFUSDT,0.1070700,0.1093800,0.0987400,0.1012300,81426548
2023-11-28,RIFUSDT,0.1012400,0.1071800,0.0988000,0.1033200,96295307
2023-11-29,RIFUSDT,0.1033200,0.1153000,0.1027900,0.1089400,278958398
2023-11-30,RIFUSDT,0.1089400,0.1116600,0.1053300,0.1063200,100484989
2023-12-01,RIFUSDT,0.1063100,0.1131700,0.1050800,0.1100400,116263549
2023-12-02,RIFUSDT,0.1100400,0.1162800,0.1096400,0.1115500,154986483
2023-12-03,RIFUSDT,0.1115700,0.1178100,0.1111500,0.1144100,144324969
2023-12-04,RIFUSDT,0.1144100,0.1487700,0.1085000,0.1428200,569281245
2023-12-05,RIFUSDT,0.1428200,0.1672900,0.1305600,0.1600600,560698802
2023-12-06,RIFUSDT,0.1600600,0.1718300,0.1372700,0.1382300,307035639
2023-12-07,RIFUSDT,0.1382200,0.1543300,0.1369000,0.1469400,141007898
2023-12-08,RIFUSDT,0.1469700,0.1497000,0.1382000,0.1402700,93328898
2023-12-09,RIFUSDT,0.1402600,0.1420000,0.1333000,0.1353700,94604434
2023-12-10,RIFUSDT,0.1353300,0.1385900,0.1322900,0.1356800,46021430
2023-12-11,RIFUSDT,0.1356600,0.1364500,0.1087400,0.1273900,171270429
2023-12-12,RIFUSDT,0.1273800,0.1340000,0.1223800,0.1263800,89222197
2023-12-13,RIFUSDT,0.1263900,0.1303500,0.1195500,0.1285800,58427246
2023-12-14,RIFUSDT,0.1286200,0.1360000,0.1226900,0.1335400,161120413
2023-12-15,RIFUSDT,0.1335600,0.1345100,0.1255700,0.1270700,75105760
2023-12-16,RIFUSDT,0.1270400,0.1335400,0.1233800,0.1306200,55826164
2023-12-17,RIFUSDT,0.1306400,0.1309500,0.1214600,0.1223500,39468426
2023-12-18,RIFUSDT,0.1223600,0.1309200,0.1141400,0.1305400,96539689
2023-12-19,RIFUSDT,0.1305400,0.1344900,0.1233700,0.1247300,78632606
2023-12-20,RIFUSDT,0.1247200,0.1524300,0.1236200,0.1462700,241956792
2023-12-21,RIFUSDT,0.1462500,0.1539500,0.1363000,0.1482300,134565358
2023-12-22,RIFUSDT,0.1482400,0.1507500,0.1395100,0.1401000,75347342
2023-12-23,RIFUSDT,0.1401300,0.1434800,0.1364500,0.1418300,69016939
2023-12-24,RIFUSDT,0.1418400,0.1464000,0.1373900,0.1401700,64862822
2023-12-25,RIFUSDT,0.1401700,0.1517800,0.1388100,0.1467800,71245769
2023-12-26,RIFUSDT,0.1468100,0.1560800,0.1422000,0.1550800,74932041
2023-12-27,RIFUSDT,0.1550300,0.1618700,0.1398700,0.1427100,129961507
2023-12-28,RIFUSDT,0.1427100,0.1451600,0.1275200,0.1293900,108495259
2023-12-29,RIFUSDT,0.1293900,0.1329200,0.1251600,0.1283300,70941018
2023-12-30,RIFUSDT,0.1283300,0.1298500,0.1247600,0.1274600,103618109
2023-12-31,RIFUSDT,0.1274300,0.1312400,0.1246000,0.1277600,121765433
2024-01-01,RIFUSDT,0.1277600,0.1335800,0.1231000,0.1320100,52362365
2024-01-02,RIFUSDT,0.1320100,0.1389000,0.1299300,0.1328600,102729193
2024-01-03,RIFUSDT,0.1328600,0.1355000,0.1008700,0.1205200,127327387
2024-01-04,RIFUSDT,0.1205200,0.1338100,0.1182900,0.1286900,86502051
2024-01-05,RIFUSDT,0.1287000,0.1377700,0.1216900,0.1318500,88819565
2024-01-06,RIFUSDT,0.1319200,0.1345000,0.1181700,0.1222600,59176489
2024-01-07,RIFUSDT,0.1222300,0.1311500,0.1174000,0.1256900,164395379
