Date,Symbol,Open,High,Low,Close,Volume
2025-08-20,SAPIENUSDT,0.1810000,0.2511600,0.1360000,0.2111900,1158171795
2025-08-21,SAPIENUSDT,0.2111800,0.2491300,0.1720700,0.1920300,2967576489
2025-08-22,SAPIENUSDT,0.1920300,0.2787900,0.1693200,0.2665300,1591020810
2025-08-23,SAPIENUSDT,0.2665500,0.2870100,0.2280000,0.2705600,894971716
2025-08-24,SAPIENUSDT,0.2705300,0.2724400,0.2227400,0.2244000,523477470
2025-08-25,SAPIENUSDT,0.2243900,0.2396500,0.1820000,0.2010100,465372274
2025-08-26,SAPIENUSDT,0.2010200,0.2038700,0.1736100,0.1765800,409243290
2025-08-27,SAPIENUSDT,0.1765800,0.1819300,0.1434700,0.1519900,587798220
2025-08-28,SAPIENUSDT,0.1520000,0.1523300,0.1350000,0.1427400,568569226
2025-08-29,SAPIENUSDT,0.1427400,0.1457100,0.1209300,0.1347600,1032832650
2025-08-30,SAPIENUSDT,0.1347700,0.1715200,0.1272300,0.1625800,795529628
2025-08-31,SAPIENUSDT,0.1625800,0.1660000,0.1427100,0.1435400,471432042
2025-09-01,SAPIENUSDT,0.1435400,0.1573400,0.1297400,0.1381200,293530553
2025-09-02,SAPIENUSDT,0.1380900,0.1749000,0.1363300,0.1483800,449689198
2025-09-03,SAPIENUSDT,0.1483800,0.1642200,0.1466700,0.1542900,236046988
2025-09-04,SAPIENUSDT,0.1543200,0.1681300,0.1446000,0.1600000,172536174
2025-09-05,SAPIENUSDT,0.1600200,0.1736700,0.1542600,0.1643100,164930226
2025-09-06,SAPIENUSDT,0.1642700,0.2150000,0.1636900,0.2058400,349964629
2025-09-07,SAPIENUSDT,0.2058400,0.3199700,0.1966800,0.2804500,1365118090
2025-09-08,SAPIENUSDT,0.2804500,0.3112800,0.2298000,0.2388000,453240172
2025-09-09,SAPIENUSDT,0.2388100,0.2605300,0.2036700,0.2137000,218249511
2025-09-10,SAPIENUSDT,0.2137000,0.2804700,0.2074500,0.2733300,301008968
2025-09-11,SAPIENUSDT,0.2733300,0.3180500,0.2517500,0.2687600,521005320
2025-09-12,SAPIENUSDT,0.2686900,0.2935200,0.2576500,0.2746200,148557113
2025-09-13,SAPIENUSDT,0.2746300,0.3515500,0.2658400,0.3132600,189695779
2025-09-14,SAPIENUSDT,0.3134200,0.3705700,0.2976100,0.3134300,137340417
2025-09-15,SAPIENUSDT,0.3134500,0.3179200,0.2633700,0.2666500,85212364
2025-09-16,SAPIENUSDT,0.2666900,0.3003300,0.2520000,0.2882200,79547506
2025-09-17,SAPIENUSDT,0.2881900,0.2979500,0.2608900,0.2791100,60877547
2025-09-18,SAPIENUSDT,0.2791800,0.2797000,0.2510900,0.2608500,57455599
2025-09-19,SAPIENUSDT,0.2606800,0.2633000,0.2316300,0.2319700,42468501
2025-09-20,SAPIENUSDT,0.2321400,0.2632400,0.2287500,0.2456500,41843817
2025-09-21,SAPIENUSDT,0.2457400,0.2555400,0.2217300,0.2304000,40349538
2025-09-22,SAPIENUSDT,0.2303700,0.2742500,0.2092000,0.2462500,114382909
2025-09-23,SAPIENUSDT,0.2463000,0.2482100,0.2077400,0.2141900,55613727
2025-09-24,SAPIENUSDT,0.2141900,0.2257400,0.1987500,0.2009600,44977481
2025-09-25,SAPIENUSDT,0.2009800,0.2154300,0.1900000,0.1972400,55922511
2025-09-26,SAPIENUSDT,0.1971200,0.2008500,0.1818600,0.1878200,33789550
2025-09-27,SAPIENUSDT,0.1877700,0.1933800,0.1796800,0.1870300,24874995
2025-09-28,SAPIENUSDT,0.1869800,0.1885000,0.1787800,0.1853100,21393986
2025-09-29,SAPIENUSDT,0.1853700,0.1854600,0.1718500,0.1771700,24207461
2025-09-30,SAPIENUSDT,0.1772200,0.1829300,0.1545400,0.1586400,33314103
2025-10-01,SAPIENUSDT,0.1586800,0.1619500,0.1571400,0.1600800,7333082
