Date,Symbol,Open,High,Low,Close,Volume
2021-02-24,SFPUSDT,2.0091,2.2209,1.8166,1.9794,5826612
2021-02-25,SFPUSDT,1.9817,2.1850,1.7956,1.8351,10105889
2021-02-26,SFPUSDT,1.8326,1.8854,1.5651,1.7011,8764882
2021-02-27,SFPUSDT,1.7028,1.8500,1.6557,1.7459,7583890
2021-02-28,SFPUSDT,1.7437,1.7700,1.3691,1.4750,9544846
2021-03-01,SFPUSDT,1.4737,1.7882,1.4664,1.7776,8811936
2021-03-02,SFPUSDT,1.7803,2.2856,1.7040,2.1677,31787170
2021-03-03,SFPUSDT,2.1682,2.2849,1.9372,1.9372,17498416
2021-03-04,SFPUSDT,1.9400,2.0180,1.7736,1.8300,13554889
2021-03-05,SFPUSDT,1.8285,1.8300,1.6700,1.7845,9185666
2021-03-06,SFPUSDT,1.7832,2.0254,1.7464,1.8918,14612064
2021-03-07,SFPUSDT,1.8915,2.0590,1.8776,2.0216,10909894
2021-03-08,SFPUSDT,2.0216,2.1896,1.9179,2.1325,17911097
2021-03-09,SFPUSDT,2.1324,2.1889,2.0700,2.1587,11625052
2021-03-10,SFPUSDT,2.1600,2.1830,1.8361,1.8744,14858322
2021-03-11,SFPUSDT,1.8749,2.1000,1.8342,1.9228,19512099
2021-03-12,SFPUSDT,1.9234,1.9900,1.7200,1.8278,13928468
2021-03-13,SFPUSDT,1.8286,2.0069,1.7559,1.9424,10741316
2021-03-14,SFPUSDT,1.9411,2.9649,1.8599,2.6820,100195442
2021-03-15,SFPUSDT,2.6789,3.2266,2.2558,2.2894,84415668
2021-03-16,SFPUSDT,2.2886,2.8976,2.1160,2.8672,42759748
2021-03-17,SFPUSDT,2.8672,3.0715,2.5000,2.7128,30260774
2021-03-18,SFPUSDT,2.7138,2.9000,2.6079,2.6793,18472114
2021-03-19,SFPUSDT,2.6790,3.1673,2.5337,3.1284,21554318
2021-03-20,SFPUSDT,3.1313,3.5020,2.9600,2.9790,44658052
2021-03-21,SFPUSDT,2.9804,3.5785,2.8672,3.4909,46994802
2021-03-22,SFPUSDT,3.4908,3.9830,3.2600,3.5425,46024665
2021-03-23,SFPUSDT,3.5419,3.7867,3.2326,3.3242,31931918
2021-03-24,SFPUSDT,3.3223,3.4642,2.6125,2.7967,34815822
2021-03-25,SFPUSDT,2.7957,2.9652,2.4690,2.6985,32187658
2021-03-26,SFPUSDT,2.6953,2.9744,2.6938,2.8653,17909508
2021-03-27,SFPUSDT,2.8645,3.3014,2.7810,3.1020,24889569
2021-03-28,SFPUSDT,3.1029,3.4500,3.0026,3.1684,21502069
2021-03-29,SFPUSDT,3.1684,3.2764,3.0500,3.2378,14407247
2021-03-30,SFPUSDT,3.2370,3.4500,3.1113,3.3568,19963798
2021-03-31,SFPUSDT,3.3594,3.3606,2.7886,3.2382,24771743
2021-04-01,SFPUSDT,3.2412,3.2611,2.8553,2.9713,15603012
2021-04-02,SFPUSDT,2.9733,3.1371,2.8943,3.0233,15526122
2021-04-03,SFPUSDT,3.0233,3.1662,2.6700,2.7230,19437142
2021-04-04,SFPUSDT,2.7232,2.9567,2.6733,2.9411,11018803
2021-04-05,SFPUSDT,2.9428,3.2323,2.7756,3.0819,18695306
2021-04-06,SFPUSDT,3.0834,3.1603,2.7857,2.9476,21475545
2021-04-07,SFPUSDT,2.9468,2.9803,2.5001,2.6429,20016154
2021-04-08,SFPUSDT,2.6441,2.9154,2.6128,2.8793,15070163
2021-04-09,SFPUSDT,2.8803,2.9774,2.7905,2.8427,13914123
2021-04-10,SFPUSDT,2.8443,3.1700,2.7905,2.9965,18563019
2021-04-11,SFPUSDT,2.9998,3.0115,2.8537,2.9215,10470312
2021-04-12,SFPUSDT,2.9193,3.4036,2.9070,3.2300,31663023
2021-04-13,SFPUSDT,3.2300,3.6375,3.0380,3.3754,27638141
2021-04-14,SFPUSDT,3.3774,3.5575,3.0088,3.1937,19890397
2021-04-15,SFPUSDT,3.1940,3.3931,3.1711,3.2512,14421229
2021-04-16,SFPUSDT,3.2525,3.2880,2.9278,3.0692,16350737
2021-04-17,SFPUSDT,3.0696,3.2669,2.9560,3.0045,13338506
2021-04-18,SFPUSDT,3.0051,3.0395,1.9388,2.5284,29801206
2021-04-19,SFPUSDT,2.5281,2.7764,2.2500,2.2986,21125821
2021-04-20,SFPUSDT,2.2996,2.5508,2.1075,2.4496,16201273
2021-04-21,SFPUSDT,2.4476,2.5095,2.2091,2.2339,16694396
2021-04-22,SFPUSDT,2.2338,2.3769,1.9517,1.9849,21420297
2021-04-23,SFPUSDT,1.9860,2.0664,1.6342,2.0622,25686277
2021-04-24,SFPUSDT,2.0646,2.0662,1.8209,1.8477,15019754
2021-04-25,SFPUSDT,1.8471,2.2900,1.8205,2.2611,26843378
2021-04-26,SFPUSDT,2.2611,2.3860,2.1793,2.3435,21680458
2021-04-27,SFPUSDT,2.3435,2.5310,2.2511,2.3627,17383451
2021-04-28,SFPUSDT,2.3619,2.4522,2.1336,2.2747,17603337
2021-04-29,SFPUSDT,2.2741,2.6783,2.1864,2.6333,27957352
2021-04-30,SFPUSDT,2.6353,2.7154,2.4710,2.6718,14717746
2021-05-01,SFPUSDT,2.6723,2.8000,2.5805,2.6468,11553983
2021-05-02,SFPUSDT,2.6485,2.9986,2.4900,2.8986,21514761
2021-05-03,SFPUSDT,2.8987,3.1000,2.7844,2.8534,19664724
2021-05-04,SFPUSDT,2.8552,2.8590,2.4057,2.4564,17421204
2021-05-05,SFPUSDT,2.4564,2.6941,2.4274,2.6691,10516068
2021-05-06,SFPUSDT,2.6697,2.8495,2.4850,2.6093,17504951
2021-05-07,SFPUSDT,2.6082,2.6557,2.4393,2.5313,13281149
2021-05-08,SFPUSDT,2.5316,2.6558,2.4807,2.5086,10476754
2021-05-09,SFPUSDT,2.5093,2.5580,2.3000,2.4159,11528531
2021-05-10,SFPUSDT,2.4164,2.5429,1.9224,2.1606,20324057
2021-05-11,SFPUSDT,2.1605,2.2792,2.0933,2.2448,11570602
2021-05-12,SFPUSDT,2.2461,2.3386,1.8391,1.8939,14409832
2021-05-13,SFPUSDT,1.8977,2.1229,1.7829,1.9743,18918740
2021-05-14,SFPUSDT,1.9742,2.1110,1.9196,2.0537,10481772
2021-05-15,SFPUSDT,2.0552,2.0966,1.8384,1.8617,11247300
2021-05-16,SFPUSDT,1.8620,2.0826,1.8117,1.9667,12786712
2021-05-17,SFPUSDT,1.9669,1.9692,1.7042,1.8925,15792958
2021-05-18,SFPUSDT,1.8914,2.0126,1.8078,1.8717,12896317
2021-05-19,SFPUSDT,1.8734,1.9105,0.7000,1.1307,39451877
2021-05-20,SFPUSDT,1.1317,1.3856,1.0009,1.2704,25894376
2021-05-21,SFPUSDT,1.2702,1.3367,0.8689,1.0626,27815847
2021-05-22,SFPUSDT,1.0621,1.1017,0.9263,0.9609,17442581
2021-05-23,SFPUSDT,0.9615,1.0177,0.6282,0.8109,27553497
2021-05-24,SFPUSDT,0.8109,1.0796,0.7988,1.0630,22799221
2021-05-25,SFPUSDT,1.0633,1.1358,0.9149,1.0265,18255187
2021-05-26,SFPUSDT,1.0256,1.2686,0.9979,1.2494,30260362
2021-05-27,SFPUSDT,1.2492,1.2506,1.0684,1.1174,15917832
2021-05-28,SFPUSDT,1.1177,1.1883,0.9415,1.0040,32564014
2021-05-29,SFPUSDT,1.0049,1.1278,0.8922,0.9542,23287339
2021-05-30,SFPUSDT,0.9549,1.0551,0.8977,1.0040,13014287
2021-05-31,SFPUSDT,1.0046,1.1220,0.9432,1.0981,25504498
2021-06-01,SFPUSDT,1.0980,1.1731,1.0400,1.1415,19463120
2021-06-02,SFPUSDT,1.1419,1.3476,1.0969,1.2310,23591160
2021-06-03,SFPUSDT,1.2310,1.4143,1.1896,1.3676,33854798
2021-06-04,SFPUSDT,1.3676,1.3731,1.0802,1.1787,35132666
2021-06-05,SFPUSDT,1.1789,1.3565,1.1112,1.1624,33491027
2021-06-06,SFPUSDT,1.1619,1.2160,1.1213,1.1587,19805391
2021-06-07,SFPUSDT,1.1591,1.2595,1.0740,1.0859,44575742
2021-06-08,SFPUSDT,1.0858,1.1123,0.9136,1.0232,34370933
2021-06-09,SFPUSDT,1.0230,1.0671,0.9560,1.0577,25855827
2021-06-10,SFPUSDT,1.0581,1.0703,0.9803,0.9969,25885595
2021-06-11,SFPUSDT,0.9969,1.0938,0.9616,0.9969,23223446
2021-06-12,SFPUSDT,0.9964,1.0010,0.9018,0.9538,21560456
2021-06-13,SFPUSDT,0.9536,1.0256,0.9231,1.0234,10157796
2021-06-14,SFPUSDT,1.0238,1.0681,1.0041,1.0442,11119286
2021-06-15,SFPUSDT,1.0443,1.1505,1.0280,1.0935,14901718
2021-06-16,SFPUSDT,1.0934,1.1327,1.0271,1.0862,13168187
2021-06-17,SFPUSDT,1.0866,1.1601,1.0507,1.0774,19532631
2021-06-18,SFPUSDT,1.0775,1.0783,0.9484,0.9880,13740245
2021-06-19,SFPUSDT,0.9875,1.0113,0.9598,0.9675,8623287
2021-06-20,SFPUSDT,0.9671,0.9810,0.8865,0.9556,9640092
