Date,Symbol,Open,High,Low,Close,Volume
2025-07-23,SLPUSDT,0.0025650,0.0025650,0.0020530,0.0022930,23384166167
2025-07-24,SLPUSDT,0.0022930,0.0024060,0.0019430,0.0019740,18466807330
2025-07-25,SLPUSDT,0.0019740,0.0020840,0.0019010,0.0019900,9108948877
2025-07-26,SLPUSDT,0.0019910,0.0024000,0.0019700,0.0022850,20043841278
2025-07-27,SLPUSDT,0.0022870,0.0023480,0.0020910,0.0021460,9622588081
2025-07-28,SLPUSDT,0.0021470,0.0022830,0.0020520,0.0020700,6544153690
2025-07-29,SLPUSDT,0.0020700,0.0021080,0.0019580,0.0020220,3781813685
2025-07-30,SLPUSDT,0.0020230,0.0020290,0.0017840,0.0019030,3693698053
2025-07-31,SLPUSDT,0.0019020,0.0019680,0.0017920,0.0018040,2471900517
2025-08-01,SLPUSDT,0.0018030,0.0018280,0.0017070,0.0017650,2886627211
2025-08-02,SLPUSDT,0.0017640,0.0017770,0.0016270,0.0016730,2163175848
2025-08-03,SLPUSDT,0.0016740,0.0017640,0.0016520,0.0017220,1674061743
2025-08-04,SLPUSDT,0.0017230,0.0018150,0.0017130,0.0017930,1757045712
2025-08-05,SLPUSDT,0.0017940,0.0018110,0.0016370,0.0016830,2524548148
2025-08-06,SLPUSDT,0.0016830,0.0017630,0.0016300,0.0017160,1970177408
2025-08-07,SLPUSDT,0.0017170,0.0018270,0.0016900,0.0018270,2304475369
2025-08-08,SLPUSDT,0.0018270,0.0019110,0.0017870,0.0018900,2681922608
2025-08-09,SLPUSDT,0.0018890,0.0022640,0.0018650,0.0020750,13093187257
2025-08-10,SLPUSDT,0.0020750,0.0021520,0.0019900,0.0020290,3636734717
2025-08-11,SLPUSDT,0.0020300,0.0020850,0.0018750,0.0018950,2871338542
2025-08-12,SLPUSDT,0.0018940,0.0020380,0.0018630,0.0019960,1954580697
2025-08-13,SLPUSDT,0.0019970,0.0020740,0.0019660,0.0020330,2324548979
2025-08-14,SLPUSDT,0.0020350,0.0020570,0.0017680,0.0018630,2638675967
2025-08-15,SLPUSDT,0.0018630,0.0019100,0.0017840,0.0018400,1649593139
2025-08-16,SLPUSDT,0.0018390,0.0018720,0.0018020,0.0018520,995212146
2025-08-17,SLPUSDT,0.0018530,0.0020230,0.0018330,0.0020010,5628512910
2025-08-18,SLPUSDT,0.0020020,0.0020210,0.0017740,0.0018430,4818218404
2025-08-19,SLPUSDT,0.0018430,0.0018760,0.0017200,0.0017300,3126242717
2025-08-20,SLPUSDT,0.0017300,0.0018340,0.0017170,0.0018120,1799677736
2025-08-21,SLPUSDT,0.0018110,0.0018440,0.0017250,0.0017310,1158303610
2025-08-22,SLPUSDT,0.0017320,0.0019330,0.0016830,0.0019290,1864774475
2025-08-23,SLPUSDT,0.0019290,0.0019340,0.0018300,0.0018660,1169166592
2025-08-24,SLPUSDT,0.0018680,0.0019020,0.0017900,0.0018360,1097979265
2025-08-25,SLPUSDT,0.0018360,0.0018450,0.0016450,0.0016760,1319532473
2025-08-26,SLPUSDT,0.0016760,0.0017600,0.0016560,0.0017490,930811756
2025-08-27,SLPUSDT,0.0017490,0.0017830,0.0017140,0.0017330,735399920
2025-08-28,SLPUSDT,0.0017320,0.0018090,0.0017190,0.0017950,1378102013
2025-08-29,SLPUSDT,0.0017960,0.0018040,0.0016650,0.0017170,1464345704
2025-08-30,SLPUSDT,0.0017180,0.0017680,0.0016830,0.0017490,801917886
2025-08-31,SLPUSDT,0.0017490,0.0018290,0.0017150,0.0017170,3143283365
2025-09-01,SLPUSDT,0.0017170,0.0017640,0.0016170,0.0016700,1461453019
2025-09-02,SLPUSDT,0.0016700,0.0017200,0.0016550,0.0017070,672216030
2025-09-03,SLPUSDT,0.0017070,0.0017640,0.0016860,0.0017460,515287038
2025-09-04,SLPUSDT,0.0017470,0.0017530,0.0016510,0.0016660,585237888
2025-09-05,SLPUSDT,0.0016650,0.0017420,0.0016640,0.0017030,750907419
2025-09-06,SLPUSDT,0.0017030,0.0017150,0.0016760,0.0017000,499639769
2025-09-07,SLPUSDT,0.0017000,0.0017430,0.0016980,0.0017330,751995133
2025-09-08,SLPUSDT,0.0017330,0.0017840,0.0017220,0.0017640,684685250
2025-09-09,SLPUSDT,0.0017650,0.0018880,0.0017520,0.0018030,1466279550
2025-09-10,SLPUSDT,0.0018030,0.0018740,0.0017840,0.0018500,717211777
2025-09-11,SLPUSDT,0.0018490,0.0019120,0.0018020,0.0018590,1112620214
2025-09-12,SLPUSDT,0.0018590,0.0019170,0.0018310,0.0019130,766041086
2025-09-13,SLPUSDT,0.0019130,0.0020450,0.0019060,0.0019640,2282632110
2025-09-14,SLPUSDT,0.0019640,0.0019670,0.0018500,0.0018730,812070142
2025-09-15,SLPUSDT,0.0018730,0.0019040,0.0017720,0.0018100,910550021
2025-09-16,SLPUSDT,0.0018100,0.0018590,0.0017580,0.0018450,745578505
2025-09-17,SLPUSDT,0.0018450,0.0018900,0.0017830,0.0018850,820936258
2025-09-18,SLPUSDT,0.0018860,0.0019360,0.0018710,0.0019190,642318503
2025-09-19,SLPUSDT,0.0019190,0.0019420,0.0017860,0.0018000,777929626
2025-09-20,SLPUSDT,0.0018010,0.0018700,0.0017820,0.0018500,670871224
2025-09-21,SLPUSDT,0.0018500,0.0018770,0.0018090,0.0018130,585748451
2025-09-22,SLPUSDT,0.0018110,0.0018210,0.0016030,0.0016690,1579117750
2025-09-23,SLPUSDT,0.0016690,0.0016860,0.0016110,0.0016460,691521409
2025-09-24,SLPUSDT,0.0016460,0.0016910,0.0016070,0.0016550,1206893548
2025-09-25,SLPUSDT,0.0016560,0.0016590,0.0014860,0.0015130,1348697880
2025-09-26,SLPUSDT,0.0015140,0.0016010,0.0015130,0.0015880,666894956
2025-09-27,SLPUSDT,0.0015890,0.0015950,0.0015550,0.0015700,390841037
2025-09-28,SLPUSDT,0.0015700,0.0015800,0.0015190,0.0015690,589175504
2025-09-29,SLPUSDT,0.0015690,0.0015750,0.0015000,0.0015350,743052776
2025-09-30,SLPUSDT,0.0015350,0.0015370,0.0014790,0.0015040,618686008
2025-10-01,SLPUSDT,0.0015040,0.0015170,0.0014830,0.0015020,224311594
