Date,Symbol,Open,High,Low,Close,Volume
2023-05-03,SUIUSDT,1.403000,1.412500,1.265200,1.393200,234691104.1
2023-05-04,SUIUSDT,1.393400,1.493100,1.294300,1.329500,515431274.4
2023-05-05,SUIUSDT,1.329500,1.380000,1.258600,1.305900,545434474.8
2023-05-06,SUIUSDT,1.305900,1.376900,1.268000,1.329100,412966864.4
2023-05-07,SUIUSDT,1.329300,1.347200,1.213500,1.241900,218188546.6
2023-05-08,SUIUSDT,1.241800,1.243500,1.011300,1.135900,549924543.5
2023-05-09,SUIUSDT,1.135600,1.213500,1.093900,1.182600,459686462.6
2023-05-10,SUIUSDT,1.182700,1.246300,1.092800,1.178300,691586908.9
2023-05-11,SUIUSDT,1.178200,1.181300,1.033000,1.072700,337999256.8
2023-05-12,SUIUSDT,1.073000,1.122600,1.012000,1.114400,348579839.0
2023-05-13,SUIUSDT,1.114300,1.139400,1.085100,1.098900,195795833.7
2023-05-14,SUIUSDT,1.098900,1.204200,1.066800,1.158100,326210405.4
2023-05-15,SUIUSDT,1.158100,1.254900,1.123300,1.191900,520510747.3
2023-05-16,SUIUSDT,1.191900,1.206000,1.139000,1.164500,300965384.7
2023-05-17,SUIUSDT,1.164500,1.214600,1.112800,1.212100,378078642.9
2023-05-18,SUIUSDT,1.212100,1.223900,1.126000,1.140900,238299042.2
2023-05-19,SUIUSDT,1.140900,1.149100,1.114800,1.130300,162155560.8
2023-05-20,SUIUSDT,1.130100,1.133900,1.108300,1.123800,96291914.7
2023-05-21,SUIUSDT,1.123900,1.153400,1.050700,1.072400,191047034.6
2023-05-22,SUIUSDT,1.072400,1.077500,1.033000,1.049700,172273144.5
2023-05-23,SUIUSDT,1.049600,1.097600,1.022300,1.052500,186047423.5
2023-05-24,SUIUSDT,1.052400,1.052400,0.925800,0.977500,328632327.2
2023-05-25,SUIUSDT,0.977500,1.010200,0.937600,0.981600,192203964.9
2023-05-26,SUIUSDT,0.981600,1.009400,0.963500,0.990600,158618325.9
2023-05-27,SUIUSDT,0.990600,1.017500,0.982400,0.998000,109475737.9
2023-05-28,SUIUSDT,0.998000,1.080000,0.991700,1.061000,198488187.9
2023-05-29,SUIUSDT,1.061100,1.100000,1.022300,1.039100,320765718.1
2023-05-30,SUIUSDT,1.039200,1.062600,0.989100,1.000400,229215768.4
2023-05-31,SUIUSDT,1.000400,1.009600,0.941300,0.973900,190118014.7
2023-06-01,SUIUSDT,0.973900,0.979500,0.938000,0.945500,172391183.0
2023-06-02,SUIUSDT,0.945400,0.963500,0.903100,0.941100,255853747.7
2023-06-03,SUIUSDT,0.941100,0.957500,0.905600,0.933200,195747099.4
2023-06-04,SUIUSDT,0.933300,0.978900,0.926500,0.960100,241450431.6
2023-06-05,SUIUSDT,0.960200,0.971500,0.737900,0.816200,579746205.2
2023-06-06,SUIUSDT,0.816400,0.850000,0.752000,0.831200,374955449.0
2023-06-07,SUIUSDT,0.831200,0.831300,0.740800,0.756900,350846981.8
2023-06-08,SUIUSDT,0.756900,0.793700,0.712600,0.728300,343163812.9
2023-06-09,SUIUSDT,0.728300,0.763000,0.708800,0.738000,372136789.4
2023-06-10,SUIUSDT,0.738100,0.741800,0.500000,0.608900,848687143.7
2023-06-11,SUIUSDT,0.608900,0.624000,0.585900,0.604700,363611303.2
2023-06-12,SUIUSDT,0.604700,0.689000,0.565000,0.662700,883833343.4
2023-06-13,SUIUSDT,0.662900,0.728500,0.661200,0.697600,1048660678.9
2023-06-14,SUIUSDT,0.697500,0.712800,0.625000,0.650000,663112207.5
2023-06-15,SUIUSDT,0.650100,0.658700,0.620100,0.648400,476913108.6
2023-06-16,SUIUSDT,0.648400,0.721800,0.620500,0.706800,565654206.0
2023-06-17,SUIUSDT,0.706800,0.788100,0.703700,0.753800,1267913251.0
2023-06-18,SUIUSDT,0.753800,0.796000,0.710500,0.719400,952166247.8
2023-06-19,SUIUSDT,0.719500,0.793000,0.708000,0.784600,1185500847.5
2023-06-20,SUIUSDT,0.784500,0.827600,0.747900,0.818600,1216864373.3
2023-06-21,SUIUSDT,0.818600,0.851400,0.765500,0.830900,1062453063.5
2023-06-22,SUIUSDT,0.831000,0.889700,0.787200,0.802200,819446732.1
2023-06-23,SUIUSDT,0.802300,0.836400,0.773900,0.797800,555302086.1
2023-06-24,SUIUSDT,0.797900,0.798000,0.719200,0.752300,399531188.8
2023-06-25,SUIUSDT,0.752400,0.780000,0.733000,0.744700,330342892.3
2023-06-26,SUIUSDT,0.744800,0.760000,0.710000,0.725800,347579084.0
2023-06-27,SUIUSDT,0.725900,0.757400,0.700100,0.719700,423507888.7
2023-06-28,SUIUSDT,0.719800,0.720500,0.629400,0.663000,422492047.9
2023-06-29,SUIUSDT,0.663000,0.714900,0.659500,0.680100,452016540.2
2023-06-30,SUIUSDT,0.680200,0.711400,0.621200,0.688400,494387592.2
2023-07-01,SUIUSDT,0.688400,0.690000,0.666900,0.688700,196077155.5
2023-07-02,SUIUSDT,0.688700,0.694500,0.655800,0.690700,227971657.0
2023-07-03,SUIUSDT,0.690800,0.715600,0.684900,0.699700,356068488.7
2023-07-04,SUIUSDT,0.699700,0.739000,0.676600,0.685100,462594891.5
2023-07-05,SUIUSDT,0.685100,0.691300,0.642800,0.661800,298689113.1
2023-07-06,SUIUSDT,0.661800,0.682000,0.633000,0.648400,324527471.0
2023-07-07,SUIUSDT,0.648400,0.666500,0.637700,0.660800,259367927.7
2023-07-08,SUIUSDT,0.660900,0.668500,0.640200,0.652300,129208876.2
2023-07-09,SUIUSDT,0.652300,0.666200,0.649000,0.658600,135438905.2
2023-07-10,SUIUSDT,0.658600,0.666600,0.625900,0.654700,279810471.9
2023-07-11,SUIUSDT,0.654600,0.669800,0.641900,0.655100,184967513.0
2023-07-12,SUIUSDT,0.655200,0.687400,0.644000,0.655100,280304032.8
2023-07-13,SUIUSDT,0.655200,0.716600,0.647600,0.698400,352931177.4
2023-07-14,SUIUSDT,0.698400,0.764000,0.657500,0.679900,567509106.6
2023-07-15,SUIUSDT,0.680000,0.698000,0.666400,0.682600,178942557.3
2023-07-16,SUIUSDT,0.682700,0.694100,0.659700,0.671800,207267692.1
2023-07-17,SUIUSDT,0.671800,0.731300,0.664300,0.719500,476695247.3
