Date,Symbol,Open,High,Low,Close,Volume
2023-11-26,SUPERUSDT,0.4673000,0.4780000,0.3614000,0.4184000,307773229
2023-11-27,SUPERUSDT,0.4180000,0.4189000,0.3105000,0.3411000,324537461
2023-11-28,SUPERUSDT,0.3411000,0.4266000,0.3364000,0.4122000,708394820
2023-11-29,SUPERUSDT,0.4123000,0.4320000,0.3582000,0.3620000,301495018
2023-11-30,SUPERUSDT,0.3620000,0.3707000,0.3425000,0.3568000,128618201
2023-12-01,SUPERUSDT,0.3570000,0.3800000,0.3550000,0.3737000,100784167
2023-12-02,SUPERUSDT,0.3737000,0.4755000,0.3650000,0.4544000,273303069
2023-12-03,SUPERUSDT,0.4545000,0.5684000,0.4218000,0.5391000,471663220
2023-12-04,SUPERUSDT,0.5391000,0.7449000,0.5083000,0.7147000,950996085
2023-12-05,SUPERUSDT,0.7148000,0.7410000,0.6380000,0.6679000,258059316
2023-12-06,SUPERUSDT,0.6680000,0.7007000,0.5752000,0.5982000,184489341
2023-12-07,SUPERUSDT,0.5983000,0.6484000,0.5658000,0.5685000,122761135
2023-12-08,SUPERUSDT,0.5684000,0.6492000,0.5620000,0.6196000,90250196
2023-12-09,SUPERUSDT,0.6196000,0.6621000,0.5950000,0.6039000,86113709
2023-12-10,SUPERUSDT,0.6040000,0.6594000,0.6040000,0.6126000,70126710
2023-12-11,SUPERUSDT,0.6127000,0.6250000,0.5100000,0.5641000,76472812
2023-12-12,SUPERUSDT,0.5642000,0.5795000,0.5255000,0.5543000,59847709
2023-12-13,SUPERUSDT,0.5543000,0.6515000,0.4950000,0.6098000,105262260
2023-12-14,SUPERUSDT,0.6099000,0.6414000,0.5672000,0.6357000,114956899
2023-12-15,SUPERUSDT,0.6356000,0.6436000,0.5627000,0.5650000,48756382
2023-12-16,SUPERUSDT,0.5651000,0.6388000,0.5584000,0.5884000,46273134
2023-12-17,SUPERUSDT,0.5884000,0.5988000,0.5537000,0.5578000,37738911
2023-12-18,SUPERUSDT,0.5579000,0.5769000,0.5064000,0.5751000,56279838
2023-12-19,SUPERUSDT,0.5750000,0.6417000,0.5661000,0.5791000,74360342
2023-12-20,SUPERUSDT,0.5790000,0.6374000,0.5666000,0.5971000,59777802
2023-12-21,SUPERUSDT,0.5971000,0.6094000,0.5751000,0.5837000,52269562
2023-12-22,SUPERUSDT,0.5838000,0.7293000,0.5823000,0.6977000,143790982
2023-12-23,SUPERUSDT,0.6978000,0.7849000,0.6513000,0.6731000,386594330
2023-12-24,SUPERUSDT,0.6730000,0.7169000,0.6520000,0.6879000,121916277
2023-12-25,SUPERUSDT,0.6879000,0.7118000,0.6678000,0.6939000,54218724
2023-12-26,SUPERUSDT,0.6938000,0.7310000,0.5798000,0.6884000,75450706
2023-12-27,SUPERUSDT,0.6885000,0.7161000,0.6679000,0.6776000,46463318
2023-12-28,SUPERUSDT,0.6776000,0.6982000,0.6467000,0.6696000,33359171
2023-12-29,SUPERUSDT,0.6697000,0.6849000,0.6369000,0.6480000,34791907
2023-12-30,SUPERUSDT,0.6479000,0.6650000,0.6207000,0.6225000,19463793
2023-12-31,SUPERUSDT,0.6224000,0.6371000,0.5924000,0.6090000,18255989
2024-01-01,SUPERUSDT,0.6091000,0.6725000,0.6019000,0.6678000,19960823
2024-01-02,SUPERUSDT,0.6678000,0.6764000,0.6367000,0.6652000,22180279
2024-01-03,SUPERUSDT,0.6652000,0.6756000,0.4836000,0.6113000,42517177
2024-01-04,SUPERUSDT,0.6113000,0.6406000,0.5884000,0.6171000,25066290
2024-01-05,SUPERUSDT,0.6171000,0.6338000,0.5552000,0.5900000,28723268
2024-01-06,SUPERUSDT,0.5901000,0.5901000,0.5289000,0.5501000,18547505
2024-01-07,SUPERUSDT,0.5502000,0.5663000,0.5076000,0.5129000,14272796
2024-01-08,SUPERUSDT,0.5130000,0.5513000,0.4512000,0.5433000,34292304
2024-01-09,SUPERUSDT,0.5433000,0.5471000,0.4814000,0.5061000,29782602
2024-01-10,SUPERUSDT,0.5061000,0.6068000,0.4903000,0.5760000,43447347
2024-01-11,SUPERUSDT,0.5763000,0.5927000,0.5437000,0.5587000,31420504
2024-01-12,SUPERUSDT,0.5587000,0.6034000,0.5352000,0.5602000,33033783
2024-01-13,SUPERUSDT,0.5603000,0.5757000,0.5406000,0.5607000,18820803
2024-01-14,SUPERUSDT,0.5607000,0.5840000,0.5361000,0.5553000,19130147
2024-01-15,SUPERUSDT,0.5551000,0.6711000,0.5534000,0.6159000,178318432
2024-01-16,SUPERUSDT,0.6159000,0.6286000,0.5743000,0.6202000,53258532
2024-01-17,SUPERUSDT,0.6203000,0.6589000,0.5950000,0.6551000,37555297
2024-01-18,SUPERUSDT,0.6551000,0.6949000,0.6084000,0.6128000,90741406
2024-01-19,SUPERUSDT,0.6127000,0.6345000,0.5764000,0.6099000,41907624
2024-01-20,SUPERUSDT,0.6098000,0.6492000,0.6021000,0.6266000,24518365
2024-01-21,SUPERUSDT,0.6265000,0.6450000,0.6111000,0.6138000,15737144
2024-01-22,SUPERUSDT,0.6138000,0.6189000,0.5649000,0.5754000,22097023
2024-01-23,SUPERUSDT,0.5756000,0.5883000,0.5179000,0.5673000,26895669
2024-01-24,SUPERUSDT,0.5674000,0.6175000,0.5504000,0.6105000,29078890
2024-01-25,SUPERUSDT,0.6100000,0.6116000,0.5535000,0.5649000,21876075
2024-01-26,SUPERUSDT,0.5652000,0.6751000,0.5568000,0.6642000,59790611
2024-01-27,SUPERUSDT,0.6639000,0.7009000,0.6182000,0.6371000,109982009
2024-01-28,SUPERUSDT,0.6373000,0.6546000,0.6162000,0.6247000,32146937
2024-01-29,SUPERUSDT,0.6245000,0.7332000,0.6193000,0.7116000,83438418
2024-01-30,SUPERUSDT,0.7116000,0.7413000,0.6308000,0.6394000,112010597
2024-01-31,SUPERUSDT,0.6393000,0.6411000,0.5670000,0.5713000,82140372
2024-02-01,SUPERUSDT,0.5714000,0.6115000,0.5521000,0.6072000,50944786
2024-02-02,SUPERUSDT,0.6071000,0.6138000,0.5823000,0.5951000,27114732
2024-02-03,SUPERUSDT,0.5951000,0.6031000,0.5801000,0.5876000,14817859
2024-02-04,SUPERUSDT,0.5876000,0.5880000,0.5671000,0.5702000,16739826
2024-02-05,SUPERUSDT,0.5701000,0.5851000,0.5591000,0.5751000,17398836
2024-02-06,SUPERUSDT,0.5752000,0.6025000,0.5662000,0.5978000,17992293
2024-02-07,SUPERUSDT,0.5974000,0.6537000,0.5886000,0.6283000,45419477
2024-02-08,SUPERUSDT,0.6284000,0.6553000,0.6261000,0.6395000,24633476
2024-02-09,SUPERUSDT,0.6395000,0.7447000,0.6385000,0.6943000,55422519
2024-02-10,SUPERUSDT,0.6944000,0.9750000,0.6943000,0.8469000,589801345
2024-02-11,SUPERUSDT,0.8470000,0.9740000,0.8258000,0.8779000,292614004
2024-02-12,SUPERUSDT,0.8779000,0.9671000,0.8350000,0.9075000,145827576
2024-02-13,SUPERUSDT,0.9075000,1.1162000,0.9048000,1.0804000,285813823
2024-02-14,SUPERUSDT,1.0805000,1.1940000,1.0393000,1.1189000,159417201
2024-02-15,SUPERUSDT,1.1187000,1.1800000,1.0560000,1.1068000,83802183
2024-02-16,SUPERUSDT,1.1066000,1.1249000,1.0050000,1.0496000,50831448
2024-02-17,SUPERUSDT,1.0493000,1.1460000,1.0186000,1.0605000,57604142
2024-02-18,SUPERUSDT,1.0606000,1.1685000,1.0523000,1.1606000,45594309
2024-02-19,SUPERUSDT,1.1606000,1.2948000,1.1486000,1.1961000,57384412
2024-02-20,SUPERUSDT,1.1963000,1.2051000,1.0719000,1.1226000,54720540
2024-02-21,SUPERUSDT,1.1228000,1.1281000,1.0157000,1.0763000,32131286
2024-02-22,SUPERUSDT,1.0764000,1.0995000,1.0169000,1.0281000,28425310
2024-02-23,SUPERUSDT,1.0282000,1.0416000,0.9260000,0.9625000,40454444
