Date,Symbol,Open,High,Low,Close,Volume
2020-09-04,SUSHIUSDT,4.6000,5.7615,4.1713,4.5533,7615847
2020-09-05,SUSHIUSDT,4.5440,5.0686,1.1250,1.8868,112724401
2020-09-06,SUSHIUSDT,1.8868,3.5349,1.0204,3.1756,195214186
2020-09-07,SUSHIUSDT,3.1761,3.3940,2.0902,2.8544,116607401
2020-09-08,SUSHIUSDT,2.8547,2.9815,2.2743,2.3762,63146418
2020-09-09,SUSHIUSDT,2.3777,3.1920,2.1447,2.8782,84303606
2020-09-10,SUSHIUSDT,2.8770,3.1500,2.2580,2.3854,73725377
2020-09-11,SUSHIUSDT,2.3856,2.9530,2.0233,2.7176,101266677
2020-09-12,SUSHIUSDT,2.7171,2.7360,2.3055,2.6339,86173270
2020-09-13,SUSHIUSDT,2.6346,2.6538,2.2005,2.3321,55664125
2020-09-14,SUSHIUSDT,2.3331,2.6696,2.1450,2.4669,75692705
2020-09-15,SUSHIUSDT,2.4683,2.6550,1.6874,1.7585,132436464
2020-09-16,SUSHIUSDT,1.7585,1.8018,1.4611,1.5196,99920180
2020-09-17,SUSHIUSDT,1.5193,1.6564,1.3200,1.5344,119045023
2020-09-18,SUSHIUSDT,1.5345,1.8635,1.5323,1.6945,113149005
2020-09-19,SUSHIUSDT,1.6946,1.9498,1.6083,1.7764,63891571
2020-09-20,SUSHIUSDT,1.7769,1.9393,1.5723,1.6470,66779293
2020-09-21,SUSHIUSDT,1.6475,1.7430,1.3353,1.4120,64719481
2020-09-22,SUSHIUSDT,1.4123,1.4644,1.3223,1.3926,39520695
2020-09-23,SUSHIUSDT,1.3913,1.4550,1.2166,1.2698,70618908
2020-09-24,SUSHIUSDT,1.2706,1.4770,1.2472,1.4092,59665548
2020-09-25,SUSHIUSDT,1.4092,1.4425,1.3340,1.4046,41120376
2020-09-26,SUSHIUSDT,1.4050,1.4460,1.3520,1.3966,31276074
2020-09-27,SUSHIUSDT,1.3966,1.4526,1.3350,1.3704,27575546
2020-09-28,SUSHIUSDT,1.3705,1.3958,1.2500,1.2702,29149155
2020-09-29,SUSHIUSDT,1.2701,1.2895,1.1962,1.2551,31460311
2020-09-30,SUSHIUSDT,1.2547,1.3278,1.2400,1.2820,32319452
2020-10-01,SUSHIUSDT,1.2831,1.3512,1.2052,1.2510,30523008
2020-10-02,SUSHIUSDT,1.2508,1.2650,1.0330,1.1171,40697539
2020-10-03,SUSHIUSDT,1.1164,1.1289,1.0488,1.0576,16011998
2020-10-04,SUSHIUSDT,1.0573,1.0691,0.8549,0.8783,47250986
2020-10-05,SUSHIUSDT,0.8786,0.9470,0.8201,0.8454,56713439
2020-10-06,SUSHIUSDT,0.8455,0.8520,0.6200,0.6374,139138145
2020-10-07,SUSHIUSDT,0.6382,0.6822,0.5322,0.6754,163000495
2020-10-08,SUSHIUSDT,0.6755,0.8018,0.5935,0.7770,158084597
2020-10-09,SUSHIUSDT,0.7771,0.8668,0.7350,0.8274,92565413
2020-10-10,SUSHIUSDT,0.8274,0.8744,0.7316,0.7476,82672028
2020-10-11,SUSHIUSDT,0.7482,0.7884,0.6925,0.7601,76636178
2020-10-12,SUSHIUSDT,0.7597,0.8006,0.7274,0.7610,58181195
2020-10-13,SUSHIUSDT,0.7609,0.7696,0.7091,0.7363,35026170
2020-10-14,SUSHIUSDT,0.7362,0.7656,0.6902,0.7189,50492983
2020-10-15,SUSHIUSDT,0.7189,0.7212,0.6652,0.7046,56913289
2020-10-16,SUSHIUSDT,0.7044,0.7069,0.6396,0.6554,58086824
2020-10-17,SUSHIUSDT,0.6556,0.6807,0.6420,0.6631,20089919
2020-10-18,SUSHIUSDT,0.6631,0.7172,0.6597,0.7137,25406639
