Date,Symbol,Open,High,Low,Close,Volume
2024-08-16,SYNUSDT,0.4617000,0.6152000,0.4597000,0.5947000,251363314
2024-08-17,SYNUSDT,0.5947000,0.7560000,0.5520000,0.6448000,532377701
2024-08-18,SYNUSDT,0.6448000,0.8145000,0.5874000,0.6730000,338372906
2024-08-19,SYNUSDT,0.6730000,0.6865000,0.5449000,0.5551000,179318338
2024-08-20,SYNUSDT,0.5550000,0.6069000,0.5263000,0.5456000,175634768
2024-08-21,SYNUSDT,0.5457000,0.5955000,0.5405000,0.5590000,149290242
2024-08-22,SYNUSDT,0.5590000,0.6000000,0.5571000,0.5702000,104883436
2024-08-23,SYNUSDT,0.5703000,0.6189000,0.5514000,0.6171000,71578847
2024-08-24,SYNUSDT,0.6170000,0.6231000,0.5649000,0.5767000,53285153
2024-08-25,SYNUSDT,0.5766000,0.6075000,0.5576000,0.5848000,52261402
2024-08-26,SYNUSDT,0.5848000,0.6262000,0.5435000,0.5463000,81062710
2024-08-27,SYNUSDT,0.5462000,0.5598000,0.5000000,0.5179000,41015349
2024-08-28,SYNUSDT,0.5180000,0.5199000,0.4743000,0.4936000,29165132
2024-08-29,SYNUSDT,0.4936000,0.5113000,0.4751000,0.4810000,15912694
2024-08-30,SYNUSDT,0.4808000,0.4863000,0.4461000,0.4763000,20404125
2024-08-31,SYNUSDT,0.4764000,0.4813000,0.4562000,0.4572000,11176569
2024-09-01,SYNUSDT,0.4571000,0.4581000,0.4245000,0.4331000,18797100
2024-09-02,SYNUSDT,0.4329000,0.4586000,0.4308000,0.4528000,15002725
2024-09-03,SYNUSDT,0.4529000,0.4595000,0.4200000,0.4211000,14851850
2024-09-04,SYNUSDT,0.4210000,0.4306000,0.3891000,0.4172000,22426001
2024-09-05,SYNUSDT,0.4171000,0.4191000,0.3950000,0.4005000,10671795
2024-09-06,SYNUSDT,0.4006000,0.4135000,0.3635000,0.3843000,21623011
2024-09-07,SYNUSDT,0.3843000,0.4045000,0.3805000,0.3953000,11414358
2024-09-08,SYNUSDT,0.3953000,0.4463000,0.3948000,0.4460000,90244543
2024-09-09,SYNUSDT,0.4458000,0.4508000,0.4251000,0.4419000,44055304
2024-09-10,SYNUSDT,0.4420000,0.4427000,0.4255000,0.4292000,18411582
2024-09-11,SYNUSDT,0.4293000,0.4339000,0.4072000,0.4259000,22090306
2024-09-12,SYNUSDT,0.4259000,0.4406000,0.4212000,0.4399000,19134159
2024-09-13,SYNUSDT,0.4400000,0.5220000,0.4367000,0.5101000,217190985
2024-09-14,SYNUSDT,0.5102000,0.5221000,0.4856000,0.4868000,59906710
2024-09-15,SYNUSDT,0.4869000,0.5058000,0.4651000,0.4713000,49525400
2024-09-16,SYNUSDT,0.4712000,0.4725000,0.4286000,0.4408000,44135251
2024-09-17,SYNUSDT,0.4408000,0.4678000,0.4324000,0.4514000,26935832
2024-09-18,SYNUSDT,0.4513000,0.4728000,0.4270000,0.4722000,19273888
2024-09-19,SYNUSDT,0.4723000,0.4838000,0.4569000,0.4618000,18031911
2024-09-20,SYNUSDT,0.4616000,0.4965000,0.4527000,0.4768000,27793674
2024-09-21,SYNUSDT,0.4766000,0.4879000,0.4587000,0.4820000,19509420
2024-09-22,SYNUSDT,0.4821000,0.4929000,0.4614000,0.4766000,20218433
2024-09-23,SYNUSDT,0.4766000,0.5038000,0.4661000,0.4779000,24741727
2024-09-24,SYNUSDT,0.4778000,0.4993000,0.4689000,0.4912000,18023791
2024-09-25,SYNUSDT,0.4913000,0.4973000,0.4672000,0.4703000,14594773
2024-09-26,SYNUSDT,0.4703000,0.5046000,0.4606000,0.4989000,21899012
2024-09-27,SYNUSDT,0.4990000,0.5310000,0.4950000,0.5197000,22931611
2024-09-28,SYNUSDT,0.5200000,0.5265000,0.4892000,0.4995000,20751462
2024-09-29,SYNUSDT,0.4996000,0.5104000,0.4830000,0.4997000,17974791
2024-09-30,SYNUSDT,0.4998000,0.5038000,0.4584000,0.4625000,25153739
2024-10-01,SYNUSDT,0.4626000,0.4763000,0.3911000,0.4032000,35639364
2024-10-02,SYNUSDT,0.4032000,0.4198000,0.3767000,0.3863000,24138830
2024-10-03,SYNUSDT,0.3863000,0.3930000,0.3648000,0.3813000,22383807
2024-10-04,SYNUSDT,0.3817000,0.4641000,0.3804000,0.4591000,75310044
2024-10-05,SYNUSDT,0.4591000,0.4747000,0.4355000,0.4485000,65216148
2024-10-06,SYNUSDT,0.4484000,0.4609000,0.4354000,0.4608000,23045329
2024-10-07,SYNUSDT,0.4608000,0.4939000,0.4568000,0.4734000,28522987
2024-10-08,SYNUSDT,0.4733000,0.4870000,0.4578000,0.4748000,26696434
2024-10-09,SYNUSDT,0.4748000,0.4804000,0.4246000,0.4336000,19685981
2024-10-10,SYNUSDT,0.4334000,0.4816000,0.4257000,0.4803000,24707664
2024-10-11,SYNUSDT,0.4804000,0.5178000,0.4794000,0.5055000,75738655
2024-10-12,SYNUSDT,0.5059000,0.5181000,0.4929000,0.4999000,18080435
2024-10-13,SYNUSDT,0.5001000,0.5417000,0.4825000,0.5296000,27889585
2024-10-14,SYNUSDT,0.5298000,0.6373000,0.5184000,0.6224000,58558189
2024-10-15,SYNUSDT,0.6223000,0.6515000,0.5969000,0.6141000,82280260
2024-10-16,SYNUSDT,0.6142000,0.6371000,0.5872000,0.5912000,25464835
2024-10-17,SYNUSDT,0.5912000,0.6018000,0.5499000,0.5673000,20388677
2024-10-18,SYNUSDT,0.5674000,0.6336000,0.5626000,0.6123000,20072179
2024-10-19,SYNUSDT,0.6125000,0.6462000,0.6080000,0.6120000,20387847
2024-10-20,SYNUSDT,0.6119000,0.6467000,0.6054000,0.6415000,12572351
2024-10-21,SYNUSDT,0.6414000,0.6534000,0.5906000,0.6037000,16065704
2024-10-22,SYNUSDT,0.6038000,0.6106000,0.5782000,0.5810000,11597309
2024-10-23,SYNUSDT,0.5814000,0.5855000,0.5471000,0.5654000,9314732
2024-10-24,SYNUSDT,0.5654000,0.6770000,0.5583000,0.6545000,55666722
2024-10-25,SYNUSDT,0.6545000,0.6610000,0.5500000,0.5691000,41379039
2024-10-26,SYNUSDT,0.5691000,0.6316000,0.5597000,0.6008000,21203307
2024-10-27,SYNUSDT,0.6008000,0.6231000,0.5883000,0.6033000,14796679
2024-10-28,SYNUSDT,0.6033000,0.6065000,0.5641000,0.5839000,13189027
2024-10-29,SYNUSDT,0.5839000,0.6038000,0.5727000,0.5838000,22470359
