Date,Symbol,Open,High,Low,Close,Volume
2025-05-07,SYRUPUSDT,0.2180000,0.2516600,0.1949000,0.2244500,466462061
2025-05-08,SYRUPUSDT,0.2244500,0.2446300,0.2053400,0.2265100,360870067
2025-05-09,SYRUPUSDT,0.2265000,0.2499900,0.2144700,0.2446600,254896193
2025-05-10,SYRUPUSDT,0.2444400,0.3010300,0.2341500,0.2860100,480946144
2025-05-11,SYRUPUSDT,0.2861100,0.3245800,0.2600100,0.2731700,322050441
2025-05-12,SYRUPUSDT,0.2731600,0.2874700,0.2311300,0.2467600,195453565
2025-05-13,SYRUPUSDT,0.2466600,0.2733300,0.2336000,0.2721600,132000745
2025-05-14,SYRUPUSDT,0.2721300,0.3226900,0.2641800,0.3133100,386545414
2025-05-15,SYRUPUSDT,0.3131500,0.3315400,0.2612900,0.3264100,601222273
2025-05-16,SYRUPUSDT,0.3263500,0.3589500,0.3176700,0.3387700,1044364380
2025-05-17,SYRUPUSDT,0.3387400,0.3837600,0.3234700,0.3485900,759649795
2025-05-18,SYRUPUSDT,0.3485800,0.3850000,0.3426300,0.3661300,477003871
2025-05-19,SYRUPUSDT,0.3660100,0.3661700,0.3108200,0.3341700,345497397
2025-05-20,SYRUPUSDT,0.3341800,0.3827100,0.3315700,0.3594600,457731659
2025-05-21,SYRUPUSDT,0.3594400,0.3624800,0.3360000,0.3409100,238885136
2025-05-22,SYRUPUSDT,0.3409100,0.4165000,0.3385000,0.3850800,294912551
2025-05-23,SYRUPUSDT,0.3850900,0.4099900,0.3645000,0.3868200,266720772
2025-05-24,SYRUPUSDT,0.3868700,0.4322000,0.3863700,0.4270200,387704961
2025-05-25,SYRUPUSDT,0.4270400,0.4600000,0.4156300,0.4377200,539959177
2025-05-26,SYRUPUSDT,0.4376600,0.4711100,0.4089900,0.4180100,269423837
2025-05-27,SYRUPUSDT,0.4180000,0.4472500,0.4073100,0.4207800,210427191
2025-05-28,SYRUPUSDT,0.4207900,0.4589500,0.4142600,0.4165700,176795599
2025-05-29,SYRUPUSDT,0.4165400,0.4399700,0.3812200,0.3863600,163558771
2025-05-30,SYRUPUSDT,0.3863500,0.3896000,0.3432000,0.3542600,142502646
2025-05-31,SYRUPUSDT,0.3542400,0.3582800,0.3160300,0.3441900,162089400
2025-06-01,SYRUPUSDT,0.3441900,0.3597900,0.3312400,0.3561800,115961440
2025-06-02,SYRUPUSDT,0.3562200,0.4189900,0.3410900,0.4138600,384975771
2025-06-03,SYRUPUSDT,0.4138300,0.4597500,0.4122000,0.4160000,328528788
2025-06-04,SYRUPUSDT,0.4160200,0.4307800,0.4002000,0.4082400,154521102
2025-06-05,SYRUPUSDT,0.4082000,0.4187500,0.3506700,0.3538100,159221247
2025-06-06,SYRUPUSDT,0.3538300,0.4160000,0.3492200,0.4067500,194015734
2025-06-07,SYRUPUSDT,0.4067100,0.4300000,0.3991400,0.4202400,167932995
2025-06-08,SYRUPUSDT,0.4201400,0.4286500,0.3974600,0.4031200,110234157
2025-06-09,SYRUPUSDT,0.4030100,0.4453900,0.3875200,0.4383700,134917125
2025-06-10,SYRUPUSDT,0.4383900,0.4937200,0.4234400,0.4873600,224514252
2025-06-11,SYRUPUSDT,0.4874300,0.5344400,0.4761900,0.4964900,242906682
2025-06-12,SYRUPUSDT,0.4965000,0.5308600,0.4769000,0.4802600,241680198
2025-06-13,SYRUPUSDT,0.4801200,0.5022000,0.4502500,0.4938300,237980279
2025-06-14,SYRUPUSDT,0.4938100,0.4956700,0.4567500,0.4673600,139705207
2025-06-15,SYRUPUSDT,0.4673800,0.5020900,0.4554200,0.4970800,134919540
2025-06-16,SYRUPUSDT,0.4971000,0.5546400,0.4800000,0.5233200,332479351
2025-06-17,SYRUPUSDT,0.5233400,0.5546400,0.4975500,0.5086200,261494270
2025-06-18,SYRUPUSDT,0.5086100,0.5255600,0.4860000,0.5127800,182065355
