Date,Symbol,Open,High,Low,Close,Volume
2025-09-03,TAKEUSDT,0.1200000,0.1865000,0.1100000,0.1808800,1731071977
2025-09-04,TAKEUSDT,0.1808800,0.2086900,0.1650000,0.1731600,2230387190
2025-09-05,TAKEUSDT,0.1732200,0.1778000,0.1366800,0.1403600,842056017
2025-09-06,TAKEUSDT,0.1403800,0.1680000,0.1380000,0.1595400,572762884
2025-09-07,TAKEUSDT,0.1595200,0.1919900,0.1533600,0.1739400,676752951
2025-09-08,TAKEUSDT,0.1739500,0.2329300,0.1678500,0.1729400,505573895
2025-09-09,TAKEUSDT,0.1729600,0.1884000,0.1622000,0.1799000,176737028
2025-09-10,TAKEUSDT,0.1799100,0.2296000,0.1743300,0.1810200,288796347
2025-09-11,TAKEUSDT,0.1810200,0.1981200,0.1670000,0.1897600,188504978
2025-09-12,TAKEUSDT,0.1897700,0.1928200,0.1637200,0.1663400,197992769
2025-09-13,TAKEUSDT,0.1663300,0.1987800,0.1615500,0.1885200,145309134
2025-09-14,TAKEUSDT,0.1885900,0.1894600,0.1630900,0.1772100,119110224
2025-09-15,TAKEUSDT,0.1772100,0.1995600,0.1635800,0.1735200,176436312
2025-09-16,TAKEUSDT,0.1735400,0.2081800,0.1670400,0.1904500,251594312
2025-09-17,TAKEUSDT,0.1904400,0.1966200,0.1770100,0.1956400,78577293
2025-09-18,TAKEUSDT,0.1956700,0.2015000,0.1848000,0.1983700,57820714
2025-09-19,TAKEUSDT,0.1984200,0.2027200,0.1760000,0.1787300,63065411
2025-09-20,TAKEUSDT,0.1787000,0.2030900,0.1775000,0.1997100,88718001
2025-09-21,TAKEUSDT,0.1997000,0.2111100,0.1882400,0.1931800,113227484
2025-09-22,TAKEUSDT,0.1931600,0.1950600,0.1740000,0.1814900,92668611
2025-09-23,TAKEUSDT,0.1815000,0.1964000,0.1754600,0.1890100,62428476
2025-09-24,TAKEUSDT,0.1890400,0.1946100,0.1820000,0.1848700,58080370
2025-09-25,TAKEUSDT,0.1849500,0.1860200,0.1734400,0.1778000,46640196
2025-09-26,TAKEUSDT,0.1779600,0.1851500,0.1746300,0.1819400,28534721
2025-09-27,TAKEUSDT,0.1820100,0.1828800,0.1750000,0.1769400,23623448
2025-09-28,TAKEUSDT,0.1769400,0.1875700,0.1758000,0.1842200,21765562
2025-09-29,TAKEUSDT,0.1842300,0.1900600,0.1816500,0.1870500,39879461
2025-09-30,TAKEUSDT,0.1870000,0.1887100,0.1758600,0.1823500,23826466
2025-10-01,TAKEUSDT,0.1823700,0.1837100,0.1808600,0.1826200,5240297
