Date,Symbol,Open,High,Low,Close,Volume
2025-09-17,TOSHIUSDT,0.0007740,0.0011384,0.0007700,0.0009142,649341300217
2025-09-18,TOSHIUSDT,0.0009142,0.0009859,0.0008501,0.0008655,164112021429
2025-09-19,TOSHIUSDT,0.0008655,0.0008730,0.0007936,0.0008161,60026600213
2025-09-20,TOSHIUSDT,0.0008160,0.0008804,0.0007875,0.0008567,44961343944
2025-09-21,TOSHIUSDT,0.0008566,0.0009093,0.0008216,0.0008242,50109046346
2025-09-22,TOSHIUSDT,0.0008240,0.0008313,0.0007121,0.0007540,47590768229
2025-09-23,TOSHIUSDT,0.0007536,0.0008522,0.0007142,0.0007910,48092812651
2025-09-24,TOSHIUSDT,0.0007909,0.0008934,0.0007695,0.0007781,57217011496
2025-09-25,TOSHIUSDT,0.0007783,0.0007831,0.0007095,0.0007162,36715659975
2025-09-26,TOSHIUSDT,0.0007163,0.0007378,0.0006759,0.0007195,30688074753
2025-09-27,TOSHIUSDT,0.0007195,0.0007742,0.0007134,0.0007293,23704448112
2025-09-28,TOSHIUSDT,0.0007294,0.0007495,0.0007118,0.0007419,12693880225
2025-09-29,TOSHIUSDT,0.0007418,0.0007516,0.0007004,0.0007285,16656691617
2025-09-30,TOSHIUSDT,0.0007284,0.0007405,0.0007040,0.0007164,15979439956
2025-10-01,TOSHIUSDT,0.0007165,0.0007304,0.0007086,0.0007210,2803751064
