Date,Symbol,Open,High,Low,Close,Volume
2025-02-09,TSTUSDT,0.3735000,0.3735000,0.2111000,0.2252000,3706378946
2025-02-10,TSTUSDT,0.2251000,0.2317000,0.1462000,0.1662000,10679458513
2025-02-11,TSTUSDT,0.1662000,0.2520000,0.1563000,0.1720000,7119575667
2025-02-12,TSTUSDT,0.1719000,0.2099000,0.1409000,0.1890000,5294273275
2025-02-13,TSTUSDT,0.1891000,0.2010000,0.1112000,0.1156000,5593011301
2025-02-14,TSTUSDT,0.1157000,0.1253000,0.1040000,0.1148000,5266716526
2025-02-15,TSTUSDT,0.1147000,0.1169000,0.0968000,0.1037000,3977412216
2025-02-16,TSTUSDT,0.1038000,0.1108000,0.0951000,0.0981000,2721076901
2025-02-17,TSTUSDT,0.0980000,0.1032000,0.0872000,0.0921000,2927010698
2025-02-18,TSTUSDT,0.0921000,0.0958000,0.0739000,0.0862000,3319288296
2025-02-19,TSTUSDT,0.0861000,0.0885000,0.0721000,0.0748000,3794861244
2025-02-20,TSTUSDT,0.0748000,0.0880000,0.0724000,0.0865000,3943686657
2025-02-21,TSTUSDT,0.0866000,0.1064000,0.0787000,0.0798000,3899657036
2025-02-22,TSTUSDT,0.0798000,0.1375000,0.0774000,0.1289000,6785774651
2025-02-23,TSTUSDT,0.1288000,0.1426000,0.1016000,0.1057000,7543254325
2025-02-24,TSTUSDT,0.1058000,0.1061000,0.0796000,0.0806000,5321321161
2025-02-25,TSTUSDT,0.0807000,0.0925000,0.0732000,0.0873000,5294859563
2025-02-26,TSTUSDT,0.0874000,0.1020000,0.0822000,0.1006000,4075888796
2025-02-27,TSTUSDT,0.1006000,0.1134000,0.0906000,0.0936000,3207347252
2025-02-28,TSTUSDT,0.0935000,0.0980000,0.0870000,0.0932000,2609045378
2025-03-01,TSTUSDT,0.0933000,0.0956000,0.0833000,0.0852000,1862978380
2025-03-02,TSTUSDT,0.0852000,0.0899000,0.0823000,0.0876000,2118088813
2025-03-03,TSTUSDT,0.0877000,0.0881000,0.0730000,0.0738000,2057343339
2025-03-04,TSTUSDT,0.0738000,0.0743000,0.0639000,0.0733000,2441487816
2025-03-05,TSTUSDT,0.0733000,0.0757000,0.0685000,0.0722000,1268781613
2025-03-06,TSTUSDT,0.0722000,0.0732000,0.0646000,0.0668000,1180636451
2025-03-07,TSTUSDT,0.0669000,0.0750000,0.0631000,0.0681000,1697916849
2025-03-08,TSTUSDT,0.0680000,0.0723000,0.0611000,0.0619000,1332462345
2025-03-09,TSTUSDT,0.0619000,0.0633000,0.0559000,0.0613000,1876107434
2025-03-10,TSTUSDT,0.0613000,0.0643000,0.0544000,0.0565000,1859231813
2025-03-11,TSTUSDT,0.0565000,0.0655000,0.0499000,0.0594000,2097434902
2025-03-12,TSTUSDT,0.0594000,0.0624000,0.0564000,0.0619000,1390606677
2025-03-13,TSTUSDT,0.0619000,0.0637000,0.0583000,0.0611000,1076891084
2025-03-14,TSTUSDT,0.0611000,0.0631000,0.0589000,0.0592000,852882743
2025-03-15,TSTUSDT,0.0593000,0.0691000,0.0590000,0.0646000,1616388865
2025-03-16,TSTUSDT,0.0645000,0.0760000,0.0579000,0.0617000,3124541375
2025-03-17,TSTUSDT,0.0618000,0.0804000,0.0599000,0.0701000,3777984304
2025-03-18,TSTUSDT,0.0701000,0.0779000,0.0636000,0.0663000,3733064827
2025-03-19,TSTUSDT,0.0663000,0.0684000,0.0606000,0.0640000,1740582879
2025-03-20,TSTUSDT,0.0639000,0.0641000,0.0573000,0.0628000,1278462501
2025-03-21,TSTUSDT,0.0627000,0.0648000,0.0608000,0.0634000,962951606
2025-03-22,TSTUSDT,0.0634000,0.0669000,0.0628000,0.0640000,651657618
2025-03-23,TSTUSDT,0.0639000,0.0669000,0.0621000,0.0651000,735166691
2025-03-24,TSTUSDT,0.0650000,0.0696000,0.0635000,0.0677000,646631972
2025-03-25,TSTUSDT,0.0677000,0.0692000,0.0605000,0.0608000,762892253
2025-03-26,TSTUSDT,0.0609000,0.0654000,0.0592000,0.0617000,1005971074
2025-03-27,TSTUSDT,0.0616000,0.0652000,0.0597000,0.0641000,1194774555
2025-03-28,TSTUSDT,0.0642000,0.0699000,0.0581000,0.0691000,1297128567
2025-03-29,TSTUSDT,0.0691000,0.0714000,0.0630000,0.0654000,1204860409
2025-03-30,TSTUSDT,0.0654000,0.0709000,0.0634000,0.0685000,769561035
2025-03-31,TSTUSDT,0.0686000,0.0742000,0.0670000,0.0680000,1069053570
2025-04-01,TSTUSDT,0.0680000,0.0691000,0.0592000,0.0642000,1272026774
2025-04-02,TSTUSDT,0.0642000,0.0724000,0.0588000,0.0678000,1037230482
2025-04-03,TSTUSDT,0.0679000,0.0715000,0.0659000,0.0704000,446009814
2025-04-04,TSTUSDT,0.0703000,0.0722000,0.0670000,0.0693000,382838078
2025-04-05,TSTUSDT,0.0692000,0.0718000,0.0664000,0.0714000,271003059
2025-04-06,TSTUSDT,0.0714000,0.0736000,0.0642000,0.0703000,529584573
2025-04-07,TSTUSDT,0.0704000,0.0780000,0.0679000,0.0758000,695039269
