Date,Symbol,Open,High,Low,Close,Volume
2023-05-10,UMAUSDT,2.657000,2.944000,2.447000,2.567000,1849128
2023-05-11,UMAUSDT,2.568000,2.811000,2.304000,2.389000,15578519
2023-05-12,UMAUSDT,2.387000,2.508000,2.242000,2.409000,8218042
2023-05-13,UMAUSDT,2.409000,2.441000,2.269000,2.312000,4170077
2023-05-14,UMAUSDT,2.310000,2.362000,2.260000,2.350000,2632160
2023-05-15,UMAUSDT,2.350000,2.394000,2.285000,2.330000,3360131
2023-05-16,UMAUSDT,2.330000,2.350000,2.157000,2.206000,4326807
2023-05-17,UMAUSDT,2.207000,2.276000,2.093000,2.240000,4227730
2023-05-18,UMAUSDT,2.241000,2.378000,2.131000,2.198000,8157588
2023-05-19,UMAUSDT,2.199000,2.225000,2.148000,2.174000,2559278
2023-05-20,UMAUSDT,2.175000,2.176000,2.118000,2.151000,1731098
2023-05-21,UMAUSDT,2.151000,2.157000,2.016000,2.037000,2327394
2023-05-22,UMAUSDT,2.038000,2.116000,1.989000,2.085000,4382479
2023-05-23,UMAUSDT,2.085000,2.118000,2.033000,2.082000,2463608
2023-05-24,UMAUSDT,2.083000,2.088000,1.929000,1.993000,2716091
2023-05-25,UMAUSDT,1.993000,2.041000,1.935000,1.989000,3513652
2023-05-26,UMAUSDT,1.990000,2.017000,1.980000,1.992000,2505003
2023-05-27,UMAUSDT,1.993000,2.014000,1.982000,2.004000,1497140
2023-05-28,UMAUSDT,2.003000,2.079000,1.992000,2.053000,2257530
2023-05-29,UMAUSDT,2.054000,2.070000,1.989000,2.002000,1809583
2023-05-30,UMAUSDT,2.002000,2.030000,1.967000,1.986000,2059129
2023-05-31,UMAUSDT,1.985000,2.002000,1.886000,1.930000,2012879
2023-06-01,UMAUSDT,1.931000,1.948000,1.895000,1.919000,2093450
2023-06-02,UMAUSDT,1.918000,1.960000,1.893000,1.957000,1864214
2023-06-03,UMAUSDT,1.957000,2.041000,1.952000,1.984000,5350034
2023-06-04,UMAUSDT,1.984000,2.022000,1.960000,1.967000,2156476
2023-06-05,UMAUSDT,1.966000,1.967000,1.662000,1.772000,3482762
2023-06-06,UMAUSDT,1.773000,1.815000,1.730000,1.807000,2813865
2023-06-07,UMAUSDT,1.808000,1.901000,1.722000,1.783000,18382245
2023-06-08,UMAUSDT,1.784000,1.852000,1.733000,1.753000,10041336
2023-06-09,UMAUSDT,1.753000,1.798000,1.717000,1.727000,3757783
2023-06-10,UMAUSDT,1.728000,1.733000,1.271000,1.519000,12830166
2023-06-11,UMAUSDT,1.520000,1.600000,1.479000,1.521000,8949913
2023-06-12,UMAUSDT,1.521000,1.546000,1.445000,1.535000,5101835
2023-06-13,UMAUSDT,1.535000,1.572000,1.512000,1.533000,5119461
2023-06-14,UMAUSDT,1.534000,1.542000,1.430000,1.478000,4605961
2023-06-15,UMAUSDT,1.478000,1.496000,1.414000,1.475000,3182851
2023-06-16,UMAUSDT,1.476000,1.518000,1.438000,1.495000,2780963
2023-06-17,UMAUSDT,1.495000,1.542000,1.486000,1.523000,2236892
2023-06-18,UMAUSDT,1.522000,1.529000,1.473000,1.481000,1867001
2023-06-19,UMAUSDT,1.482000,1.508000,1.467000,1.497000,1909979
2023-06-20,UMAUSDT,1.498000,1.581000,1.481000,1.572000,3707653
2023-06-21,UMAUSDT,1.573000,1.650000,1.566000,1.633000,2962699
2023-06-22,UMAUSDT,1.634000,1.681000,1.520000,1.574000,2600097
2023-06-23,UMAUSDT,1.573000,1.624000,1.554000,1.596000,2403026
2023-06-24,UMAUSDT,1.596000,1.648000,1.577000,1.607000,2911427
2023-06-25,UMAUSDT,1.607000,1.808000,1.606000,1.672000,9415687
2023-06-26,UMAUSDT,1.672000,1.677000,1.587000,1.607000,2391356
2023-06-27,UMAUSDT,1.609000,1.640000,1.599000,1.620000,1321556
2023-06-28,UMAUSDT,1.619000,1.620000,1.461000,1.511000,2536117
2023-06-29,UMAUSDT,1.511000,1.565000,1.497000,1.537000,2972056
2023-06-30,UMAUSDT,1.538000,1.622000,1.482000,1.601000,4779871
2023-07-01,UMAUSDT,1.602000,1.649000,1.595000,1.636000,2487593
2023-07-02,UMAUSDT,1.637000,1.640000,1.585000,1.623000,1621895
2023-07-03,UMAUSDT,1.624000,1.679000,1.623000,1.666000,2158325
2023-07-04,UMAUSDT,1.667000,1.721000,1.623000,1.672000,3559873
