Date,Symbol,Open,High,Low,Close,Volume
2023-03-12,USDCUSDT,0.9600000,0.9884000,0.9091600,0.9845000,248225659
2023-03-13,USDCUSDT,0.9845100,0.9967100,0.9845000,0.9951900,274492148
2023-03-14,USDCUSDT,0.9952000,0.9970000,0.9936700,0.9962300,67979609
2023-03-15,USDCUSDT,0.9962300,0.9979000,0.9940000,0.9961500,61588985
2023-03-16,USDCUSDT,0.9961600,0.9982500,0.9960100,0.9968300,48581285
2023-03-17,USDCUSDT,0.9968300,0.9979700,0.9962000,0.9972500,68073546
2023-03-18,USDCUSDT,0.9972600,0.9973700,0.9958800,0.9965700,38843702
2023-03-19,USDCUSDT,0.9965700,0.9968000,0.9961200,0.9963400,10921385
2023-03-20,USDCUSDT,0.9963400,0.9967700,0.9937500,0.9959100,43141884
2023-03-21,USDCUSDT,0.9959000,0.9966600,0.9952500,0.9964500,31164548
2023-03-22,USDCUSDT,0.9964500,0.9972400,0.9959500,0.9966300,22145033
2023-03-23,USDCUSDT,0.9966300,0.9975000,0.9960400,0.9973200,12870909
2023-03-24,USDCUSDT,0.9973300,0.9983400,0.9973200,0.9982600,23177276
2023-03-25,USDCUSDT,0.9982700,0.9992100,0.9979400,0.9985600,18385653
2023-03-26,USDCUSDT,0.9985700,0.9989300,0.9984500,0.9985100,6290602
2023-03-27,USDCUSDT,0.9985000,0.9992000,0.9984700,0.9988400,14922146
2023-03-28,USDCUSDT,0.9988400,0.9993900,0.9987800,0.9989000,15559088
2023-03-29,USDCUSDT,0.9988900,0.9994200,0.9986700,0.9991800,16217706
2023-03-30,USDCUSDT,0.9991700,0.9994600,0.9990000,0.9994200,8901534
2023-03-31,USDCUSDT,0.9994300,0.9996400,0.9991200,0.9992000,13362214
2023-04-01,USDCUSDT,0.9991900,0.9994300,0.9950400,0.9988000,28141859
2023-04-02,USDCUSDT,0.9987900,0.9990400,0.9985900,0.9988600,6780905
2023-04-03,USDCUSDT,0.9988500,0.9993000,0.9987300,0.9991800,10774262
2023-04-04,USDCUSDT,0.9991800,0.9993700,0.9988900,0.9990800,6599220
2023-04-05,USDCUSDT,0.9990800,0.9993000,0.9989200,0.9991700,6422508
2023-04-06,USDCUSDT,0.9991700,0.9993000,0.9988900,0.9989600,4121938
2023-04-07,USDCUSDT,0.9989600,0.9992000,0.9986200,0.9987300,3406920
2023-04-08,USDCUSDT,0.9987300,0.9991000,0.9986200,0.9989600,3140157
2023-04-09,USDCUSDT,0.9989500,0.9990200,0.9987000,0.9988600,3398667
2023-04-10,USDCUSDT,0.9988500,0.9989600,0.9986300,0.9988900,4225222
2023-04-11,USDCUSDT,0.9988800,0.9988900,0.9984100,0.9985600,7060858
2023-04-12,USDCUSDT,0.9985500,0.9988500,0.9982100,0.9987700,5430598
2023-04-13,USDCUSDT,0.9987700,0.9987800,0.9981900,0.9984700,6373592
2023-04-14,USDCUSDT,0.9984800,0.9987500,0.9982900,0.9984800,7538867
2023-04-15,USDCUSDT,0.9984800,0.9988500,0.9984100,0.9985500,5670993
2023-04-16,USDCUSDT,0.9985500,0.9989700,0.9984100,0.9987900,5094594
2023-04-17,USDCUSDT,0.9987800,0.9989200,0.9984500,0.9986600,5440430
2023-04-18,USDCUSDT,0.9986600,0.9993000,0.9986500,0.9991900,5487601
2023-04-19,USDCUSDT,0.9991800,0.9992700,0.9985900,0.9991000,8672891
2023-04-20,USDCUSDT,0.9991000,0.9994000,0.9988400,0.9994000,6063902
2023-04-21,USDCUSDT,0.9994000,0.9997700,0.9992700,0.9995700,7680601
2023-04-22,USDCUSDT,0.9995700,0.9998800,0.9991900,0.9993900,4900125
2023-04-23,USDCUSDT,0.9993900,0.9995200,0.9990100,0.9995100,6192644
2023-04-24,USDCUSDT,0.9995200,0.9995800,0.9992500,0.9993900,5584885
2023-04-25,USDCUSDT,0.9993900,0.9995500,0.9991100,0.9992300,7176728
2023-04-26,USDCUSDT,0.9992400,0.9994800,0.9990700,0.9990800,7953205
2023-04-27,USDCUSDT,0.9990700,0.9993200,0.9990000,0.9991400,8468945
2023-04-28,USDCUSDT,0.9991300,0.9992600,0.9976900,0.9986900,10472525
2023-04-29,USDCUSDT,0.9986800,0.9988800,0.9985000,0.9987000,6535965
2023-04-30,USDCUSDT,0.9987100,0.9991400,0.9987000,0.9990100,6385306
2023-05-01,USDCUSDT,0.9990100,0.9994200,0.9987300,0.9992800,6146070
2023-05-02,USDCUSDT,0.9992900,0.9994000,0.9966400,0.9990200,6643099
2023-05-03,USDCUSDT,0.9990100,0.9993300,0.9989700,0.9992800,5233641
2023-05-04,USDCUSDT,0.9992700,0.9993000,0.9990700,0.9990700,3703847
2023-05-05,USDCUSDT,0.9990700,0.9991800,0.9986200,0.9986500,6305257
2023-05-06,USDCUSDT,0.9986400,0.9986800,0.9976200,0.9976200,10171816
2023-05-07,USDCUSDT,0.9976300,0.9983800,0.9974600,0.9982900,5979205
2023-05-08,USDCUSDT,0.9982900,0.9987600,0.9976300,0.9985400,7155666
2023-05-09,USDCUSDT,0.9985500,0.9989800,0.9985400,0.9989000,6228031
2023-05-10,USDCUSDT,0.9989000,0.9989800,0.9986300,0.9987300,5895322
2023-05-11,USDCUSDT,0.9987300,0.9990800,0.9987200,0.9989600,5239600
2023-05-12,USDCUSDT,0.9989600,0.9991000,0.9987700,0.9988700,3177465
2023-05-13,USDCUSDT,0.9988800,0.9989900,0.9988700,0.9989900,1614311
2023-05-14,USDCUSDT,0.9989800,0.9991800,0.9988800,0.9989200,2781029
2023-05-15,USDCUSDT,0.9989100,0.9991000,0.9988800,0.9990900,3998916
2023-05-16,USDCUSDT,0.9990900,0.9991900,0.9990900,0.9991800,1710434
2023-05-17,USDCUSDT,0.9991800,0.9994500,0.9991700,0.9991700,3991144
2023-05-18,USDCUSDT,0.9991800,0.9995700,0.9991700,0.9993400,5983174
2023-05-19,USDCUSDT,0.9993500,0.9995700,0.9992700,0.9992700,3421473
2023-05-20,USDCUSDT,0.9992700,0.9993200,0.9988800,0.9989600,3942945
2023-05-21,USDCUSDT,0.9989500,0.9992300,0.9989500,0.9990300,2207740
2023-05-22,USDCUSDT,0.9990400,0.9993400,0.9990300,0.9993300,2283349
