Date,Symbol,Open,High,Low,Close,Volume
2025-08-15,USELESSUSDT,0.3299000,0.3406000,0.2730000,0.2996000,287518600
2025-08-16,USELESSUSDT,0.2995000,0.3748000,0.2906000,0.3563000,535262624
2025-08-17,USELESSUSDT,0.3564000,0.3765000,0.3102000,0.3266000,316987204
2025-08-18,USELESSUSDT,0.3265000,0.3269000,0.2720000,0.2744000,248764782
2025-08-19,USELESSUSDT,0.2744000,0.2830000,0.2433000,0.2689000,302705299
2025-08-20,USELESSUSDT,0.2688000,0.3019000,0.2656000,0.2723000,213743679
2025-08-21,USELESSUSDT,0.2723000,0.2806000,0.2134000,0.2144000,328290881
2025-08-22,USELESSUSDT,0.2144000,0.2852000,0.2109000,0.2824000,339166723
2025-08-23,USELESSUSDT,0.2825000,0.2957000,0.2636000,0.2793000,194191733
2025-08-24,USELESSUSDT,0.2794000,0.2923000,0.2525000,0.2636000,172490812
2025-08-25,USELESSUSDT,0.2637000,0.2770000,0.2162000,0.2200000,189038089
2025-08-26,USELESSUSDT,0.2201000,0.2416000,0.2144000,0.2314000,140709760
2025-08-27,USELESSUSDT,0.2315000,0.2464000,0.2150000,0.2160000,183667534
2025-08-28,USELESSUSDT,0.2160000,0.2275000,0.1981000,0.2205000,215198306
2025-08-29,USELESSUSDT,0.2205000,0.2268000,0.1880000,0.2232000,229185434
2025-08-30,USELESSUSDT,0.2232000,0.2234000,0.2020000,0.2131000,110663821
2025-08-31,USELESSUSDT,0.2131000,0.2186000,0.1986000,0.1999000,66988728
2025-09-01,USELESSUSDT,0.1999000,0.2008000,0.1601000,0.1707000,271061133
2025-09-02,USELESSUSDT,0.1707000,0.1844000,0.1669000,0.1759000,181834575
2025-09-03,USELESSUSDT,0.1760000,0.1828000,0.1606000,0.1635000,142042011
2025-09-04,USELESSUSDT,0.1634000,0.1688000,0.1526000,0.1566000,210673639
2025-09-05,USELESSUSDT,0.1565000,0.1919000,0.1563000,0.1863000,217214963
2025-09-06,USELESSUSDT,0.1862000,0.2265000,0.1846000,0.2076000,318411418
2025-09-07,USELESSUSDT,0.2076000,0.2267000,0.2053000,0.2220000,160034192
2025-09-08,USELESSUSDT,0.2219000,0.2562000,0.2156000,0.2252000,159539392
2025-09-09,USELESSUSDT,0.2252000,0.2417000,0.2049000,0.2081000,127862289
2025-09-10,USELESSUSDT,0.2082000,0.2534000,0.1920000,0.2426000,196323895
2025-09-11,USELESSUSDT,0.2427000,0.2787000,0.2330000,0.2652000,285256778
2025-09-12,USELESSUSDT,0.2653000,0.2809000,0.2425000,0.2601000,136311038
2025-09-13,USELESSUSDT,0.2601000,0.3098000,0.2582000,0.2894000,145975516
2025-09-14,USELESSUSDT,0.2894000,0.2953000,0.2560000,0.2591000,87279665
2025-09-15,USELESSUSDT,0.2591000,0.2660000,0.2120000,0.2362000,143786622
2025-09-16,USELESSUSDT,0.2362000,0.2388000,0.2179000,0.2284000,93222048
2025-09-17,USELESSUSDT,0.2284000,0.2362000,0.2077000,0.2322000,102978857
2025-09-18,USELESSUSDT,0.2322000,0.2643000,0.2177000,0.2518000,138856337
2025-09-19,USELESSUSDT,0.2519000,0.2520000,0.2050000,0.2098000,114042841
2025-09-20,USELESSUSDT,0.2096000,0.2103000,0.1850000,0.1892000,137879751
2025-09-21,USELESSUSDT,0.1892000,0.1940000,0.1802000,0.1816000,77627615
2025-09-22,USELESSUSDT,0.1815000,0.1845000,0.1425000,0.1577000,209948340
2025-09-23,USELESSUSDT,0.1576000,0.1644000,0.1405000,0.1436000,147241949
2025-09-24,USELESSUSDT,0.1436000,0.1840000,0.1410000,0.1636000,317855527
2025-09-25,USELESSUSDT,0.1637000,0.1649000,0.1401000,0.1438000,247720649
2025-09-26,USELESSUSDT,0.1439000,0.1640000,0.1418000,0.1570000,184034566
2025-09-27,USELESSUSDT,0.1569000,0.1621000,0.1457000,0.1532000,198078279
2025-09-28,USELESSUSDT,0.1531000,0.1615000,0.1417000,0.1599000,95970202
2025-09-29,USELESSUSDT,0.1600000,0.1895000,0.1456000,0.1704000,250881938
2025-09-30,USELESSUSDT,0.1703000,0.1798000,0.1532000,0.1737000,230033917
2025-10-01,USELESSUSDT,0.1736000,0.1797000,0.1696000,0.1784000,40180657
