Date,Symbol,Open,High,Low,Close,Volume
2024-12-18,USUALUSDT,0.7784000,1.1800000,0.7784000,0.9481000,1083162011
2024-12-19,USUALUSDT,0.9481000,1.4816000,0.9391000,1.4396000,1714077477
2024-12-20,USUALUSDT,1.4398000,1.6500000,1.1011000,1.3660000,1985683230
2024-12-21,USUALUSDT,1.3660000,1.4478000,0.9464000,1.0699000,902306233
2024-12-22,USUALUSDT,1.0696000,1.2138000,0.9814000,1.0965000,859221952
2024-12-23,USUALUSDT,1.0965000,1.3295000,0.9935000,1.2823000,939789597
2024-12-24,USUALUSDT,1.2823000,1.4325000,1.2496000,1.2972000,745768381
2024-12-25,USUALUSDT,1.2971000,1.4444000,1.2229000,1.3995000,620035202
2024-12-26,USUALUSDT,1.3994000,1.4300000,1.2505000,1.2683000,389681385
2024-12-27,USUALUSDT,1.2683000,1.2939000,1.1156000,1.1435000,496450263
2024-12-28,USUALUSDT,1.1435000,1.2064000,1.0300000,1.0761000,481714841
2024-12-29,USUALUSDT,1.0761000,1.1379000,1.0237000,1.0471000,329118118
2024-12-30,USUALUSDT,1.0470000,1.1060000,0.9706000,1.0108000,387030070
2024-12-31,USUALUSDT,1.0109000,1.0218000,0.8647000,0.9024000,575675754
2025-01-01,USUALUSDT,0.9024000,0.9760000,0.8906000,0.9354000,378594604
2025-01-02,USUALUSDT,0.9353000,1.0688000,0.9344000,0.9959000,421014540
2025-01-03,USUALUSDT,0.9959000,1.0633000,0.9103000,1.0188000,437853397
2025-01-04,USUALUSDT,1.0187000,1.0482000,0.9316000,0.9514000,260945642
2025-01-05,USUALUSDT,0.9514000,1.0349000,0.9385000,0.9917000,301425055
2025-01-06,USUALUSDT,0.9917000,1.0271000,0.9414000,0.9510000,312827511
2025-01-07,USUALUSDT,0.9510000,0.9549000,0.7713000,0.7746000,510880156
2025-01-08,USUALUSDT,0.7745000,0.8038000,0.6697000,0.7021000,450602058
2025-01-09,USUALUSDT,0.7020000,0.7355000,0.6392000,0.6921000,410693151
2025-01-10,USUALUSDT,0.6922000,0.7136000,0.5575000,0.6670000,874384608
2025-01-11,USUALUSDT,0.6670000,0.6879000,0.6129000,0.6376000,607962421
2025-01-12,USUALUSDT,0.6375000,0.6427000,0.5752000,0.5894000,384853843
2025-01-13,USUALUSDT,0.5894000,0.6073000,0.4900000,0.5301000,751398015
2025-01-14,USUALUSDT,0.5301000,0.5794000,0.5269000,0.5395000,468340879
2025-01-15,USUALUSDT,0.5396000,0.5990000,0.4974000,0.5802000,583740332
2025-01-16,USUALUSDT,0.5802000,0.5830000,0.5269000,0.5362000,449719542
2025-01-17,USUALUSDT,0.5362000,0.5815000,0.5334000,0.5466000,307487302
2025-01-18,USUALUSDT,0.5466000,0.5620000,0.4952000,0.5486000,696875962
2025-01-19,USUALUSDT,0.5486000,0.5762000,0.3646000,0.3883000,1071714154
2025-01-20,USUALUSDT,0.3883000,0.4244000,0.3605000,0.3820000,740202347
2025-01-21,USUALUSDT,0.3820000,0.4152000,0.3513000,0.3893000,387949745
2025-01-22,USUALUSDT,0.3892000,0.4077000,0.3640000,0.3674000,373385670
2025-01-23,USUALUSDT,0.3675000,0.3933000,0.3503000,0.3610000,371267713
2025-01-24,USUALUSDT,0.3610000,0.3634000,0.3175000,0.3204000,349052704
2025-01-25,USUALUSDT,0.3206000,0.3409000,0.3115000,0.3189000,304194577
2025-01-26,USUALUSDT,0.3189000,0.3512000,0.3153000,0.3395000,384591587
2025-01-27,USUALUSDT,0.3394000,0.3473000,0.2885000,0.3136000,509606531
2025-01-28,USUALUSDT,0.3136000,0.3223000,0.2796000,0.2833000,231884293
2025-01-29,USUALUSDT,0.2833000,0.3115000,0.2761000,0.2948000,254161342
2025-01-30,USUALUSDT,0.2948000,0.4619000,0.2920000,0.4460000,2407636212
2025-01-31,USUALUSDT,0.4460000,0.4472000,0.3767000,0.3850000,1678294926
2025-02-01,USUALUSDT,0.3850000,0.3973000,0.3128000,0.3159000,647178603
2025-02-02,USUALUSDT,0.3160000,0.3504000,0.2840000,0.3047000,1113897747
2025-02-03,USUALUSDT,0.3048000,0.3195000,0.2247000,0.3185000,967302063
2025-02-04,USUALUSDT,0.3185000,0.3199000,0.2626000,0.2681000,532468041
2025-02-05,USUALUSDT,0.2680000,0.2750000,0.2403000,0.2470000,400243522
2025-02-06,USUALUSDT,0.2469000,0.2789000,0.2238000,0.2299000,1030456400
2025-02-07,USUALUSDT,0.2298000,0.2744000,0.2291000,0.2483000,1132301716
2025-02-08,USUALUSDT,0.2482000,0.2770000,0.2381000,0.2736000,441462850
2025-02-09,USUALUSDT,0.2734000,0.2870000,0.2461000,0.2581000,331270341
2025-02-10,USUALUSDT,0.2580000,0.2630000,0.2421000,0.2500000,254196650
2025-02-11,USUALUSDT,0.2500000,0.2800000,0.2438000,0.2494000,364340038
2025-02-12,USUALUSDT,0.2494000,0.2550000,0.2268000,0.2525000,285071583
2025-02-13,USUALUSDT,0.2525000,0.2635000,0.2404000,0.2477000,218486803
