Date,Symbol,Open,High,Low,Close,Volume
2025-01-24,VINEUSDT,0.2019400,0.2280200,0.1064000,0.1307400,2481719803
2025-01-25,VINEUSDT,0.1306100,0.4356000,0.1139100,0.3822500,10920396973
2025-01-26,VINEUSDT,0.3820100,0.4755000,0.3069300,0.3214900,5915665741
2025-01-27,VINEUSDT,0.3215000,0.3362200,0.2331000,0.2579700,3789490750
2025-01-28,VINEUSDT,0.2579800,0.2850000,0.2218200,0.2537600,2739330984
2025-01-29,VINEUSDT,0.2537400,0.3265800,0.2351000,0.2985400,3342301024
2025-01-30,VINEUSDT,0.2985600,0.3010700,0.2264900,0.2279000,1576811820
2025-01-31,VINEUSDT,0.2278700,0.2286500,0.1527300,0.1576100,2914962351
2025-02-01,VINEUSDT,0.1576100,0.1916900,0.1435700,0.1832500,3792457401
2025-02-02,VINEUSDT,0.1832200,0.1999500,0.1381000,0.1476200,4666308872
2025-02-03,VINEUSDT,0.1476200,0.1557300,0.1077800,0.1455700,3862485351
2025-02-04,VINEUSDT,0.1455500,0.1588500,0.1184600,0.1285600,2428282597
2025-02-05,VINEUSDT,0.1285800,0.1796000,0.1278000,0.1405800,4150459082
2025-02-06,VINEUSDT,0.1405900,0.1567600,0.1252400,0.1271300,2396416512
2025-02-07,VINEUSDT,0.1271300,0.1365700,0.1012700,0.1028200,2491397546
2025-02-08,VINEUSDT,0.1028000,0.1399600,0.0970500,0.1204900,4258712017
2025-02-09,VINEUSDT,0.1205100,0.1293500,0.1032100,0.1070300,1720833408
2025-02-10,VINEUSDT,0.1070300,0.1112500,0.0780600,0.0815900,2612563524
2025-02-11,VINEUSDT,0.0815800,0.0843900,0.0690400,0.0716000,3387372989
2025-02-12,VINEUSDT,0.0716000,0.0734600,0.0610800,0.0682800,2764258088
2025-02-13,VINEUSDT,0.0682700,0.0728600,0.0590500,0.0641500,2031340493
2025-02-14,VINEUSDT,0.0641500,0.0767600,0.0640200,0.0671400,2385148270
2025-02-15,VINEUSDT,0.0671500,0.0674300,0.0554800,0.0568100,1721804401
2025-02-16,VINEUSDT,0.0568300,0.0583700,0.0538100,0.0557300,1156101631
2025-02-17,VINEUSDT,0.0557400,0.0566600,0.0475800,0.0486400,1606760171
