Date,Symbol,Open,High,Low,Close,Volume
2022-04-08,WOOUSDT,0.58980,0.64956,0.49550,0.51475,279697311
2022-04-09,WOOUSDT,0.51470,0.53700,0.50050,0.52670,134452115
2022-04-10,WOOUSDT,0.52667,0.53472,0.49700,0.50349,61455307
2022-04-11,WOOUSDT,0.50338,0.50468,0.44600,0.45619,77509857
2022-04-12,WOOUSDT,0.45615,0.50619,0.45025,0.46340,196073920
2022-04-13,WOOUSDT,0.46344,0.48399,0.45723,0.47902,50004939
2022-04-14,WOOUSDT,0.47897,0.52580,0.46417,0.47673,112335887
2022-04-15,WOOUSDT,0.47673,0.49063,0.45881,0.47417,48546091
2022-04-16,WOOUSDT,0.47416,0.48042,0.46000,0.47280,31666543
2022-04-17,WOOUSDT,0.47298,0.49886,0.45284,0.45727,57372735
2022-04-18,WOOUSDT,0.45727,0.49557,0.43211,0.49327,116892332
2022-04-19,WOOUSDT,0.49346,0.53200,0.48616,0.50078,122237864
2022-04-20,WOOUSDT,0.50078,0.50577,0.46750,0.47346,76861767
2022-04-21,WOOUSDT,0.47348,0.48644,0.43500,0.44677,60379536
2022-04-22,WOOUSDT,0.44677,0.46134,0.44000,0.45163,37990466
2022-04-23,WOOUSDT,0.45162,0.46594,0.44051,0.44231,53310955
2022-04-24,WOOUSDT,0.44230,0.45000,0.43001,0.43556,42425152
2022-04-25,WOOUSDT,0.43548,0.45189,0.40000,0.44707,75446661
2022-04-26,WOOUSDT,0.44707,0.45946,0.40002,0.40710,61489025
2022-04-27,WOOUSDT,0.40706,0.43114,0.40326,0.41773,30382026
2022-04-28,WOOUSDT,0.41764,0.42910,0.40800,0.41759,27453433
2022-04-29,WOOUSDT,0.41779,0.42016,0.37602,0.38616,40548236
2022-04-30,WOOUSDT,0.38643,0.39227,0.33721,0.34761,33986341
2022-05-01,WOOUSDT,0.34763,0.37000,0.33852,0.36175,40868313
2022-05-02,WOOUSDT,0.36139,0.37157,0.31475,0.33282,137049734
2022-05-03,WOOUSDT,0.33276,0.35154,0.32703,0.33589,52575357
