Date,Symbol,Open,High,Low,Close,Volume
2025-08-07,YALAUSDT,0.1886000,0.3857000,0.1828000,0.3638000,676664477
2025-08-08,YALAUSDT,0.3639000,0.4646000,0.3040000,0.4176000,1475475652
2025-08-09,YALAUSDT,0.4177000,0.4496000,0.3022000,0.3220000,703166118
2025-08-10,YALAUSDT,0.3219000,0.3554000,0.3160000,0.3429000,269986424
2025-08-11,YALAUSDT,0.3429000,0.3623000,0.3137000,0.3174000,166783969
2025-08-12,YALAUSDT,0.3174000,0.3242000,0.2529000,0.2677000,348728226
2025-08-13,YALAUSDT,0.2676000,0.3040000,0.2406000,0.2465000,307862031
2025-08-14,YALAUSDT,0.2466000,0.2486000,0.2010000,0.2075000,435835670
2025-08-15,YALAUSDT,0.2074000,0.2142000,0.1882000,0.2022000,314697430
2025-08-16,YALAUSDT,0.2021000,0.2103000,0.1927000,0.1990000,360336269
2025-08-17,YALAUSDT,0.1989000,0.2217000,0.1890000,0.2143000,242216619
2025-08-18,YALAUSDT,0.2142000,0.2162000,0.1936000,0.2010000,207194813
2025-08-19,YALAUSDT,0.2010000,0.2057000,0.1770000,0.1787000,155206419
2025-08-20,YALAUSDT,0.1788000,0.1902000,0.1768000,0.1885000,89785445
2025-08-21,YALAUSDT,0.1885000,0.1898000,0.1592000,0.1618000,148355645
2025-08-22,YALAUSDT,0.1618000,0.1725000,0.1541000,0.1688000,157938985
2025-08-23,YALAUSDT,0.1689000,0.1718000,0.1523000,0.1552000,85193436
2025-08-24,YALAUSDT,0.1552000,0.1576000,0.1432000,0.1541000,100619394
2025-08-25,YALAUSDT,0.1540000,0.1643000,0.1377000,0.1413000,127932380
2025-08-26,YALAUSDT,0.1413000,0.1460000,0.1392000,0.1417000,59172559
2025-08-27,YALAUSDT,0.1418000,0.1478000,0.1395000,0.1411000,60647913
2025-08-28,YALAUSDT,0.1411000,0.1561000,0.1402000,0.1549000,63459929
2025-08-29,YALAUSDT,0.1549000,0.1580000,0.1380000,0.1432000,82297365
2025-08-30,YALAUSDT,0.1432000,0.1562000,0.1418000,0.1459000,58459539
2025-08-31,YALAUSDT,0.1459000,0.1620000,0.1456000,0.1490000,96491214
2025-09-01,YALAUSDT,0.1490000,0.1496000,0.1203000,0.1246000,114263593
2025-09-02,YALAUSDT,0.1246000,0.1271000,0.1180000,0.1233000,70954770
2025-09-03,YALAUSDT,0.1234000,0.1294000,0.1213000,0.1262000,47628661
2025-09-04,YALAUSDT,0.1261000,0.1269000,0.1087000,0.1132000,67096860
2025-09-05,YALAUSDT,0.1132000,0.1160000,0.1064000,0.1110000,61903128
2025-09-06,YALAUSDT,0.1110000,0.1179000,0.1088000,0.1175000,51349029
2025-09-07,YALAUSDT,0.1175000,0.1501000,0.1153000,0.1340000,367902048
2025-09-08,YALAUSDT,0.1340000,0.1644000,0.1247000,0.1540000,253776520
2025-09-09,YALAUSDT,0.1541000,0.1615000,0.1421000,0.1492000,93604955
2025-09-10,YALAUSDT,0.1491000,0.1585000,0.1427000,0.1536000,61208246
2025-09-11,YALAUSDT,0.1534000,0.1845000,0.1254000,0.1384000,228099376
2025-09-12,YALAUSDT,0.1385000,0.1432000,0.1324000,0.1398000,65694850
2025-09-13,YALAUSDT,0.1398000,0.1974000,0.1387000,0.1777000,349476519
2025-09-14,YALAUSDT,0.1777000,0.1792000,0.1410000,0.1441000,199494059
2025-09-15,YALAUSDT,0.1441000,0.1522000,0.1276000,0.1367000,110592640
2025-09-16,YALAUSDT,0.1367000,0.1513000,0.1330000,0.1507000,62187741
2025-09-17,YALAUSDT,0.1506000,0.1597000,0.1406000,0.1525000,126789515
2025-09-18,YALAUSDT,0.1525000,0.1659000,0.1497000,0.1631000,62531536
2025-09-19,YALAUSDT,0.1631000,0.1708000,0.1450000,0.1470000,82760666
2025-09-20,YALAUSDT,0.1470000,0.1521000,0.1425000,0.1473000,31476093
2025-09-21,YALAUSDT,0.1473000,0.1572000,0.1408000,0.1543000,41664692
2025-09-22,YALAUSDT,0.1544000,0.1563000,0.1215000,0.1377000,106340614
2025-09-23,YALAUSDT,0.1377000,0.1382000,0.1142000,0.1162000,91883569
2025-09-24,YALAUSDT,0.1162000,0.1234000,0.1088000,0.1167000,70972701
2025-09-25,YALAUSDT,0.1167000,0.1168000,0.0924000,0.0972000,114224725
2025-09-26,YALAUSDT,0.0972000,0.1013000,0.0925000,0.0952000,55257815
2025-09-27,YALAUSDT,0.0952000,0.0979000,0.0925000,0.0958000,29015626
2025-09-28,YALAUSDT,0.0958000,0.0960000,0.0810000,0.0889000,111795290
2025-09-29,YALAUSDT,0.0889000,0.0889000,0.0821000,0.0832000,70731327
2025-09-30,YALAUSDT,0.0832000,0.0911000,0.0821000,0.0889000,74112263
2025-10-01,YALAUSDT,0.0889000,0.0917000,0.0852000,0.0904000,27128391
