Date,Symbol,Open,High,Low,Close,Volume
2025-07-25,ZORAUSDT,0.0441500,0.0492200,0.0386800,0.0446500,2269769988
2025-07-26,ZORAUSDT,0.0446700,0.0800000,0.0427700,0.0789900,11160476222
2025-07-27,ZORAUSDT,0.0790000,0.0983400,0.0684500,0.0853200,18790200886
2025-07-28,ZORAUSDT,0.0853200,0.0938700,0.0736300,0.0763400,6659216224
2025-07-29,ZORAUSDT,0.0763500,0.0957600,0.0723500,0.0922400,4661859370
2025-07-30,ZORAUSDT,0.0922200,0.0951800,0.0738500,0.0789400,3652831383
2025-07-31,ZORAUSDT,0.0789300,0.0807000,0.0610600,0.0620500,4734090966
2025-08-01,ZORAUSDT,0.0620500,0.0732700,0.0611400,0.0675400,3950115391
2025-08-02,ZORAUSDT,0.0675300,0.0676300,0.0521300,0.0556900,4763726176
2025-08-03,ZORAUSDT,0.0556900,0.0627600,0.0521200,0.0620400,3307584655
2025-08-04,ZORAUSDT,0.0620300,0.0704100,0.0583700,0.0699800,3405362691
2025-08-05,ZORAUSDT,0.0699700,0.0713100,0.0621700,0.0638900,1808514905
2025-08-06,ZORAUSDT,0.0638700,0.0644100,0.0573000,0.0603100,963975670
2025-08-07,ZORAUSDT,0.0603200,0.0830300,0.0583600,0.0816400,2257854611
2025-08-08,ZORAUSDT,0.0816500,0.0894600,0.0769200,0.0852800,2775931732
2025-08-09,ZORAUSDT,0.0852900,0.0974200,0.0806500,0.0954700,1529777898
2025-08-10,ZORAUSDT,0.0954600,0.1107200,0.0859500,0.1091700,1963843184
2025-08-11,ZORAUSDT,0.1091700,0.1486300,0.1083500,0.1206900,6102337361
2025-08-12,ZORAUSDT,0.1206800,0.1316700,0.1076300,0.1178800,2624517949
2025-08-13,ZORAUSDT,0.1178700,0.1297300,0.1101000,0.1224200,1452812938
2025-08-14,ZORAUSDT,0.1224100,0.1224100,0.0997000,0.1033000,1320398880
2025-08-15,ZORAUSDT,0.1033100,0.1095300,0.0947100,0.0978100,1128087349
2025-08-16,ZORAUSDT,0.0978000,0.1021500,0.0932500,0.1002500,565797923
2025-08-17,ZORAUSDT,0.1002600,0.1152800,0.0987300,0.1066400,1247689571
2025-08-18,ZORAUSDT,0.1066300,0.1116300,0.0963200,0.1081500,955561863
2025-08-19,ZORAUSDT,0.1081600,0.1119900,0.0864500,0.0872100,1115336011
2025-08-20,ZORAUSDT,0.0872300,0.0986200,0.0848000,0.0960300,1119999005
2025-08-21,ZORAUSDT,0.0960200,0.0974700,0.0828000,0.0835700,615431388
2025-08-22,ZORAUSDT,0.0835700,0.1111000,0.0803100,0.1099100,1181369686
2025-08-23,ZORAUSDT,0.1099100,0.1103700,0.1013100,0.1067900,609841224
2025-08-24,ZORAUSDT,0.1067700,0.1271900,0.1057000,0.1156300,1262398221
2025-08-25,ZORAUSDT,0.1156400,0.1198100,0.0981800,0.0989000,1001338604
2025-08-26,ZORAUSDT,0.0989000,0.1031300,0.0900000,0.0991500,1145014974
2025-08-27,ZORAUSDT,0.0991400,0.0992900,0.0843900,0.0856400,614143366
2025-08-28,ZORAUSDT,0.0856400,0.0922600,0.0792000,0.0833200,694004221
2025-08-29,ZORAUSDT,0.0833400,0.0834300,0.0720900,0.0750300,796460889
